logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000179593	-5.00262638888889	3.86683958333333	-16.2936249089092	4.65941962700755e-35	9.06350305845509e-31	68.8459779177539	ALOX15B
ENSG00000163492	-3.61490416666667	0.0723840277777777	-14.0843164713342	1.53119710787756e-29	5.95696922848687e-26	56.4189881529953	CCDC141
ENSG00000159387	-4.32814722222223	-0.424970833333334	-13.9915151659515	3.31926413684744e-29	1.07610543316594e-25	55.6624303040868	IRX6
ENSG00000168907	-4.91279305555556	3.04674097222222	-13.5630200539299	1.22650071415658e-27	2.98223648647172e-24	52.1339223739699	PLA2G4F
ENSG00000206043	-4.80065000000002	-5.60579166666666	-13.2627929484135	2.56174794589892e-27	4.98311210436258e-24	51.4016012172987	C18orf63
ENSG00000134020	-2.64968472222221	5.69806736111111	-13.179495563148	4.31197049912959e-27	7.62513183173352e-24	50.891107101444	PEBP4
ENSG00000144285	-5.10567500000001	-0.194758333333333	-12.9518600675723	4.78892742996522e-26	7.16570895136027e-23	48.5417913179764	SCN1A
ENSG00000168481	-4.51697916666667	1.59267291666667	-12.8947056250829	6.70227787108292e-26	9.31233636773607e-23	48.2121162882093	LGI3
ENSG00000058335	-4.0711125	1.95334097222222	-12.8006051479776	9.63019499792296e-26	1.24884368733065e-22	47.8542173626859	RASGRF1
ENSG00000124134	-4.3899513888889	-3.29958958333334	-12.6537748155706	1.15826529693259e-25	1.40816103474579e-22	47.6642044825343	KCNS1
ENSG00000171136	-5.82815694444447	-6.04943958333332	-12.6402902779146	1.88881967879243e-25	2.16125414069825e-22	47.1897435112525	RLN3
ENSG00000131781	-3.64715	3.36433333333333	-12.4031039605009	8.13736488723746e-25	8.79377898814128e-22	45.7572025930799	FMO5
ENSG00000086289	-1.57125972222222	4.31988958333333	-12.2992862184141	1.06788307321126e-24	1.0397861462043e-21	45.4853138390989	EPDR1
ENSG00000173930	-3.30446527777778	0.877882638888889	-12.3004213939763	1.06907890829149e-24	1.0397861462043e-21	45.4843334704974	SLCO4C1
ENSG00000177453	-3.02496388888889	-0.541991666666667	-12.0762905276444	4.31955569422704e-24	3.50099989017101e-21	44.1143416736489	NIM1K
ENSG00000188959	-2.98320277777778	1.613625	-11.866286058605	1.60997019307331e-23	1.11846929270221e-20	42.8235277470066	C9orf152
ENSG00000096088	-5.10288749999999	6.69210902777778	-11.867742027531	3.51318318742812e-23	2.20446578586618e-20	42.0709966537627	PGC
ENSG00000114248	-5.25020000000001	-4.4051	-11.385882342019	4.62444671588136e-22	2.36722993466643e-19	39.5355031699032	LRRC31
ENSG00000164161	-3.24514305555555	2.16992986111111	-11.3123658762618	6.99958117562685e-22	3.32087446410472e-19	39.1280384049953	HHIP
ENSG00000047936	-3.98515694444444	2.21463541666667	-11.3529800195961	8.06951765748416e-22	3.73733946365195e-19	38.996044127166	ROS1
ENSG00000080618	-4.96121388888889	0.583118055555556	-11.3300597064927	1.11391415025249e-21	5.03903675597941e-19	38.6833102819182	CPB2
ENSG00000095713	-3.63450416666667	3.26615486111111	-11.2315427256437	1.42421684562087e-21	6.02257958282982e-19	38.4352153112998	CRTAC1
