logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000255248	3.02917083333335	3.85086041666667	15.6187860442617	1.20669411844043e-33	8.38899069558953e-30	65.6663924100165	MIR100HG
ENSG00000162692	3.96454722222223	2.91943472222222	15.6073530251475	1.29379868840061e-33	8.38899069558953e-30	65.5982455883786	VCAM1
ENSG00000099625	3.47230277777778	0.136288888888889	14.3287023844417	3.36188218667435e-30	1.63488330737974e-26	57.9039990802119	CBARP
ENSG00000091972	2.86362083333334	3.04985069444444	13.4751686480247	6.79925531166075e-28	1.88941591889178e-24	52.7018909536815	CD200
ENSG00000151789	3.29347916666667	1.04733958333333	13.3211464894009	1.77900631914761e-27	3.84502565778437e-24	51.7590648678213	ZNF385D
ENSG00000167157	2.72364166666667	1.53884583333333	12.8194082337888	4.1045058315203e-26	6.65340395289441e-23	48.681643584449	PRRX2
ENSG00000157214	2.60130972222223	3.54337569444444	12.1989460007543	2.00274656579863e-24	1.85511553323404e-21	44.8684154303568	STEAP2
ENSG00000140287	3.16867361111112	3.86345625	12.1396066481385	2.90486820263292e-24	2.56843164898253e-21	44.50359583523	HDC
ENSG00000137571	2.72210833333333	-3.01840833333334	12.1014060582606	3.69053802558096e-24	3.12123242059134e-21	44.2687441667822	SLCO5A1
ENSG00000203814	3.57109861111112	3.13194930555555	12.0610892393664	7.07908480842423e-24	5.50809430773872e-21	43.635875581676	H2BC18
ENSG00000119699	2.83795277777779	4.73685694444444	11.9303138426142	1.07805418966395e-23	8.06550388359351e-21	43.2170258268971	TGFB3
ENSG00000164949	2.77690138888891	4.62791458333333	11.8867800330478	1.41602397477033e-23	1.02016660582342e-20	42.9494718176926	GEM
ENSG00000147138	2.91554305555556	-0.106879861111111	11.7999271466094	2.43950622376634e-23	1.63631982981734e-20	42.4157725528052	GPR174
ENSG00000234511	2.58720833333334	1.47851388888889	11.7729403184769	2.88861590470825e-23	1.87297855261283e-20	42.2499700408013	C5orf58
ENSG00000165617	2.30995833333334	2.74814166666667	11.7168255356953	4.10454262095322e-23	2.49504884571194e-20	41.9052588792022	DACT1
ENSG00000173253	2.93691388888889	0.668359722222223	11.668786199029	5.54441260706905e-23	3.26817921311234e-20	41.6102122483616	DMRT2
ENSG00000101134	2.69494861111111	-0.503736805555556	11.5315123444977	1.30877034384544e-22	7.4877060966122e-20	40.7674487484645	DOK5
ENSG00000158373	3.03443750000001	4.09115347222222	11.5263111803063	1.35204519145373e-22	7.5142808754737e-20	40.7355284061415	H2BC5
