logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000179593	-5.00262638888889	3.86683958333333	-16.2936249089092	4.65941962700755e-35	9.06350305845509e-31	68.8459779177539	ALOX15B
ENSG00000255248	3.02917083333335	3.85086041666667	15.6187860442617	1.20669411844043e-33	8.38899069558953e-30	65.6663924100165	MIR100HG
ENSG00000162692	3.96454722222223	2.91943472222222	15.6073530251475	1.29379868840061e-33	8.38899069558953e-30	65.5982455883786	VCAM1
ENSG00000099625	3.47230277777778	0.136288888888889	14.3287023844417	3.36188218667435e-30	1.63488330737974e-26	57.9039990802119	CBARP
ENSG00000163492	-3.61490416666667	0.0723840277777777	-14.0843164713342	1.53119710787756e-29	5.95696922848687e-26	56.4189881529953	CCDC141
ENSG00000159387	-4.32814722222223	-0.424970833333334	-13.9915151659515	3.31926413684744e-29	1.07610543316594e-25	55.6624303040868	IRX6
ENSG00000091972	2.86362083333334	3.04985069444444	13.4751686480247	6.79925531166075e-28	1.88941591889178e-24	52.7018909536815	CD200
ENSG00000168907	-4.91279305555556	3.04674097222222	-13.5630200539299	1.22650071415658e-27	2.98223648647172e-24	52.1339223739699	PLA2G4F
ENSG00000151789	3.29347916666667	1.04733958333333	13.3211464894009	1.77900631914761e-27	3.84502565778437e-24	51.7590648678213	ZNF385D
ENSG00000206043	-4.80065000000002	-5.60579166666666	-13.2627929484135	2.56174794589892e-27	4.98311210436258e-24	51.4016012172987	C18orf63
ENSG00000134020	-2.64968472222221	5.69806736111111	-13.179495563148	4.31197049912959e-27	7.62513183173352e-24	50.891107101444	PEBP4
ENSG00000167157	2.72364166666667	1.53884583333333	12.8194082337888	4.1045058315203e-26	6.65340395289441e-23	48.681643584449	PRRX2
ENSG00000144285	-5.10567500000001	-0.194758333333333	-12.9518600675723	4.78892742996522e-26	7.16570895136027e-23	48.5417913179764	SCN1A
ENSG00000168481	-4.51697916666667	1.59267291666667	-12.8947056250829	6.70227787108292e-26	9.31233636773607e-23	48.2121162882093	LGI3
ENSG00000058335	-4.0711125	1.95334097222222	-12.8006051479776	9.63019499792296e-26	1.24884368733065e-22	47.8542173626859	RASGRF1
ENSG00000124134	-4.3899513888889	-3.29958958333334	-12.6537748155706	1.15826529693259e-25	1.40816103474579e-22	47.6642044825343	KCNS1
ENSG00000171136	-5.82815694444447	-6.04943958333332	-12.6402902779146	1.88881967879243e-25	2.16125414069825e-22	47.1897435112525	RLN3
ENSG00000131781	-3.64715	3.36433333333333	-12.4031039605009	8.13736488723746e-25	8.79377898814128e-22	45.7572025930799	FMO5
ENSG00000086289	-1.57125972222222	4.31988958333333	-12.2992862184141	1.06788307321126e-24	1.0397861462043e-21	45.4853138390989	EPDR1
ENSG00000173930	-3.30446527777778	0.877882638888889	-12.3004213939763	1.06907890829149e-24	1.0397861462043e-21	45.4843334704974	SLCO4C1
ENSG00000157214	2.60130972222223	3.54337569444444	12.1989460007543	2.00274656579863e-24	1.85511553323404e-21	44.8684154303568	STEAP2
ENSG00000140287	3.16867361111112	3.86345625	12.1396066481385	2.90486820263292e-24	2.56843164898253e-21	44.50359583523	HDC
ENSG00000137571	2.72210833333333	-3.01840833333334	12.1014060582606	3.69053802558096e-24	3.12123242059134e-21	44.2687441667822	SLCO5A1
ENSG00000177453	-3.02496388888889	-0.541991666666667	-12.0762905276444	4.31955569422704e-24	3.50099989017101e-21	44.1143416736489	NIM1K
ENSG00000203814	3.57109861111112	3.13194930555555	12.0610892393664	7.07908480842423e-24	5.50809430773872e-21	43.635875581676	H2BC18
ENSG00000119699	2.83795277777779	4.73685694444444	11.9303138426142	1.07805418966395e-23	8.06550388359351e-21	43.2170258268971	TGFB3
ENSG00000164949	2.77690138888891	4.62791458333333	11.8867800330478	1.41602397477033e-23	1.02016660582342e-20	42.9494718176926	GEM
ENSG00000188959	-2.98320277777778	1.613625	-11.866286058605	1.60997019307331e-23	1.11846929270221e-20	42.8235277470066	C9orf152
ENSG00000147138	2.91554305555556	-0.106879861111111	11.7999271466094	2.43950622376634e-23	1.63631982981734e-20	42.4157725528052	GPR174
ENSG00000234511	2.58720833333334	1.47851388888889	11.7729403184769	2.88861590470825e-23	1.87297855261283e-20	42.2499700408013	C5orf58
ENSG00000096088	-5.10288749999999	6.69210902777778	-11.867742027531	3.51318318742812e-23	2.20446578586618e-20	42.0709966537627	PGC
ENSG00000165617	2.30995833333334	2.74814166666667	11.7168255356953	4.10454262095322e-23	2.49504884571194e-20	41.9052588792022	DACT1
ENSG00000173253	2.93691388888889	0.668359722222223	11.668786199029	5.54441260706905e-23	3.26817921311234e-20	41.6102122483616	DMRT2
ENSG00000101134	2.69494861111111	-0.503736805555556	11.5315123444977	1.30877034384544e-22	7.4877060966122e-20	40.7674487484645	DOK5
ENSG00000158373	3.03443750000001	4.09115347222222	11.5263111803063	1.35204519145373e-22	7.5142808754737e-20	40.7355284061415	H2BC5
ENSG00000138685	2.26864305555557	2.68341736111111	11.4925418748152	1.66996679228036e-22	9.02338723428823e-20	40.5283026242681	FGF2
ENSG00000155367	2.24251388888889	0.410129166666666	11.3654133570917	3.69674925512198e-22	1.94349098677386e-19	39.748541593338	PPM1J
ENSG00000114248	-5.25020000000001	-4.4051	-11.385882342019	4.62444671588136e-22	2.36722993466643e-19	39.5355031699032	LRRC31
ENSG00000119508	3.09447916666668	3.20765208333333	11.317295681379	5.55268478739027e-22	2.76950832011066e-19	39.3513781346882	NR4A3
ENSG00000140511	2.5208138888889	3.62501388888889	11.2829213726348	6.18875586256989e-22	3.00959197596774e-19	39.2429095079789	HAPLN3
ENSG00000164161	-3.24514305555555	2.16992986111111	-11.3123658762618	6.99958117562685e-22	3.32087446410472e-19	39.1280384049953	HHIP
ENSG00000047936	-3.98515694444444	2.21463541666667	-11.3529800195961	8.06951765748416e-22	3.73733946365195e-19	38.996044127166	ROS1
ENSG00000080618	-4.96121388888889	0.583118055555556	-11.3300597064927	1.11391415025249e-21	5.03903675597941e-19	38.6833102819182	CPB2
ENSG00000019991	2.39060833333335	3.97638055555556	11.1723289666688	1.23424256024459e-21	5.45647415497224e-19	38.5655216046731	HGF
ENSG00000073756	3.40305694444446	4.23061319444444	11.208886981934	1.28540033488551e-21	5.55635718093178e-19	38.5310189866566	PTGS2
ENSG00000095713	-3.63450416666667	3.26615486111111	-11.2315427256437	1.42421684562087e-21	6.02257958282982e-19	38.4352153112998	CRTAC1
ENSG00000172156	4.84961527777778	0.507061805555556	11.2576340842634	1.69261426120647e-21	7.00526225723155e-19	38.2724168178231	CCL11
ENSG00000184845	2.63939027777778	-1.32390625	11.1072772386658	1.85190080562875e-21	7.5048280148105e-19	38.1673599270307	DRD1
ENSG00000138308	-5.28993750000002	-3.63221875	-11.1624094715553	1.99802136206504e-21	7.93173704793658e-19	38.1013215487838	PLA2G12B
ENSG00000140285	2.67507916666668	4.94943958333333	11.0899968376824	2.06258272228492e-21	8.02427182277727e-19	38.0616299465067	FGF7
ENSG00000135245	2.96693750000002	4.11127013888889	11.0154262879005	3.28288744499736e-21	1.25213189372723e-18	37.6055637531269	HILPDA
ENSG00000145777	2.16859027777778	0.409010416666667	10.9433002624867	5.1445274173543e-21	1.92444898696877e-18	37.1647623576403	TSLP
ENSG00000184454	-2.90295555555556	-0.268144444444445	-10.933099044435	5.48184393418935e-21	2.01194015486512e-18	37.1024433459989	NCMAP
ENSG00000150893	-2.97229166666667	-1.06486666666667	-10.9278457776392	5.66407324645141e-21	2.04032505166616e-18	37.0703538556397	FREM2
ENSG00000158859	3.74375694444446	4.52401041666667	10.9953961776729	5.9531208413447e-21	2.07718521334769e-18	37.0314751862648	ADAMTS4
ENSG00000168703	-6.18190000000001	-2.10205555555556	-11.0488177497196	5.97996976904537e-21	2.07718521334769e-18	37.0340376085972	WFDC12
ENSG00000007908	4.04655694444445	1.23368680555556	10.9547393917193	9.47513205157778e-21	3.23351348539107e-18	36.5801085016909	SELE
