source,target,etype,regulation,weight,logFC,adj.P.Val
CHD2,MIR100HG,TF_to_MIR,,,,
BHLHE40,MIR100HG,TF_to_MIR,,,,
MYC,MIR100HG,TF_to_MIR,,,,
MAX,MIR100HG,TF_to_MIR,,,,
EP300,MIR100HG,TF_to_MIR,,,,
MAZ,MIR100HG,TF_to_MIR,,,,
POLR2A,MIR100HG,TF_to_MIR,,,,
H2AFZ,MIR100HG,TF_to_MIR,,,,
RCOR1,MIR100HG,TF_to_MIR,,,,
CTCF,MIR100HG,TF_to_MIR,,,,
MIR100HG,ALOX15B,MIR_to_gene,repression,5.00262638888889,-5.00262638888889,9.06350305845509e-31
MIR100HG,CCDC141,MIR_to_gene,repression,3.61490416666667,-3.61490416666667,5.956969228486869e-26
MIR100HG,IRX6,MIR_to_gene,repression,4.32814722222223,-4.32814722222223,1.07610543316594e-25
MIR100HG,PLA2G4F,MIR_to_gene,repression,4.91279305555556,-4.91279305555556,2.98223648647172e-24
MIR100HG,C18orf63,MIR_to_gene,repression,4.80065000000002,-4.80065000000002,4.98311210436258e-24
MIR100HG,PEBP4,MIR_to_gene,repression,2.64968472222221,-2.64968472222221,7.62513183173352e-24
MIR100HG,SCN1A,MIR_to_gene,repression,5.10567500000001,-5.10567500000001,7.165708951360271e-23
MIR100HG,LGI3,MIR_to_gene,repression,4.51697916666667,-4.51697916666667,9.31233636773607e-23
MIR100HG,RASGRF1,MIR_to_gene,repression,4.0711125,-4.0711125,1.24884368733065e-22
MIR100HG,KCNS1,MIR_to_gene,repression,4.3899513888889,-4.3899513888889,1.40816103474579e-22
MIR100HG,RLN3,MIR_to_gene,repression,5.82815694444447,-5.82815694444447,2.1612541406982497e-22
MIR100HG,FMO5,MIR_to_gene,repression,3.64715,-3.64715,8.793778988141279e-22
MIR100HG,SLCO4C1,MIR_to_gene,repression,3.30446527777778,-3.30446527777778,1.0397861462043e-21
MIR100HG,EPDR1,MIR_to_gene,repression,1.57125972222222,-1.57125972222222,1.0397861462043e-21
MIR100HG,NIM1K,MIR_to_gene,repression,3.02496388888889,-3.02496388888889,3.50099989017101e-21
MIR100HG,C9orf152,MIR_to_gene,repression,2.98320277777778,-2.98320277777778,1.1184692927022101e-20
MIR100HG,PGC,MIR_to_gene,repression,5.10288749999999,-5.10288749999999,2.20446578586618e-20
MIR100HG,LRRC31,MIR_to_gene,repression,5.25020000000001,-5.25020000000001,2.36722993466643e-19
MIR100HG,HHIP,MIR_to_gene,repression,3.24514305555555,-3.24514305555555,3.32087446410472e-19
MIR100HG,ROS1,MIR_to_gene,repression,3.98515694444444,-3.98515694444444,3.73733946365195e-19
MIR100HG,CPB2,MIR_to_gene,repression,4.96121388888889,-4.96121388888889,5.03903675597941e-19
MIR100HG,CRTAC1,MIR_to_gene,repression,3.63450416666667,-3.63450416666667,6.022579582829821e-19
MIR100HG,PLA2G12B,MIR_to_gene,repression,5.28993750000002,-5.28993750000002,7.931737047936581e-19
MIR100HG,NCMAP,MIR_to_gene,repression,2.90295555555556,-2.90295555555556,2.0119401548651198e-18
MIR100HG,FREM2,MIR_to_gene,repression,2.97229166666667,-2.97229166666667,2.04032505166616e-18
MIR100HG,WFDC12,MIR_to_gene,repression,6.18190000000001,-6.18190000000001,2.07718521334769e-18
MIR100HG,PLPPR1,MIR_to_gene,repression,3.83072638888889,-3.83072638888889,6.5537308686769495e-18
MIR100HG,LAMP3,MIR_to_gene,repression,3.57369999999999,-3.57369999999999,6.5537308686769495e-18
MIR100HG,AGTR2,MIR_to_gene,repression,5.11858333333334,-5.11858333333334,1.05939478169178e-17
MIR100HG,TFCP2L1,MIR_to_gene,repression,2.66554305555555,-2.66554305555555,1.12088248712242e-17
BHLHE40,BHLHE40,TF_to_TF,,,,
BHLHE40,CHD2,TF_to_TF,,,,
BHLHE40,CTCF,TF_to_TF,,,,
BHLHE40,EP300,TF_to_TF,,,,
BHLHE40,H2AFZ,TF_to_TF,,,,
BHLHE40,MAX,TF_to_TF,,,,
BHLHE40,MAZ,TF_to_TF,,,,
BHLHE40,MYC,TF_to_TF,,,,
BHLHE40,POLR2A,TF_to_TF,,,,
BHLHE40,RCOR1,TF_to_TF,,,,
CHD2,BHLHE40,TF_to_TF,,,,
CHD2,CHD2,TF_to_TF,,,,
CHD2,CTCF,TF_to_TF,,,,
CHD2,EP300,TF_to_TF,,,,
CHD2,H2AFZ,TF_to_TF,,,,
CHD2,MAX,TF_to_TF,,,,
CHD2,MAZ,TF_to_TF,,,,
CHD2,MYC,TF_to_TF,,,,
CHD2,POLR2A,TF_to_TF,,,,
CHD2,RCOR1,TF_to_TF,,,,
CTCF,BHLHE40,TF_to_TF,,,,
CTCF,CHD2,TF_to_TF,,,,
CTCF,CTCF,TF_to_TF,,,,
CTCF,EP300,TF_to_TF,,,,
CTCF,H2AFZ,TF_to_TF,,,,
CTCF,MAX,TF_to_TF,,,,
CTCF,MAZ,TF_to_TF,,,,
CTCF,MYC,TF_to_TF,,,,
CTCF,POLR2A,TF_to_TF,,,,
CTCF,RCOR1,TF_to_TF,,,,
EP300,BHLHE40,TF_to_TF,,,,
EP300,CHD2,TF_to_TF,,,,
EP300,CTCF,TF_to_TF,,,,
EP300,EP300,TF_to_TF,,,,
EP300,H2AFZ,TF_to_TF,,,,
EP300,MAX,TF_to_TF,,,,
EP300,MAZ,TF_to_TF,,,,
EP300,MYC,TF_to_TF,,,,
EP300,POLR2A,TF_to_TF,,,,
EP300,RCOR1,TF_to_TF,,,,
H2AFZ,BHLHE40,TF_to_TF,,,,
H2AFZ,CHD2,TF_to_TF,,,,
H2AFZ,CTCF,TF_to_TF,,,,
H2AFZ,EP300,TF_to_TF,,,,
H2AFZ,H2AFZ,TF_to_TF,,,,
H2AFZ,MAX,TF_to_TF,,,,
H2AFZ,MAZ,TF_to_TF,,,,
H2AFZ,MYC,TF_to_TF,,,,
H2AFZ,POLR2A,TF_to_TF,,,,
H2AFZ,RCOR1,TF_to_TF,,,,
MAX,BHLHE40,TF_to_TF,,,,
MAX,CHD2,TF_to_TF,,,,
MAX,CTCF,TF_to_TF,,,,
MAX,EP300,TF_to_TF,,,,
MAX,H2AFZ,TF_to_TF,,,,
MAX,MAX,TF_to_TF,,,,
MAX,MAZ,TF_to_TF,,,,
MAX,MYC,TF_to_TF,,,,
MAX,POLR2A,TF_to_TF,,,,
MAX,RCOR1,TF_to_TF,,,,
MAZ,BHLHE40,TF_to_TF,,,,
MAZ,CHD2,TF_to_TF,,,,
MAZ,CTCF,TF_to_TF,,,,
MAZ,EP300,TF_to_TF,,,,
MAZ,H2AFZ,TF_to_TF,,,,
MAZ,MAX,TF_to_TF,,,,
MAZ,MAZ,TF_to_TF,,,,
MAZ,MYC,TF_to_TF,,,,
MAZ,POLR2A,TF_to_TF,,,,
MAZ,RCOR1,TF_to_TF,,,,
MYC,BHLHE40,TF_to_TF,,,,
MYC,CHD2,TF_to_TF,,,,
MYC,CTCF,TF_to_TF,,,,
MYC,EP300,TF_to_TF,,,,
MYC,H2AFZ,TF_to_TF,,,,
MYC,MAX,TF_to_TF,,,,
MYC,MAZ,TF_to_TF,,,,
MYC,MYC,TF_to_TF,,,,
MYC,POLR2A,TF_to_TF,,,,
MYC,RCOR1,TF_to_TF,,,,
POLR2A,BHLHE40,TF_to_TF,,,,
POLR2A,CHD2,TF_to_TF,,,,
POLR2A,CTCF,TF_to_TF,,,,
POLR2A,EP300,TF_to_TF,,,,
POLR2A,H2AFZ,TF_to_TF,,,,
POLR2A,MAX,TF_to_TF,,,,
POLR2A,MAZ,TF_to_TF,,,,
POLR2A,MYC,TF_to_TF,,,,
POLR2A,POLR2A,TF_to_TF,,,,
POLR2A,RCOR1,TF_to_TF,,,,
RCOR1,BHLHE40,TF_to_TF,,,,
RCOR1,CHD2,TF_to_TF,,,,
RCOR1,CTCF,TF_to_TF,,,,
RCOR1,EP300,TF_to_TF,,,,
RCOR1,H2AFZ,TF_to_TF,,,,
RCOR1,MAX,TF_to_TF,,,,
RCOR1,MAZ,TF_to_TF,,,,
RCOR1,MYC,TF_to_TF,,,,
RCOR1,POLR2A,TF_to_TF,,,,
RCOR1,RCOR1,TF_to_TF,,,,
