node,type,direction
CHD2,TF,NA
BHLHE40,TF,NA
MYC,TF,NA
MAX,TF,NA
EP300,TF,NA
MAZ,TF,NA
POLR2A,TF,NA
H2AFZ,TF,NA
RCOR1,TF,NA
CTCF,TF,NA
MIR100HG,lncRNA,NA
ALOX15B,gene,down
CCDC141,gene,down
IRX6,gene,down
PLA2G4F,gene,down
C18orf63,gene,down
PEBP4,gene,down
SCN1A,gene,down
LGI3,gene,down
RASGRF1,gene,down
KCNS1,gene,down
RLN3,gene,down
FMO5,gene,down
SLCO4C1,gene,down
EPDR1,gene,down
NIM1K,gene,down
C9orf152,gene,down
PGC,gene,down
LRRC31,gene,down
HHIP,gene,down
ROS1,gene,down
CPB2,gene,down
CRTAC1,gene,down
PLA2G12B,gene,down
NCMAP,gene,down
FREM2,gene,down
WFDC12,gene,down
PLPPR1,gene,down
LAMP3,gene,down
AGTR2,gene,down
TFCP2L1,gene,down
