source,target,etype,regulation,weight,logFC,adj.P.Val
CHD2,MIR100HG,TF_to_MIR,,,,
BHLHE40,MIR100HG,TF_to_MIR,,,,
MYC,MIR100HG,TF_to_MIR,,,,
MAX,MIR100HG,TF_to_MIR,,,,
EP300,MIR100HG,TF_to_MIR,,,,
MAZ,MIR100HG,TF_to_MIR,,,,
POLR2A,MIR100HG,TF_to_MIR,,,,
H2AFZ,MIR100HG,TF_to_MIR,,,,
RCOR1,MIR100HG,TF_to_MIR,,,,
CTCF,MIR100HG,TF_to_MIR,,,,
MIR100HG,VCAM1,MIR_to_gene,activation,3.96454722222223,3.96454722222223,8.38899069558953e-30
MIR100HG,MIR100HG,MIR_to_gene,activation,3.02917083333335,3.02917083333335,8.38899069558953e-30
MIR100HG,CBARP,MIR_to_gene,activation,3.47230277777778,3.47230277777778,1.6348833073797399e-26
MIR100HG,CD200,MIR_to_gene,activation,2.86362083333334,2.86362083333334,1.88941591889178e-24
MIR100HG,ZNF385D,MIR_to_gene,activation,3.29347916666667,3.29347916666667,3.84502565778437e-24
MIR100HG,PRRX2,MIR_to_gene,activation,2.72364166666667,2.72364166666667,6.65340395289441e-23
MIR100HG,STEAP2,MIR_to_gene,activation,2.60130972222223,2.60130972222223,1.85511553323404e-21
MIR100HG,HDC,MIR_to_gene,activation,3.16867361111112,3.16867361111112,2.56843164898253e-21
MIR100HG,SLCO5A1,MIR_to_gene,activation,2.72210833333333,2.72210833333333,3.12123242059134e-21
MIR100HG,H2BC18,MIR_to_gene,activation,3.57109861111112,3.57109861111112,5.5080943077387204e-21
MIR100HG,TGFB3,MIR_to_gene,activation,2.83795277777779,2.83795277777779,8.065503883593511e-21
MIR100HG,GEM,MIR_to_gene,activation,2.77690138888891,2.77690138888891,1.0201666058234201e-20
MIR100HG,GPR174,MIR_to_gene,activation,2.91554305555556,2.91554305555556,1.63631982981734e-20
MIR100HG,C5orf58,MIR_to_gene,activation,2.58720833333334,2.58720833333334,1.87297855261283e-20
MIR100HG,DACT1,MIR_to_gene,activation,2.30995833333334,2.30995833333334,2.4950488457119402e-20
MIR100HG,DMRT2,MIR_to_gene,activation,2.93691388888889,2.93691388888889,3.26817921311234e-20
MIR100HG,DOK5,MIR_to_gene,activation,2.69494861111111,2.69494861111111,7.487706096612201e-20
MIR100HG,H2BC5,MIR_to_gene,activation,3.03443750000001,3.03443750000001,7.514280875473701e-20
MIR100HG,FGF2,MIR_to_gene,activation,2.26864305555557,2.26864305555557,9.02338723428823e-20
MIR100HG,PPM1J,MIR_to_gene,activation,2.24251388888889,2.24251388888889,1.9434909867738601e-19
MIR100HG,NR4A3,MIR_to_gene,activation,3.09447916666668,3.09447916666668,2.76950832011066e-19
MIR100HG,HAPLN3,MIR_to_gene,activation,2.5208138888889,2.5208138888889,3.0095919759677403e-19
MIR100HG,HGF,MIR_to_gene,activation,2.39060833333335,2.39060833333335,5.45647415497224e-19
MIR100HG,PTGS2,MIR_to_gene,activation,3.40305694444446,3.40305694444446,5.556357180931781e-19
MIR100HG,CCL11,MIR_to_gene,activation,4.84961527777778,4.84961527777778,7.00526225723155e-19
MIR100HG,DRD1,MIR_to_gene,activation,2.63939027777778,2.63939027777778,7.5048280148105e-19
MIR100HG,FGF7,MIR_to_gene,activation,2.67507916666668,2.67507916666668,8.02427182277727e-19
MIR100HG,HILPDA,MIR_to_gene,activation,2.96693750000002,2.96693750000002,1.25213189372723e-18
MIR100HG,TSLP,MIR_to_gene,activation,2.16859027777778,2.16859027777778,1.92444898696877e-18
MIR100HG,ADAMTS4,MIR_to_gene,activation,3.74375694444446,3.74375694444446,2.07718521334769e-18
BHLHE40,BHLHE40,TF_to_TF,,,,
BHLHE40,CHD2,TF_to_TF,,,,
BHLHE40,CTCF,TF_to_TF,,,,
BHLHE40,EP300,TF_to_TF,,,,
BHLHE40,H2AFZ,TF_to_TF,,,,
BHLHE40,MAX,TF_to_TF,,,,
BHLHE40,MAZ,TF_to_TF,,,,
BHLHE40,MYC,TF_to_TF,,,,
BHLHE40,POLR2A,TF_to_TF,,,,
BHLHE40,RCOR1,TF_to_TF,,,,
CHD2,BHLHE40,TF_to_TF,,,,
CHD2,CHD2,TF_to_TF,,,,
CHD2,CTCF,TF_to_TF,,,,
CHD2,EP300,TF_to_TF,,,,
CHD2,H2AFZ,TF_to_TF,,,,
CHD2,MAX,TF_to_TF,,,,
CHD2,MAZ,TF_to_TF,,,,
CHD2,MYC,TF_to_TF,,,,
CHD2,POLR2A,TF_to_TF,,,,
CHD2,RCOR1,TF_to_TF,,,,
CTCF,BHLHE40,TF_to_TF,,,,
CTCF,CHD2,TF_to_TF,,,,
CTCF,CTCF,TF_to_TF,,,,
CTCF,EP300,TF_to_TF,,,,
CTCF,H2AFZ,TF_to_TF,,,,
CTCF,MAX,TF_to_TF,,,,
CTCF,MAZ,TF_to_TF,,,,
CTCF,MYC,TF_to_TF,,,,
CTCF,POLR2A,TF_to_TF,,,,
CTCF,RCOR1,TF_to_TF,,,,
EP300,BHLHE40,TF_to_TF,,,,
EP300,CHD2,TF_to_TF,,,,
EP300,CTCF,TF_to_TF,,,,
EP300,EP300,TF_to_TF,,,,
EP300,H2AFZ,TF_to_TF,,,,
EP300,MAX,TF_to_TF,,,,
EP300,MAZ,TF_to_TF,,,,
EP300,MYC,TF_to_TF,,,,
EP300,POLR2A,TF_to_TF,,,,
EP300,RCOR1,TF_to_TF,,,,
H2AFZ,BHLHE40,TF_to_TF,,,,
H2AFZ,CHD2,TF_to_TF,,,,
H2AFZ,CTCF,TF_to_TF,,,,
H2AFZ,EP300,TF_to_TF,,,,
H2AFZ,H2AFZ,TF_to_TF,,,,
H2AFZ,MAX,TF_to_TF,,,,
H2AFZ,MAZ,TF_to_TF,,,,
H2AFZ,MYC,TF_to_TF,,,,
H2AFZ,POLR2A,TF_to_TF,,,,
H2AFZ,RCOR1,TF_to_TF,,,,
MAX,BHLHE40,TF_to_TF,,,,
MAX,CHD2,TF_to_TF,,,,
MAX,CTCF,TF_to_TF,,,,
MAX,EP300,TF_to_TF,,,,
MAX,H2AFZ,TF_to_TF,,,,
MAX,MAX,TF_to_TF,,,,
MAX,MAZ,TF_to_TF,,,,
MAX,MYC,TF_to_TF,,,,
MAX,POLR2A,TF_to_TF,,,,
MAX,RCOR1,TF_to_TF,,,,
MAZ,BHLHE40,TF_to_TF,,,,
MAZ,CHD2,TF_to_TF,,,,
MAZ,CTCF,TF_to_TF,,,,
MAZ,EP300,TF_to_TF,,,,
MAZ,H2AFZ,TF_to_TF,,,,
MAZ,MAX,TF_to_TF,,,,
MAZ,MAZ,TF_to_TF,,,,
MAZ,MYC,TF_to_TF,,,,
MAZ,POLR2A,TF_to_TF,,,,
MAZ,RCOR1,TF_to_TF,,,,
MYC,BHLHE40,TF_to_TF,,,,
MYC,CHD2,TF_to_TF,,,,
MYC,CTCF,TF_to_TF,,,,
MYC,EP300,TF_to_TF,,,,
MYC,H2AFZ,TF_to_TF,,,,
MYC,MAX,TF_to_TF,,,,
MYC,MAZ,TF_to_TF,,,,
MYC,MYC,TF_to_TF,,,,
MYC,POLR2A,TF_to_TF,,,,
MYC,RCOR1,TF_to_TF,,,,
POLR2A,BHLHE40,TF_to_TF,,,,
POLR2A,CHD2,TF_to_TF,,,,
POLR2A,CTCF,TF_to_TF,,,,
POLR2A,EP300,TF_to_TF,,,,
POLR2A,H2AFZ,TF_to_TF,,,,
POLR2A,MAX,TF_to_TF,,,,
POLR2A,MAZ,TF_to_TF,,,,
POLR2A,MYC,TF_to_TF,,,,
POLR2A,POLR2A,TF_to_TF,,,,
POLR2A,RCOR1,TF_to_TF,,,,
RCOR1,BHLHE40,TF_to_TF,,,,
RCOR1,CHD2,TF_to_TF,,,,
RCOR1,CTCF,TF_to_TF,,,,
RCOR1,EP300,TF_to_TF,,,,
RCOR1,H2AFZ,TF_to_TF,,,,
RCOR1,MAX,TF_to_TF,,,,
RCOR1,MAZ,TF_to_TF,,,,
RCOR1,MYC,TF_to_TF,,,,
RCOR1,POLR2A,TF_to_TF,,,,
RCOR1,RCOR1,TF_to_TF,,,,
