node,type,direction
CHD2,TF,NA
BHLHE40,TF,NA
MYC,TF,NA
MAX,TF,NA
EP300,TF,NA
MAZ,TF,NA
POLR2A,TF,NA
H2AFZ,TF,NA
RCOR1,TF,NA
CTCF,TF,NA
MIR100HG,lncRNA,up
VCAM1,gene,up
CBARP,gene,up
CD200,gene,up
ZNF385D,gene,up
PRRX2,gene,up
STEAP2,gene,up
HDC,gene,up
SLCO5A1,gene,up
H2BC18,gene,up
TGFB3,gene,up
GEM,gene,up
GPR174,gene,up
C5orf58,gene,up
DACT1,gene,up
DMRT2,gene,up
DOK5,gene,up
H2BC5,gene,up
FGF2,gene,up
PPM1J,gene,up
NR4A3,gene,up
HAPLN3,gene,up
HGF,gene,up
PTGS2,gene,up
CCL11,gene,up
DRD1,gene,up
FGF7,gene,up
HILPDA,gene,up
TSLP,gene,up
ADAMTS4,gene,up
