logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000128595	4.50129901477833	6.50961798029557	114.294429376783	2.46105998428629e-312	5.34378157921364e-309	705.709595619688	CALU
ENSG00000065308	4.81197881773399	4.35698054187192	104.291900079923	1.28503237224053e-296	1.93170020140958e-293	669.693329386581	TRAM2
ENSG00000115414	8.25409507389163	9.79281009852217	103.899684033539	5.66828631211271e-296	7.9121179365219e-293	668.215478607065	FN1
ENSG00000049449	3.91550295566502	6.40853374384236	103.19282968359	8.33218345310099e-295	1.08551686027e-291	665.538802531052	RCN1
ENSG00000196549	9.84512561576354	4.82675541871922	97.4457761870539	4.96059679977321e-285	4.61618965053181e-282	643.116412164444	MME
ENSG00000164294	5.3915512315271	4.22926231527093	94.2832882793712	2.0079272907398e-279	1.40138982555847e-276	630.247580654193	GPX8
ENSG00000171451	4.93756009852217	1.84362684729064	93.1643114431281	2.12790418648904e-277	1.29948448788653e-274	625.598562113388	DSEL
ENSG00000166073	5.59484384236453	3.6547657635468	90.3477970509347	3.35025265561107e-272	1.67873429220389e-269	613.665658417554	GPR176
ENSG00000255248	3.90948522167488	3.98573965517242	90.3312706773391	3.59752402759527e-272	1.75757036368167e-269	613.594639782305	MIR100HG
ENSG00000206538	5.76673448275862	3.62245935960591	89.5055839603716	1.2813855259247e-270	5.82345022037684e-268	610.03122491853	VGLL3
ENSG00000265808	2.94005418719212	4.59957733990148	89.401324542829	2.01617760705367e-270	8.9545779084188e-268	609.579141019915	SEC22B
ENSG00000166130	5.39634926108374	3.18715197044335	87.640815472501	4.57237875462751e-267	1.78706851245861e-264	601.871902964207	IKBIP
ENSG00000177707	5.92662463054187	2.32179359605912	87.4655255437227	9.9441426277367e-267	3.81036147512217e-264	601.096823498823	NECTIN3
ENSG00000198431	5.05348177339902	5.62127684729064	87.355474124419	1.620772533363e-266	5.97606355603393e-264	600.609488462409	TXNRD1
ENSG00000180398	2.88229014778325	5.32139729064039	83.5202220557632	5.71528428784444e-259	1.50929845341968e-256	583.269393705823	MCFD2
ENSG00000067167	3.45137044334975	6.43362857142858	82.9768468384928	7.09966090360008e-258	1.71285893059448e-255	580.754927107664	TRAM1
ENSG00000204262	4.81409655172414	5.01830985221675	82.9723709881065	7.24898296018738e-258	1.72755640253636e-255	580.734153904097	COL5A2
ENSG00000151135	3.96989507389163	3.99568990147783	82.946023211489	8.19404028559224e-258	1.92925223206077e-255	580.611848915671	TMEM263
ENSG00000150093	3.66500344827586	7.5907027093596	81.3352682726166	1.57020250866492e-254	3.29945133594946e-252	573.067996439245	ITGB1
ENSG00000136010	5.76079162561577	2.44569236453202	80.5819587706788	5.63453570026137e-253	1.14698017348445e-250	569.494081474401	ALDH1L2
ENSG00000141756	4.40522118226601	5.9491775862069	80.1325206382157	4.83792691868426e-252	9.45427678449278e-250	567.347639798996	FKBP10
ENSG00000133818	3.2006078817734	4.79247931034483	79.4678809964616	1.18596878970803e-250	2.2284809700456e-248	564.153763907637	RRAS2
ENSG00000037965	4.11335911330049	3.00927216748769	78.6646164976385	5.8475094200289e-249	1.07803801024721e-246	560.262009658903	HOXC8
ENSG00000168615	3.64017192118227	5.54634556650246	78.513823925487	1.22027754711233e-248	2.22866017062329e-246	559.527517667484	ADAM9
ENSG00000182752	6.3543748768473	2.02831403940886	77.8227473200423	3.61049019510004e-247	6.03044439253376e-245	556.145363865201	PAPPA
ENSG00000149257	4.24139556650247	7.01266921182266	76.9114375761162	3.27367779235551e-245	4.88352758917644e-243	551.644725210507	SERPINH1
ENSG00000239264	3.26465172413794	5.94821551724138	76.8988587233327	3.48494713944599e-245	5.15930583326164e-243	551.582275524802	TXNDC5
ENSG00000162702	4.25027980295567	1.97761379310345	76.7799706222084	6.29637675069125e-245	9.11435514533395e-243	550.99159376978	ZNF281
ENSG00000163069	3.22572561576355	3.68328251231527	76.1050329147395	1.83694582940248e-243	2.52826871267982e-241	547.622968425205	SGCB
ENSG00000184304	4.35005024630542	2.82822857142857	76.1050117041772	1.83714132228295e-243	2.52826871267982e-241	547.622862152529	PRKD1
ENSG00000188343	3.42175960591133	3.49355270935961	76.1031775840134	1.85412508915745e-243	2.53379807638566e-241	547.613672441542	CIBAR1
ENSG00000136240	2.30944827586207	6.58320837438424	76.0778669246825	2.10522421307432e-243	2.85696469249295e-241	547.486835634958	KDELR2
ENSG00000153904	4.04362413793104	3.99823226600985	75.7525148275394	1.0808313425663e-242	1.41755745613629e-240	545.853136265173	DDAH1
ENSG00000197702	3.22141280788177	4.77581773399015	75.641671351022	1.8897635867802e-242	2.44567947105024e-240	545.29515423412	PARVA
ENSG00000152952	5.62827339901478	4.34142783251232	75.6085669545194	2.2332468306176e-242	2.87119141867954e-240	545.128369408149	PLOD2
ENSG00000167460	2.46404827586208	8.86234975369458	75.5489834188313	3.01681845347318e-242	3.85324615802437e-240	544.828018042488	TPM4
ENSG00000139278	5.23350935960591	3.2224645320197	75.3874525449162	6.82478383321792e-242	8.6045113334674e-240	544.012724587251	GLIPR1
ENSG00000114480	3.03824285714285	5.05683177339901	74.912051009988	7.60965150935874e-241	9.35269243999299e-239	541.604363048972	GBE1
ENSG00000082482	6.08235123152709	3.22453768472906	74.3742978720333	1.18289156102876e-239	1.43578055190212e-237	538.86403805383	KCNK2
ENSG00000163430	5.14029507389163	7.25996379310344	73.6383764020065	5.19681859637961e-238	5.93896076084504e-236	535.085844143613	FSTL1
ENSG00000163359	4.60007536945812	7.31215591133005	72.731430577391	5.75229127256951e-236	6.2450708915863e-234	530.384378602739	COL6A3
ENSG00000100528	2.79291773399015	6.09156822660099	72.6562286177528	8.51752780817104e-236	9.1455784850153e-234	529.99227365806	CNIH1
ENSG00000189184	5.38920886699507	3.48790246305419	72.2352250021007	7.71741399616102e-235	8.02200554856269e-233	527.790666512127	PCDH18
ENSG00000144810	7.92966502463054	4.0736842364532	72.1934171003814	9.61131991439256e-235	9.93779967021479e-233	527.571432390208	COL8A1
ENSG00000060982	6.15538522167488	1.4652118226601	72.0609494054997	1.92791166037623e-234	1.98290787721433e-232	526.876070188206	BCAT1
ENSG00000119408	4.26818226600985	3.55395615763547	71.8383605591519	6.22482619276361e-234	6.27038935355601e-232	525.705155843945	NEK6
ENSG00000148248	1.81840246305419	6.67710172413793	71.4650408214423	4.47615212184897e-233	4.39562637010917e-231	523.734315664536	SURF4
ENSG00000111450	3.33223743842365	3.31691330049261	70.9746769961959	6.05500512329867e-232	5.7162758511837e-230	521.132113372616	STX2
ENSG00000204381	4.78386256157635	2.88276724137931	70.7542845322638	1.96200411738494e-231	1.82200481479501e-229	519.95754501122	LAYN
ENSG00000130508	4.8506724137931	4.29308793103448	70.7537831693286	1.96726545861092e-231	1.82200481479501e-229	519.954869462773	PXDN
ENSG00000174939	5.35747684729064	1.27780689655172	70.6665219766669	3.1361478721563e-231	2.86385989334946e-229	519.488948676602	ASPHD1
ENSG00000164111	3.11683842364531	8.18208719211824	70.5258408953561	6.65833154451265e-231	6.05195883920308e-229	518.73676255736	ANXA5
ENSG00000115325	3.70192955665025	2.95942142857143	70.4336980897636	1.09099425117341e-230	9.87046743353277e-229	518.243403516489	DOK1
ENSG00000185127	2.89817438423645	3.62346699507389	70.3604614384287	1.61601850944961e-230	1.44863457392955e-228	517.850880334568	C6orf120
ENSG00000138758	4.5447960591133	5.3720645320197	70.1856749732466	4.13300765819285e-230	3.65462604780112e-228	516.912674693417	SEPTIN11
ENSG00000183287	5.83760985221675	3.31624827586207	70.0381383353425	9.1448325320181e-230	8.01382588971739e-228	516.119186980533	CCBE1
ENSG00000123094	3.89643645320198	2.75362512315271	69.6382043822753	7.9293752674073e-229	6.7666310688067e-227	513.961064264571	RASSF8
ENSG00000164647	5.84860591133005	3.79723793103448	69.4771038262573	1.89843035375869e-228	1.59759990734488e-226	513.088754308038	STEAP1
ENSG00000075420	3.28252463054187	3.88871206896552	69.4764839770649	1.90482437013282e-228	1.59759990734488e-226	513.085394697482	FNDC3B
ENSG00000181264	2.97083743842365	1.9078039408867	69.0858636288189	1.59327353078251e-227	1.31931149739627e-225	510.96313639532	TLCD5
ENSG00000073792	4.34806945812808	4.07938300492611	68.8126525732891	7.0808284968476e-227	5.69438479363769e-225	509.472712500814	IGF2BP2
ENSG00000134901	3.42716108374384	2.12635344827586	68.6711625567942	1.5360789207245e-226	1.21530584084204e-224	508.698884099859	POGLUT2
ENSG00000134352	3.67221871921183	5.31955714285714	68.2881181721948	1.25852748795429e-225	9.42304374314279e-224	506.597175066492	IL6ST
ENSG00000197894	2.65998078817734	6.67394556650247	68.1540494697237	2.63386781464231e-225	1.94966078915682e-223	505.859206637857	ADH5
ENSG00000166250	4.77522709359606	3.93011798029556	68.0073838341645	5.91653421383305e-225	4.31421311965393e-223	505.05049550128	CLMP
ENSG00000184838	4.87177044334975	3.24165467980295	67.9471005106181	8.2549830719271e-225	5.97477330339257e-223	504.717668078531	PRR16
ENSG00000087088	2.59450197044335	6.72472389162562	67.9358417669577	8.78503033937046e-225	6.33494697018367e-223	504.655480379385	BAX
ENSG00000148516	4.03409359605912	4.08822709359606	67.9043005198496	1.04587387663715e-224	7.51414238869232e-223	504.481215964483	ZEB1
ENSG00000164619	6.59336009852217	0.876526354679803	67.9027621109669	1.05480956152238e-224	7.55058185028216e-223	504.472714558672	BMPER
ENSG00000112769	4.33276995073892	5.51573916256158	67.8846774721593	1.16576913943974e-224	8.31440165070487e-223	504.372764815222	LAMA4
ENSG00000135318	5.1348960591133	4.0082815270936	67.5054664086007	9.54330971647202e-224	6.56673797462311e-222	502.271769447789	NT5E
ENSG00000166794	2.14659310344828	8.46298669950739	67.1379755912923	7.3903416410136e-223	4.89566292707416e-221	500.226220621478	PPIB
ENSG00000100934	3.31687192118226	4.6843408866995	66.8976018818451	2.83354876999326e-222	1.83355000209299e-220	498.883149608725	SEC23A
ENSG00000071054	2.98172561576355	5.46869088669951	66.7741618031097	5.6590372453069e-222	3.63016748788294e-220	498.191864527617	MAP4K4
ENSG00000122591	3.68505270935961	3.38346674876847	66.7595502845394	6.14232372975386e-222	3.92265654662908e-220	498.109966759185	HYCC1
ENSG00000173852	2.78616009852217	2.72124261083744	66.6074589610609	1.44270018989689e-221	9.09459584224679e-220	497.256600683887	DPY19L1
ENSG00000136193	3.19910689655173	4.00080123152709	66.4930520951511	2.74535276953164e-221	1.71404740645966e-219	496.613602628766	SCRN1
ENSG00000185088	2.95496453201971	7.21256600985221	66.3350174747964	6.6870195739999e-221	4.13537140870589e-219	495.723881941379	RPS27L
ENSG00000125384	5.24962610837438	1.97484556650246	66.2007527644724	1.42664214861004e-220	8.73963663577972e-219	494.966591667231	PTGER2
ENSG00000115415	3.09690591133005	5.82718251231527	66.1357492693251	2.05985903753565e-220	1.25401138042123e-218	494.599493245536	STAT1
ENSG00000129187	1.82197881773399	5.88820763546798	66.1251597438177	2.1869414104007e-220	1.32724251683387e-218	494.539661825384	DCTD
ENSG00000134910	2.23022068965517	6.27232857142858	66.017107307583	4.03020879758405e-220	2.41590000988919e-218	493.928702221365	STT3A
ENSG00000165410	4.32592561576355	4.68737955665024	65.936105005354	6.37662282315025e-220	3.8107634009175e-218	493.470144906047	CFL2
ENSG00000198612	2.26041379310345	5.7961551724138	65.8779632710806	8.86630576420274e-220	5.28248009890396e-218	493.140712719146	COPS8
ENSG00000176788	3.67673497536946	5.54311477832512	65.7685726295941	1.649527514792e-219	9.70935743797144e-218	492.520246300859	BASP1
ENSG00000114251	5.78996896551724	3.64708004926109	65.6388518519028	3.44798968768373e-219	2.02344187617764e-217	491.783352562408	WNT5A
ENSG00000078098	5.61978768472906	4.07772931034483	65.5279088768834	6.48389926822755e-219	3.78233908954337e-217	491.152166653179	FAP
ENSG00000083312	2.98363793103448	4.45141305418719	65.3032134072906	2.33614764360608e-218	1.34669608411062e-216	489.871085215805	TNPO1
ENSG00000187210	5.45139458128079	2.10144064039409	65.2945124339022	2.45520640337685e-218	1.41116598631736e-216	489.821403806991	GCNT1
ENSG00000172379	5.19058669950739	2.18431896551724	65.2818078809551	2.64005609803559e-218	1.50983790125594e-216	489.748852617274	ARNT2
ENSG00000180340	5.98113300492611	1.34951133004926	65.281657065339	2.64233221896188e-218	1.50983790125594e-216	489.747991292474	FZD2
ENSG00000150403	2.64030886699507	4.7829342364532	65.2334364106103	3.48087757657019e-218	1.98318686884358e-216	489.472513046498	TMCO3
ENSG00000143641	2.45381773399014	4.90398719211823	65.0732373981657	8.7073542297128e-218	4.88962978037493e-216	488.556102763211	GALNT2
ENSG00000166825	4.12081773399015	6.69669408866995	65.0351192117816	1.08331170711851e-217	6.06592475086243e-216	488.337774165147	ANPEP
ENSG00000115129	2.95352216748769	4.15438078817734	64.9706430816697	1.5679195227834e-217	8.72942544565046e-216	487.96823432105	TP53I3
ENSG00000105472	2.77287733990148	5.06780566502463	64.8856633421872	2.55362210585148e-217	1.41367941055381e-215	487.480715336671	CLEC11A
ENSG00000112208	4.28702266009852	1.45595960591133	64.725824924786	6.40048365116052e-217	3.4938059081279e-215	486.562306890172	BAG2
ENSG00000198121	3.64778128078818	5.21662167487684	64.6741989444029	8.6154233907852e-217	4.68976612542408e-215	486.265270577201	LPAR1
ENSG00000198363	2.86230640394089	6.1286433497537	64.646247095912	1.01202444743212e-216	5.47838829687491e-215	486.104364416344	ASPH
ENSG00000105419	3.69260985221675	3.73575073891626	64.5877827090332	1.41744127370177e-216	7.58894174539176e-215	485.767625318907	MEIS3
ENSG00000106333	4.05498472906405	7.26765197044335	64.5870262118645	1.42363616518361e-216	7.6012835901689e-215	485.763266448531	PCOLCE
ENSG00000001036	2.82747980295567	4.33466748768473	64.5401993687343	1.86495526770916e-216	9.87668179988413e-215	485.49337211783	FUCA2
ENSG00000168374	2.38755615763547	6.96204852216748	64.5084224678811	2.24020511050596e-216	1.18319157485155e-214	485.310128482263	ARF4
ENSG00000160691	2.54854039408867	6.83008152709359	64.4898333755696	2.49390016222607e-216	1.31363334151542e-214	485.202898661738	SHC1
ENSG00000188130	3.44959408866995	3.03364630541872	64.3907366344697	4.42017231942266e-216	2.32201632973542e-214	484.630835270422	MAPK12
