logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000118640	-6.96320541871921	4.10477709359606	-128.09785170583	0	0	750.753250522782	VAMP8
ENSG00000124466	-10.4311748768473	4.14734064039409	-121.089033313701	2.76676761671098e-322	2.7034086382883e-318	728.499814588963	LYPD3
ENSG00000186395	-9.41619113300493	8.93867339901477	-119.602164408674	3.69264663701748e-320	2.40539001935318e-316	723.619400695124	KRT10
ENSG00000108352	-6.79312610837439	4.70435714285714	-118.821633430557	4.9782054474964e-319	2.43210227137437e-315	721.03403419942	RAPGEFL1
ENSG00000102934	-6.90339507389163	3.05093497536946	-117.196986107078	1.17826484687355e-316	4.60513032750082e-313	715.599999151711	PLLP
ENSG00000102890	-5.38191625615763	2.24093694581281	-116.244737515224	3.0010274593028e-315	9.77434643494922e-312	712.381308784814	ELMO3
ENSG00000137699	-10.2230689655172	5.37381773399015	-115.572016763034	2.99996686636724e-314	8.37505035750693e-311	710.092201484222	TRIM29
ENSG00000101213	-8.31189458128079	1.49563054187192	-114.71706678363	5.69816952466874e-313	1.39192036063846e-309	707.164558472481	PTK6
ENSG00000128595	4.50129901477833	6.50961798029557	114.294429376783	2.46105998428629e-312	5.34378157921364e-309	705.709595619688	CALU
ENSG00000081277	-11.3373995073892	3.7225460591133	-112.293822692301	2.6857448284693e-309	5.2484825437947e-306	698.751948961907	PKP1
ENSG00000165272	-9.82056502463054	4.22500763546798	-108.611228425636	1.43259478062308e-303	2.54506974572147e-300	685.63074790997	AQP3
ENSG00000105357	-9.75809113300492	1.67750566502463	-106.008921025063	2.05836408230364e-299	3.35204590803147e-296	676.102029586883	MYH14
ENSG00000065308	4.81197881773399	4.35698054187192	104.291900079923	1.28503237224053e-296	1.93170020140958e-293	669.693329386581	TRAM2
ENSG00000115414	8.25409507389163	9.79281009852217	103.899684033539	5.66828631211271e-296	7.9121179365219e-293	668.215478607065	FN1
ENSG00000049449	3.91550295566502	6.40853374384236	103.19282968359	8.33218345310099e-295	1.08551686027e-291	665.538802531052	RCN1
ENSG00000068078	-9.47023300492611	3.24440320197045	-101.487130368053	5.86600945959426e-292	7.16459730371193e-289	659.008261137259	FGFR3
ENSG00000112378	-5.15817093596058	7.43860566502463	-100.17848143881	9.62077221803261e-290	1.10593606285172e-286	653.927876558255	PERP
ENSG00000173801	-8.44319802955665	5.59653497536946	-99.3743176670937	2.27780746082376e-288	2.472939633301e-285	650.775156450646	JUP
ENSG00000019582	-7.50281724137931	4.99109482758621	-99.3184402904662	2.84047547823586e-288	2.92150377872028e-285	650.555206472149	CD74
ENSG00000105699	-5.09821034482759	3.06600467980296	-99.3022241483381	3.02847428821563e-288	2.95912222701549e-285	650.491353321452	LSR
ENSG00000196549	9.84512561576354	4.82675541871922	97.4457761870539	4.96059679977321e-285	4.61618965053181e-282	643.116412164444	MME
ENSG00000143590	-6.58030837438424	3.34684827586207	-97.1781198641183	1.45745053676405e-284	1.2946135631565e-281	642.042363838063	EFNA3
ENSG00000171476	-10.7633886699507	4.84639039408867	-96.2785700845014	5.56386995478105e-283	4.72735420244919e-280	638.412440316126	HOPX
ENSG00000165795	-6.65925320197045	4.37883596059114	-96.044558970475	1.44239725593294e-282	1.17447196564339e-279	637.462991635225	NDRG2
ENSG00000143126	-7.70798522167488	1.3820236453202	-94.8999586995211	1.57037800856087e-280	1.22753308173186e-277	632.787962811849	CELSR2
