logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000255248	5.58194230769231	0.979651923076923	18.7923367136204	9.74904119344742e-26	1.88185742157116e-21	45.9169240905051	MIR100HG
ENSG00000213949	2.64078461538462	0.738196153846154	8.54579157954483	1.0523182843699e-11	8.36909104402231e-08	16.3868674412085	ITGA1
ENSG00000168621	5.32462307692308	-1.88226538461538	8.45761199228615	1.46370434848462e-11	8.36909104402231e-08	16.0731813458734	GDNF
ENSG00000148516	2.84937307692308	0.425155769230769	8.41234178222335	1.73425706761069e-11	8.36909104402231e-08	15.9119002584987	ZEB1
ENSG00000138685	3.99051538461539	-0.995511538461538	8.25604470106502	3.11790585646995e-11	1.20369873494879e-07	15.3538935212915	FGF2
ENSG00000134343	5.99291153846155	-5.37779038461538	8.2062076735137	3.76033629312262e-11	1.2097628577691e-07	15.1756029136487	ANO3
ENSG00000169129	3.48003461538462	2.72852115384615	7.91795033784206	1.11416317582994e-10	3.07238454043504e-07	14.141312648511	AFAP1L2
ENSG00000116132	2.85581923076923	2.73166730769231	7.7821566567925	1.86094354325831e-10	4.05674524001957e-07	13.6525083774535	PRRX1
ENSG00000139926	2.74519230769231	3.70813461538462	7.76892433336304	1.95640328619131e-10	4.05674524001957e-07	13.6048315800306	FRMD6
ENSG00000141338	4.70888076923077	-1.36075961538462	7.74223583267284	2.16413457830656e-10	4.05674524001957e-07	13.5086486226839	ABCA8
ENSG00000176697	5.28931923076923	-2.47149807692308	7.7247854351202	2.31177524945424e-10	4.05674524001957e-07	13.4457429130488	BDNF
ENSG00000154262	3.96656153846154	-0.7674	7.66682692770892	2.87852045230271e-10	4.63034002423326e-07	13.2367258294715	ABCA6
ENSG00000145431	3.42501153846154	0.0329365384615384	7.63072199256997	3.29997120619453e-10	4.899949553321e-07	13.1064564156586	PDGFC
ENSG00000182621	3.35418846153846	-0.481198076923077	7.53175496726685	4.80002859381101e-10	6.61821085330957e-07	12.7491533118589	PLCB1
ENSG00000106278	4.26165384615385	3.57898846153846	7.49427288587988	5.53224413179451e-10	6.69006427739423e-07	12.6137552122113	PTPRZ1
ENSG00000129244	4.36639615384616	0.924563461538461	7.47658499035786	5.91564061000167e-10	6.69006427739423e-07	12.5498477017007	ATP1B2
ENSG00000009694	4.85410000000001	-6.35083461538462	7.46277172958492	6.23346180249928e-10	6.69006427739423e-07	12.4999341319867	TENM1
ENSG00000126500	4.04623076923077	-1.31489230769231	7.46255981532781	6.23846847604498e-10	6.69006427739423e-07	12.4991683541717	FLRT1
ENSG00000175785	5.8780576923077	-1.43226346153846	7.43088155047553	7.03403912977639e-10	6.9960701079368e-07	12.3846835343237	PRIMA1
ENSG00000187678	2.44318846153846	4.50928269230769	7.4229487361901	7.24868684446646e-10	6.9960701079368e-07	12.3560109922988	SPRY4
ENSG00000137642	3.74628846153846	0.303478846153846	7.39851676233825	7.95184695455675e-10	7.19559770651044e-07	12.2676953921312	SORL1
ENSG00000127564	-1.39927307692308	4.968275	-7.39037698056948	8.20096096685643e-10	7.19559770651044e-07	12.238269474227	PKMYT1
ENSG00000127863	2.69989615384616	3.78107884615385	7.3374755519434	1.00216635269983e-09	8.11270088694924e-07	12.0469983925315	TNFRSF19
ENSG00000156103	5.14266153846154	-0.905476923076923	7.33576723296362	1.00867648182553e-09	8.11270088694924e-07	12.0408210185489	MMP16
ENSG00000175155	2.11761153846154	1.28746346153846	7.3163691147912	1.08563555319285e-09	8.38240923331261e-07	11.9706734208785	YPEL2
ENSG00000113369	3.32880384615385	3.40509423076923	7.29437478172714	1.1800257569595e-09	8.50148683215161e-07	11.8911312795182	ARRDC3
ENSG00000104044	-5.02844230769231	1.92260576923077	-7.28194294691969	1.23696547610425e-09	8.50148683215161e-07	11.8461691656844	OCA2
ENSG00000072134	1.41737692307692	3.11868461538462	7.27350567306804	1.27716726047501e-09	8.50148683215161e-07	11.8156531731755	EPN2
ENSG00000197977	4.83866923076923	1.39709615384615	7.26488425995067	1.31959687485966e-09	8.50148683215161e-07	11.7844704233753	ELOVL2
ENSG00000150893	5.36329615384616	-2.63608653846154	7.26455014917045	1.3212692584808e-09	8.50148683215161e-07	11.7832619647663	FREM2
ENSG00000104332	5.06046538461539	1.93561730769231	7.19524719594754	1.71825979093784e-09	1.06992157240236e-06	11.5325780273376	SFRP1
ENSG00000145623	2.66304615384615	1.53866538461538	7.18415521271342	1.79205108993362e-09	1.08099881840589e-06	11.4924532189714	OSMR
ENSG00000119801	1.31903846153846	4.79647692307692	7.0778617291985	2.6812677008553e-09	1.40547784494642e-06	11.107932635858	YPEL5
ENSG00000092096	3.40940384615385	2.69580192307692	7.07725443557396	2.68744677082112e-09	1.40547784494642e-06	11.1057357848548	SLC22A17
ENSG00000131773	2.49978076923077	4.431175	7.06823121960617	2.78095039712591e-09	1.40547784494642e-06	11.073095007417	KHDRBS3
ENSG00000109670	1.61855769230769	2.371975	7.06707241790058	2.79319178133496e-09	1.40547784494642e-06	11.0689031625798	FBXW7
ENSG00000172164	2.73738846153846	2.28015961538462	7.06666806387377	2.7974759700222e-09	1.40547784494642e-06	11.0674404555519	SNTB1
ENSG00000137460	2.85453846153846	2.12113846153846	7.05158263648045	2.9620887413689e-09	1.40547784494642e-06	11.0128712214662	FHDC1
ENSG00000112769	2.21009230769231	4.87083846153846	7.0510983464003	2.96753073147422e-09	1.40547784494642e-06	11.0111193991505	LAMA4
ENSG00000164283	2.68818461538462	-0.259534615384615	7.04629924564336	3.02200144239597e-09	1.40547784494642e-06	10.9937596988206	ESM1
ENSG00000186908	1.91916538461539	2.13160576923077	7.04341659589344	3.05519918868967e-09	1.40547784494642e-06	10.9833324186229	ZDHHC17
ENSG00000116001	2.13709230769231	3.66783076923077	7.04316814281044	3.05807747436925e-09	1.40547784494642e-06	10.9824337031543	TIA1
ENSG00000150764	2.26886923076923	1.03407692307692	7.02965495520175	3.21877579199374e-09	1.44493090960128e-06	10.9335539078073	DIXDC1
ENSG00000156265	2.18839615384615	0.842863461538462	7.02131649675013	3.3221181069076e-09	1.45742831403721e-06	10.9033928452179	MAP3K7CL
ENSG00000114698	2.82011923076923	1.32975576923077	6.99842508411352	3.62318253900333e-09	1.55418427889736e-06	10.8205955942452	PLSCR4
ENSG00000128512	2.14780769230769	1.06519615384615	6.97849954127276	3.90734192433804e-09	1.62943446726942e-06	10.7485303462401	DOCK4
ENSG00000185716	1.70514230769231	2.49509807692308	6.97219565640988	4.00179722667749e-09	1.62943446726942e-06	10.7257319135798	MOSMO
ENSG00000037757	1.30060384615385	3.05515961538462	6.96434440008934	4.12263320293004e-09	1.62943446726942e-06	10.6973380279168	MRI1
ENSG00000198121	3.17329230769231	-0.219907692307692	6.9634732622253	4.13626321795584e-09	1.62943446726942e-06	10.6941876290522	LPAR1
ENSG00000147408	2.99566538461539	2.95571346153846	6.92555724673124	4.77522513816315e-09	1.84352341683927e-06	10.5570782595513	CSGALNACT1
ENSG00000147894	2.01988076923077	0.832378846153846	6.90971808491336	5.07050813162076e-09	1.91127606500281e-06	10.4998086334179	C9orf72
ENSG00000144445	2.04553461538462	1.35995576923077	6.90460846377358	5.16960117929746e-09	1.91127606500281e-06	10.4813347408104	KANSL1L
ENSG00000164414	1.59471153846154	3.25287884615385	6.90064650040404	5.24776622520588e-09	1.91127606500281e-06	10.4670105507573	SLC35A1
ENSG00000119844	1.33498461538462	3.52505	6.89243756534194	5.4134948190314e-09	1.92632019265562e-06	10.4373326936959	AFTPH
ENSG00000132549	1.64085769230769	2.07095961538462	6.88879681149602	5.48866034274771e-09	1.92632019265562e-06	10.4241706543168	VPS13B
ENSG00000163389	1.72221538461538	2.34190384615385	6.87010907542378	5.89119623339705e-09	2.02877936770186e-06	10.3566150617548	POGLUT1
ENSG00000109381	1.81817692307692	2.83978076923077	6.86568178263783	5.99080059881914e-09	2.02877936770186e-06	10.3406116126145	ELF2
ENSG00000185432	2.30884615384615	2.13378846153846	6.84668296622658	6.43767410879748e-09	2.14252454003651e-06	10.2719410585358	TMT1A
ENSG00000047346	1.67197692307692	2.44793076923077	6.8206943711851	7.10331994347907e-09	2.32398957405045e-06	10.1780200410593	ATOSA
ENSG00000033170	2.18280769230769	3.09177692307692	6.81509829312198	7.25540753692811e-09	2.33418552808872e-06	10.1577984165851	FUT8
ENSG00000196323	1.65303076923077	2.10191538461539	6.81060146580312	7.37997183170319e-09	2.33533764372732e-06	10.1415495673584	ZBTB44
ENSG00000184564	5.44750384615385	-3.502725	6.80101466913595	7.65270162155702e-09	2.38258224840186e-06	10.1069104136301	SLITRK6
ENSG00000249437	1.85656923076923	1.52064230769231	6.78921011418615	8.00237842347215e-09	2.45190334457592e-06	10.0642614958331	NAIP
ENSG00000103479	2.18531923076923	3.25413269230769	6.75698791881067	9.04016388333647e-09	2.62492951182103e-06	9.94786588852619	RBL2
ENSG00000134884	2.33830769230769	4.55503076923077	6.75578974138504	9.08124158584913e-09	2.62492951182103e-06	9.94353834427007	ARGLU1
ENSG00000170242	1.67255	4.04647115384615	6.75291704099874	9.18048782893453e-09	2.62492951182103e-06	9.93316298808245	USP47
ENSG00000185305	2.10456153846154	2.39106153846154	6.74840009803945	9.3387323401508e-09	2.62492951182103e-06	9.91684963662571	ARL15
ENSG00000102710	1.41193461538462	3.94634038461538	6.7457850607232	9.431587090938e-09	2.62492951182103e-06	9.90740548947659	SUPT20H
ENSG00000019144	1.57804615384615	5.57203846153846	6.74354001310905	9.51203869150687e-09	2.62492951182103e-06	9.89929772785141	PHLDB1
ENSG00000113580	1.97978846153846	2.63382884615385	6.74334692013802	9.51899009622711e-09	2.62492951182103e-06	9.89860039982096	NR3C1
ENSG00000175309	1.19468076923077	3.59335961538461	6.72889479129189	1.00539161771032e-08	2.69161633011527e-06	9.84641206231113	PHYKPL
