source,target,etype,regulation,weight,logFC,adj.P.Val
RCOR1,MIR100HG,TF_to_MIR,,,,
MAX,MIR100HG,TF_to_MIR,,,,
BHLHE40,MIR100HG,TF_to_MIR,,,,
EP300,MIR100HG,TF_to_MIR,,,,
CTCF,MIR100HG,TF_to_MIR,,,,
CHD2,MIR100HG,TF_to_MIR,,,,
H2AFZ,MIR100HG,TF_to_MIR,,,,
MYC,MIR100HG,TF_to_MIR,,,,
POLR2A,MIR100HG,TF_to_MIR,,,,
MAZ,MIR100HG,TF_to_MIR,,,,
MIR100HG,VAMP8,MIR_to_gene,repression,6.96320541871921,-6.96320541871921,0.0
MIR100HG,LYPD3,MIR_to_gene,repression,10.4311748768473,-10.4311748768473,2.70341e-318
MIR100HG,KRT10,MIR_to_gene,repression,9.41619113300493,-9.41619113300493,2.40539e-316
MIR100HG,RAPGEFL1,MIR_to_gene,repression,6.79312610837439,-6.79312610837439,2.43210227e-315
MIR100HG,PLLP,MIR_to_gene,repression,6.90339507389163,-6.90339507389163,4.6051303275e-313
MIR100HG,ELMO3,MIR_to_gene,repression,5.38191625615763,-5.38191625615763,9.77434643495e-312
MIR100HG,TRIM29,MIR_to_gene,repression,10.2230689655172,-10.2230689655172,8.375050357507e-311
MIR100HG,PTK6,MIR_to_gene,repression,8.31189458128079,-8.31189458128079,1.39192036063846e-309
MIR100HG,PKP1,MIR_to_gene,repression,11.3373995073892,-11.3373995073892,5.2484825437946994e-306
MIR100HG,AQP3,MIR_to_gene,repression,9.82056502463054,-9.82056502463054,2.54506974572147e-300
MIR100HG,MYH14,MIR_to_gene,repression,9.75809113300492,-9.75809113300492,3.3520459080314703e-296
MIR100HG,FGFR3,MIR_to_gene,repression,9.47023300492611,-9.47023300492611,7.16459730371193e-289
MIR100HG,PERP,MIR_to_gene,repression,5.15817093596058,-5.15817093596058,1.10593606285172e-286
MIR100HG,JUP,MIR_to_gene,repression,8.44319802955665,-8.44319802955665,2.472939633301e-285
MIR100HG,CD74,MIR_to_gene,repression,7.50281724137931,-7.50281724137931,2.92150377872028e-285
MIR100HG,LSR,MIR_to_gene,repression,5.09821034482759,-5.09821034482759,2.95912222701549e-285
MIR100HG,EFNA3,MIR_to_gene,repression,6.58030837438424,-6.58030837438424,1.2946135631564999e-281
MIR100HG,HOPX,MIR_to_gene,repression,10.7633886699507,-10.7633886699507,4.72735420244919e-280
MIR100HG,NDRG2,MIR_to_gene,repression,6.65925320197045,-6.65925320197045,1.17447196564339e-279
MIR100HG,CELSR2,MIR_to_gene,repression,7.70798522167488,-7.70798522167488,1.22753308173186e-277
MIR100HG,DUOX1,MIR_to_gene,repression,7.12856403940887,-7.12856403940887,1.62710662273562e-277
MIR100HG,ZNF385A,MIR_to_gene,repression,5.06024187192118,-5.06024187192118,6.02875924992204e-277
MIR100HG,KRT1,MIR_to_gene,repression,13.0168842364532,-13.0168842364532,1.4338134795304299e-276
MIR100HG,ERBB3,MIR_to_gene,repression,7.73366256157636,-7.73366256157636,1.8881116772178698e-275
MIR100HG,RHOV,MIR_to_gene,repression,9.4141354679803,-9.4141354679803,5.0256018604539095e-275
MIR100HG,S100A14,MIR_to_gene,repression,8.99770837438423,-8.99770837438423,1.35742246136392e-274
MIR100HG,CXCL14,MIR_to_gene,repression,9.8301354679803,-9.8301354679803,8.38329787947012e-274
MIR100HG,EVPL,MIR_to_gene,repression,10.5366236453202,-10.5366236453202,1.34808853806137e-272
MIR100HG,PKP3,MIR_to_gene,repression,7.83193842364532,-7.83193842364532,3.30662841768746e-272
MIR100HG,ALS2CL,MIR_to_gene,repression,7.11088719211822,-7.11088719211822,8.31203003200858e-271
BHLHE40,BHLHE40,TF_to_TF,,,,
BHLHE40,CHD2,TF_to_TF,,,,
BHLHE40,CTCF,TF_to_TF,,,,
BHLHE40,EP300,TF_to_TF,,,,
BHLHE40,H2AFZ,TF_to_TF,,,,
BHLHE40,MAX,TF_to_TF,,,,
BHLHE40,MAZ,TF_to_TF,,,,
BHLHE40,MYC,TF_to_TF,,,,
BHLHE40,POLR2A,TF_to_TF,,,,
BHLHE40,RCOR1,TF_to_TF,,,,
CHD2,BHLHE40,TF_to_TF,,,,
CHD2,CHD2,TF_to_TF,,,,
CHD2,CTCF,TF_to_TF,,,,
CHD2,EP300,TF_to_TF,,,,
CHD2,H2AFZ,TF_to_TF,,,,
CHD2,MAX,TF_to_TF,,,,
CHD2,MAZ,TF_to_TF,,,,
CHD2,MYC,TF_to_TF,,,,
CHD2,POLR2A,TF_to_TF,,,,
CHD2,RCOR1,TF_to_TF,,,,
CTCF,BHLHE40,TF_to_TF,,,,
CTCF,CHD2,TF_to_TF,,,,
CTCF,CTCF,TF_to_TF,,,,
CTCF,EP300,TF_to_TF,,,,
CTCF,H2AFZ,TF_to_TF,,,,
CTCF,MAX,TF_to_TF,,,,
CTCF,MAZ,TF_to_TF,,,,
CTCF,MYC,TF_to_TF,,,,
CTCF,POLR2A,TF_to_TF,,,,
CTCF,RCOR1,TF_to_TF,,,,
EP300,BHLHE40,TF_to_TF,,,,
EP300,CHD2,TF_to_TF,,,,
EP300,CTCF,TF_to_TF,,,,
EP300,EP300,TF_to_TF,,,,
EP300,H2AFZ,TF_to_TF,,,,
EP300,MAX,TF_to_TF,,,,
EP300,MAZ,TF_to_TF,,,,
EP300,MYC,TF_to_TF,,,,
EP300,POLR2A,TF_to_TF,,,,
EP300,RCOR1,TF_to_TF,,,,
H2AFZ,BHLHE40,TF_to_TF,,,,
