node,type,direction
RCOR1,TF,NA
MAX,TF,NA
BHLHE40,TF,NA
EP300,TF,NA
CTCF,TF,NA
CHD2,TF,NA
H2AFZ,TF,NA
MYC,TF,NA
POLR2A,TF,NA
MAZ,TF,NA
MIR100HG,lncRNA,NA
VAMP8,gene,down
LYPD3,gene,down
KRT10,gene,down
RAPGEFL1,gene,down
PLLP,gene,down
ELMO3,gene,down
TRIM29,gene,down
PTK6,gene,down
PKP1,gene,down
AQP3,gene,down
MYH14,gene,down
FGFR3,gene,down
PERP,gene,down
JUP,gene,down
CD74,gene,down
LSR,gene,down
EFNA3,gene,down
HOPX,gene,down
NDRG2,gene,down
CELSR2,gene,down
DUOX1,gene,down
ZNF385A,gene,down
KRT1,gene,down
ERBB3,gene,down
RHOV,gene,down
S100A14,gene,down
CXCL14,gene,down
EVPL,gene,down
PKP3,gene,down
ALS2CL,gene,down
