source,target,etype,regulation,weight,logFC,adj.P.Val
RCOR1,MIR100HG,TF_to_MIR,,,,
MAX,MIR100HG,TF_to_MIR,,,,
BHLHE40,MIR100HG,TF_to_MIR,,,,
EP300,MIR100HG,TF_to_MIR,,,,
CTCF,MIR100HG,TF_to_MIR,,,,
CHD2,MIR100HG,TF_to_MIR,,,,
H2AFZ,MIR100HG,TF_to_MIR,,,,
MYC,MIR100HG,TF_to_MIR,,,,
POLR2A,MIR100HG,TF_to_MIR,,,,
MAZ,MIR100HG,TF_to_MIR,,,,
MIR100HG,CALU,MIR_to_gene,activation,4.50129901477833,4.50129901477833,5.34378157921364e-309
MIR100HG,TRAM2,MIR_to_gene,activation,4.81197881773399,4.81197881773399,1.93170020140958e-293
MIR100HG,FN1,MIR_to_gene,activation,8.25409507389163,8.25409507389163,7.9121179365219e-293
MIR100HG,RCN1,MIR_to_gene,activation,3.91550295566502,3.91550295566502,1.0855168602699998e-291
MIR100HG,MME,MIR_to_gene,activation,9.84512561576354,9.84512561576354,4.61618965053181e-282
MIR100HG,GPX8,MIR_to_gene,activation,5.3915512315271,5.3915512315271,1.40138982555847e-276
MIR100HG,DSEL,MIR_to_gene,activation,4.93756009852217,4.93756009852217,1.29948448788653e-274
MIR100HG,GPR176,MIR_to_gene,activation,5.59484384236453,5.59484384236453,1.67873429220389e-269
MIR100HG,MIR100HG,MIR_to_gene,activation,3.90948522167488,3.90948522167488,1.75757036368167e-269
MIR100HG,VGLL3,MIR_to_gene,activation,5.76673448275862,5.76673448275862,5.82345022037684e-268
MIR100HG,SEC22B,MIR_to_gene,activation,2.94005418719212,2.94005418719212,8.954577908418799e-268
MIR100HG,IKBIP,MIR_to_gene,activation,5.39634926108374,5.39634926108374,1.78706851245861e-264
MIR100HG,NECTIN3,MIR_to_gene,activation,5.92662463054187,5.92662463054187,3.8103614751221703e-264
MIR100HG,TXNRD1,MIR_to_gene,activation,5.05348177339902,5.05348177339902,5.97606355603393e-264
MIR100HG,MCFD2,MIR_to_gene,activation,2.88229014778325,2.88229014778325,1.50929845341968e-256
MIR100HG,TRAM1,MIR_to_gene,activation,3.45137044334975,3.45137044334975,1.71285893059448e-255
MIR100HG,COL5A2,MIR_to_gene,activation,4.81409655172414,4.81409655172414,1.72755640253636e-255
MIR100HG,TMEM263,MIR_to_gene,activation,3.96989507389163,3.96989507389163,1.92925223206077e-255
MIR100HG,ITGB1,MIR_to_gene,activation,3.66500344827586,3.66500344827586,3.2994513359494598e-252
MIR100HG,ALDH1L2,MIR_to_gene,activation,5.76079162561577,5.76079162561577,1.1469801734844499e-250
MIR100HG,FKBP10,MIR_to_gene,activation,4.40522118226601,4.40522118226601,9.45427678449278e-250
MIR100HG,RRAS2,MIR_to_gene,activation,3.2006078817734,3.2006078817734,2.2284809700456002e-248
MIR100HG,HOXC8,MIR_to_gene,activation,4.11335911330049,4.11335911330049,1.0780380102472099e-246
MIR100HG,ADAM9,MIR_to_gene,activation,3.64017192118227,3.64017192118227,2.22866017062329e-246
MIR100HG,PAPPA,MIR_to_gene,activation,6.3543748768473,6.3543748768473,6.030444392533761e-245
MIR100HG,SERPINH1,MIR_to_gene,activation,4.24139556650247,4.24139556650247,4.88352758917644e-243
MIR100HG,TXNDC5,MIR_to_gene,activation,3.26465172413794,3.26465172413794,5.15930583326164e-243
MIR100HG,ZNF281,MIR_to_gene,activation,4.25027980295567,4.25027980295567,9.11435514533395e-243
MIR100HG,PRKD1,MIR_to_gene,activation,4.35005024630542,4.35005024630542,2.52826871267982e-241
MIR100HG,SGCB,MIR_to_gene,activation,3.22572561576355,3.22572561576355,2.52826871267982e-241
BHLHE40,BHLHE40,TF_to_TF,,,,
BHLHE40,CHD2,TF_to_TF,,,,
BHLHE40,CTCF,TF_to_TF,,,,
BHLHE40,EP300,TF_to_TF,,,,
BHLHE40,H2AFZ,TF_to_TF,,,,
BHLHE40,MAX,TF_to_TF,,,,
BHLHE40,MAZ,TF_to_TF,,,,
BHLHE40,MYC,TF_to_TF,,,,
BHLHE40,POLR2A,TF_to_TF,,,,
BHLHE40,RCOR1,TF_to_TF,,,,
CHD2,BHLHE40,TF_to_TF,,,,
CHD2,CHD2,TF_to_TF,,,,
CHD2,CTCF,TF_to_TF,,,,
CHD2,EP300,TF_to_TF,,,,
CHD2,H2AFZ,TF_to_TF,,,,
CHD2,MAX,TF_to_TF,,,,
CHD2,MAZ,TF_to_TF,,,,
CHD2,MYC,TF_to_TF,,,,
CHD2,POLR2A,TF_to_TF,,,,
CHD2,RCOR1,TF_to_TF,,,,
CTCF,BHLHE40,TF_to_TF,,,,
CTCF,CHD2,TF_to_TF,,,,
CTCF,CTCF,TF_to_TF,,,,
CTCF,EP300,TF_to_TF,,,,
CTCF,H2AFZ,TF_to_TF,,,,
CTCF,MAX,TF_to_TF,,,,
CTCF,MAZ,TF_to_TF,,,,
CTCF,MYC,TF_to_TF,,,,
CTCF,POLR2A,TF_to_TF,,,,
CTCF,RCOR1,TF_to_TF,,,,
EP300,BHLHE40,TF_to_TF,,,,
EP300,CHD2,TF_to_TF,,,,
EP300,CTCF,TF_to_TF,,,,
EP300,EP300,TF_to_TF,,,,
EP300,H2AFZ,TF_to_TF,,,,
EP300,MAX,TF_to_TF,,,,
EP300,MAZ,TF_to_TF,,,,
EP300,MYC,TF_to_TF,,,,
EP300,POLR2A,TF_to_TF,,,,
EP300,RCOR1,TF_to_TF,,,,
H2AFZ,BHLHE40,TF_to_TF,,,,
