node,type,direction
RCOR1,TF,NA
MAX,TF,NA
BHLHE40,TF,NA
EP300,TF,NA
CTCF,TF,NA
CHD2,TF,NA
H2AFZ,TF,NA
MYC,TF,NA
POLR2A,TF,NA
MAZ,TF,NA
MIR100HG,lncRNA,up
CALU,gene,up
TRAM2,gene,up
FN1,gene,up
RCN1,gene,up
MME,gene,up
GPX8,gene,up
DSEL,gene,up
GPR176,gene,up
VGLL3,gene,up
SEC22B,gene,up
IKBIP,gene,up
NECTIN3,gene,up
TXNRD1,gene,up
MCFD2,gene,up
TRAM1,gene,up
COL5A2,gene,up
TMEM263,gene,up
ITGB1,gene,up
ALDH1L2,gene,up
FKBP10,gene,up
RRAS2,gene,up
HOXC8,gene,up
ADAM9,gene,up
PAPPA,gene,up
SERPINH1,gene,up
TXNDC5,gene,up
ZNF281,gene,up
PRKD1,gene,up
SGCB,gene,up
