Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
ANKRD9	-1.34986538461538	6.69166899595363e-06	-1.9360472906404	3.02533450818519e-110	DOWN	DOWN	True	True	0.58618190602502
ARHGAP8	-3.61360769230769	1.24840683262833e-05	-5.33007536945812	9.79387722485128e-75	DOWN	DOWN	True	True	1.7164676771504301
CAPG	-2.33519230769231	0.000127901810437	-1.39014630541873	8.81725759337897e-76	DOWN	DOWN	True	True	-0.94504600227358
FNDC10	-2.21611538461539	5.41513914709788e-06	-1.52711724137931	1.06811552992974e-49	DOWN	DOWN	True	True	-0.6889981432360801
KREMEN2	-2.42219230769231	5.24399874964763e-05	-6.45783054187192	5.67063863723013e-122	DOWN	DOWN	True	True	4.0356382341796095
KRTAP19-1	-5.72158076923077	1.62721869339821e-05	-3.73570591133004	6.72479763890259e-21	DOWN	DOWN	True	True	-1.98587485790073
NEDD4L	-1.16398461538461	0.0003623433171334	-1.93148571428571	1.48340620260619e-72	DOWN	DOWN	True	True	0.7675010989011
NMRK2	-5.46133846153846	0.0001453147182543	-2.77949852216748	1.88418760125773e-18	DOWN	DOWN	True	True	-2.68183993937098
NUDT8	-1.41806538461538	6.14798918478611e-05	-3.04146699507389	3.5349928007165396e-160	DOWN	DOWN	True	True	1.6234016104585103
OCA2	-5.02844230769231	8.50148683215161e-07	-9.28616256157635	1.94312063436475e-164	DOWN	DOWN	True	True	4.257720253884041
PAEP	-6.18762307692308	0.0002213947339607	-8.78266009852215	4.35532914355533e-170	DOWN	DOWN	True	True	2.5950370215990706
PMEL	-2.73811538461539	0.0001735733205675	-5.32110492610837	1.9803005570043998e-154	DOWN	DOWN	True	True	2.5829895414929798
PRR5-ARHGAP8	-3.85640384615385	0.0007179006677605	-4.1833527093596	2.5078382243501297e-30	DOWN	DOWN	True	True	0.3269488632057498
RTN4R	-1.86556538461538	6.00119010006331e-05	-5.28059753694582	1.09722764632362e-172	DOWN	DOWN	True	True	3.41503215233044
RUNX3	-1.26935769230769	0.0004653568878355	-2.20451428571428	1.85440540325341e-76	DOWN	DOWN	True	True	0.93515659340659
SCARB1	-1.32283846153846	0.0003748760112359	-1.29542610837438	2.1893690080628598e-107	DOWN	DOWN	True	True	-0.027412353164079972
SLC6A17	-2.33854230769231	0.0001533504545964	-5.3686763546798	4.94399012780232e-133	DOWN	DOWN	True	True	3.03013404698749
SLC7A4	-3.29191923076923	0.0006205357332156	-4.56695763546797	3.34406304979916e-80	DOWN	DOWN	True	True	1.2750384046987402
