Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
A1BG	-0.276692307692305	0.284473225246335	2.3988433497537	2.2923629798091e-143	NS	UP	False	True	-2.675535657446005
A2M	0.514849999999996	0.363309799000181	-2.03238226600985	3.36314061399525e-37	NS	DOWN	False	True	2.547232266009846
A2ML1	0.511880769230769	0.745817997503338	-8.46530147783251	6.89682452088732e-191	NS	DOWN	False	True	8.97718224706328
A3GALT2	0.937130769230771	0.235293636533658	1.07824679802955	0.0002651445854143	NS	UP	False	True	-0.14111602879877905
A4GNT	2.2391076923077	0.0054370902303387	1.74174285714285	9.23507624901773e-10	NS	UP	False	True	0.49736483516484986
AACS	0.456215384615385	0.146777117364921	-2.10181034482758	1.5057655638383502e-167	NS	DOWN	False	True	2.558025729442965
AADAC	1.29328846153847	0.267603544407755	-7.43653152709359	5.07100382698584e-104	NS	DOWN	False	True	8.729819988632059
AADACL2	0.260346153846157	0.874657582323931	-12.7635492610837	6.56997306768539e-213	NS	DOWN	False	True	13.023895414929857
AADACL3	-0.567288461538462	0.382259705208913	-4.59366256157635	1.1557416278521199e-34	NS	DOWN	False	True	4.026374100037888
AADACL4	-0.339115384615383	0.443019272455931	3.31684039408866	7.37482087868759e-27	NS	UP	False	True	-3.655955778704043
AAK1	0.606826923076923	0.0132211930051004	1.26216896551724	3.91627940443101e-94	NS	UP	False	True	-0.6553420424403169
AANAT	-0.374857692307693	0.654922437696401	-1.87383152709359	1.1852205340125098e-11	NS	DOWN	False	True	1.498973834785897
AARD	2.91224230769231	0.0089317809699695	-2.84720344827586	4.5942912318366303e-35	NS	DOWN	False	True	5.759445755968169
AARS1	0.369557692307693	0.211404726173366	1.59279901477832	6.44564990957216e-119	NS	UP	False	True	-1.223241322470627
AASS	1.23961923076923	0.0020567580769973	1.38257290640394	1.8993270902245102e-73	NS	UP	False	True	-0.14295367563471006
AATK	0.755988461538463	0.197325210857478	-2.71089507389163	1.43562385569617e-104	NS	DOWN	False	True	3.466883535430093
ABCA12	1.4595	0.270174192696599	-8.51261970443349	2.28793402077315e-186	NS	DOWN	False	True	9.97211970443349
ABCA13	1.22544615384615	0.135688430848545	-3.32177783251231	4.1472942693999904e-54	NS	DOWN	False	True	4.5472239863584605
ABCA3	-0.0623115384615391	0.913288810773768	-4.31331674876848	2.00675448687533e-183	NS	DOWN	False	True	4.251005210306941
ABCA4	0.530746153846155	0.559248659551287	-1.21664827586207	1.25845563992946e-13	NS	DOWN	False	True	1.747394429708225
ABCA5	1.10596153846154	0.008664170748372	-1.87742413793104	1.1794277113199599e-125	NS	DOWN	False	True	2.98338567639258
ABCA7	-0.375846153846155	0.245507885580086	-2.60715714285714	5.54626273446876e-117	NS	DOWN	False	True	2.231310989010985
ABCB1	0.858819230769231	0.0747831072894099	-3.65916354679803	1.33252418718533e-65	NS	DOWN	False	True	4.517982777567261
ABCB11	0.767596153846155	0.326205001288882	-5.9359448275862	9.09740925633296e-118	NS	DOWN	False	True	6.703540981432354
ABCB4	0.135307692307692	0.847783780357891	-1.69412315270936	4.6229769397536995e-34	NS	DOWN	False	True	1.829430845017052
ABCB5	-1.41511153846154	0.154823847813154	-2.55500837438423	3.56691756502257e-14	NS	DOWN	False	True	1.1398968359226898
ABCC1	0.474119230769231	0.190187036543538	1.41946206896552	4.27495640051413e-133	NS	UP	False	True	-0.945342838196289
ABCC12	2.59728846153847	0.0023458315331939	-1.46476206896552	7.643233082534271e-09	NS	DOWN	False	True	4.06205053050399
ABCC3	0.982738461538462	0.0197290607232254	1.3230236453202	8.02557008373616e-77	NS	UP	False	True	-0.340285183781738
ABCC4	1.39032307692308	0.0516084320720579	2.01581280788177	8.879560105599989e-114	NS	UP	False	True	-0.6254897309586898
ABCC8	2.5758576923077	0.0118308826286231	-4.71790837438423	6.4608993195924304e-52	NS	DOWN	False	True	7.29376606669193
ABCF2	0.11923076923077	0.64509600755842	1.21496403940887	1.8866353824406602e-117	NS	UP	False	True	-1.0957332701781002
ABCG1	0.835511538461539	0.0845009674361885	-6.70239852216749	4.95420341497554e-139	NS	DOWN	False	True	7.537910060629029
ABCG2	1.73071538461538	0.0039263243052954	-1.71780246305419	7.21409589074293e-37	NS	DOWN	False	True	3.44851784766957
ABCG4	1.00157307692308	0.188153874518305	-1.21159950738916	7.38636142047002e-16	NS	DOWN	False	True	2.2131725843122396
ABCG5	1.33005769230769	0.094500295390291	-1.7197	7.1629684091166e-13	NS	DOWN	False	True	3.04975769230769
ABHD10	0.851869230769231	0.0030079109651618	1.04073497536946	4.69334048066518e-90	NS	UP	False	True	-0.18886574460022887
ABHD12B	2.88274230769231	0.0041765960559273	-6.96646600985222	4.5583493114390704e-154	NS	DOWN	False	True	9.84920831754453
ABHD14A	0.0604230769230787	0.818609159302426	1.86024630541872	7.08724729923938e-129	NS	UP	False	True	-1.7998232284956412
ABHD14A-ACY1	0.620184615384616	0.0706087371714078	1.04213300492611	2.5686180536488898e-11	NS	UP	False	True	-0.42194838954149394
ABHD16B	-2.91001153846154	0.057164934460213	-4.7182487684729	9.04593351129198e-37	NS	DOWN	False	True	1.8082372300113603
ABHD4	0.0743846153846155	0.765178054721535	1.06811477832512	2.77285840962649e-68	NS	UP	False	True	-0.9937301629405044
ABHD5	0.445453846153848	0.139367660071535	-1.17604187192118	1.80508978980825e-64	NS	DOWN	False	True	1.621495718075028
ABHD6	-0.0694230769230777	0.870370172452448	-2.56495270935961	1.48757991904325e-199	NS	DOWN	False	True	2.4955296324365324
ABI3	0.479850000000001	0.214805906759958	-5.92137093596059	1.64737552568225e-107	NS	DOWN	False	True	6.401220935960591
ABI3BP	1.58270384615385	0.032213286280549	3.76499359605911	4.02749236530068e-147	NS	UP	False	True	-2.18228974990526
ABL1	0.368703846153845	0.192289660259953	1.03250935960592	2.0616781771218798e-83	NS	UP	False	True	-0.6638055134520751
ABL2	0.359173076923077	0.266309080853823	2.71668472906404	2.9474135429308502e-165	NS	UP	False	True	-2.357511652140963
ABLIM1	1.01336153846154	0.107989233291506	-5.32246945812808	1.04840309029164e-216	NS	DOWN	False	True	6.33583099658962
ABLIM2	-0.182026923076923	0.652345843892034	-3.61656551724138	1.6130375721760699e-83	NS	DOWN	False	True	3.434538594164457
ABLIM3	1.62300769230769	0.0016081372746352	2.55632413793103	1.12879890471348e-125	NS	UP	False	True	-0.9333164456233403
ABO	1.36558076923077	0.0133530552492495	-7.9083645320197	2.24469759746392e-167	NS	DOWN	False	True	9.27394530125047
ABRA	1.18988461538462	0.0567791639638567	-1.46225960591133	1.20390772634714e-08	NS	DOWN	False	True	2.6521442212959503
ABRACL	0.175207692307691	0.612258845450108	1.0904527093596	3.62267635081385e-61	NS	UP	False	True	-0.9152450170519089
ABTB2	1.70995	0.002913694960079	-1.32311280788177	1.40302829252102e-50	NS	DOWN	False	True	3.03306280788177
ABTB3	1.17796153846154	0.0934248854603825	-5.04628325123153	7.59765632914283e-163	NS	DOWN	False	True	6.22424478969307
ACAA2	0.729484615384616	0.0234409365878623	1.38542216748769	1.8025087558651002e-61	NS	UP	False	True	-0.6559375521030741
ACACB	0.398976923076923	0.305747505541908	-2.10472610837438	5.93112785479973e-72	NS	DOWN	False	True	2.503703031451303
ACAD9	0.429999999999999	0.0373277920989051	-1.49781625615764	2.04841696836654e-136	NS	DOWN	False	True	1.927816256157639
ACADL	1.06901538461539	0.244789044618483	-4.78487980295566	1.1559012287069e-127	NS	DOWN	False	True	5.85389518757105
ACADVL	0.312826923076925	0.162625051076803	-1.06165812807883	7.383051608953101e-75	NS	DOWN	False	True	1.374485051155755
ACAP3	0.307711538461539	0.110212087130718	-2.39435221674877	5.30472302227536e-158	NS	DOWN	False	True	2.7020637552103093
ACBD3	0.888657692307692	0.0154519068441686	1.28731379310345	9.20160699471298e-125	NS	UP	False	True	-0.398656100795758
ACBD7	1.60338846153846	0.052876529208463	2.18214778325123	2.18068958447898e-18	NS	UP	False	True	-0.5787593217127702
ACCSL	-1.19413846153846	0.159724031494838	-4.482621182266	2.10687281144056e-69	NS	DOWN	False	True	3.2884827207275396
