Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
AASDH	1.28129230769231	8.41183299239834e-05	0.643633497536949	4.79985624419158e-35	UP	NS	True	False	0.637658810155361
ABCB10	1.53872307692308	0.0003815216524604	0.808192610837439	1.19434192493315e-69	UP	NS	True	False	0.730530466085641
ABCB7	1.14685	0.0005858090196885	-0.230114285714283	5.61309915534867e-13	UP	NS	True	False	1.376964285714283
ABCD1	-1.45171538461539	0.0001219913613357	0.999771428571428	3.61477037060324e-64	DOWN	NS	True	False	-2.451486813186818
ABCD2	2.88773461538462	0.0002957924825153	0.361378325123149	0.069828141744979	UP	NS	True	False	2.526356290261471
ABCD3	1.36009230769231	0.0005417801910794	-0.558771428571428	2.64975442557179e-44	UP	NS	True	False	1.918863736263738
ABHD13	1.97528076923077	3.30040965041061e-06	0.76368078817734	6.45197949969582e-52	UP	NS	True	False	1.21159998105343
ABHD18	1.55433846153846	6.89453402564831e-05	0.428382266009852	3.15266747425551e-21	UP	NS	True	False	1.125956195528608
ABITRAM	1.00634230769231	0.0008748826505451	-0.0398665024630511	0.275864672853895	UP	NS	True	False	1.046208810155361
ACAD11	1.44262692307692	3.73540196763156e-05	0.197191625615764	6.64664585478359e-05	UP	NS	True	False	1.245435297461156
ACAP2	1.47472692307692	0.0001986579907637	0.653348275862073	5.90409479553323e-45	UP	NS	True	False	0.821378647214847
ACKR3	1.32768846153846	0.0009049758403639	-0.0562532019704367	0.666251419733346	UP	NS	True	False	1.3839416635088968
ACRBP	1.95056923076923	0.0002005383822401	-0.3716960591133	0.0001253328478259	UP	NS	True	False	2.32226528988253
ACTR6	1.40488076923077	9.14937470979941e-05	0.930645320197046	2.71058721561613e-69	UP	NS	True	False	0.47423544903372405
ADAM20	2.32078846153847	0.0005409165196269	-0.687703448275863	2.9908289787687e-06	UP	NS	True	False	3.008491909814333
ADAM22	2.39159615384615	0.0007039405743578	0.744085221674878	9.112609196398211e-14	UP	NS	True	False	1.6475109321712718
