Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
ABCA10	2.22670769230769	0.0007277948939398	-2.07297290640394	4.0009642433357504e-76	UP	DOWN	True	True	4.29968059871163
ACER2	2.02072692307692	0.0009952215914704	-2.13094285714286	3.35163717124429e-85	UP	DOWN	True	True	4.15166978021978
ACVR2A	1.56969230769231	1.39052277381567e-05	-1.70296009852217	3.50633281098586e-91	UP	DOWN	True	True	3.2726524062144797
ADAM28	2.05231153846154	7.05967766205183e-05	-2.80834581280788	4.33498107277614e-63	UP	DOWN	True	True	4.8606573512694204
ADGRF5	1.37592692307692	8.4792417403453e-05	-5.40462758620689	2.33798633551505e-143	UP	DOWN	True	True	6.78055450928381
ADGRL1	1.0239	0.000553564717179	-2.12470197044335	1.74052628999734e-140	UP	DOWN	True	True	3.14860197044335
ADRA2B	3.60264615384615	4.62038339327211e-05	-7.89537093596059	1.89284777087984e-165	UP	DOWN	True	True	11.49801708980674
ADRB1	2.90815	0.0003766639436822	-5.46954926108374	2.77378876993003e-100	UP	DOWN	True	True	8.377699261083741
AFAP1L2	3.48003461538462	3.07238454043504e-07	-5.63992660098522	4.88048277754791e-177	UP	DOWN	True	True	9.11996121636984
AFTPH	1.33498461538462	1.92632019265562e-06	-1.16033054187192	2.6021909738569103e-85	UP	DOWN	True	True	2.49531515725654
AKAP9	1.63778076923077	3.86154984798298e-05	-1.04065221674877	6.36171458141132e-88	UP	DOWN	True	True	2.6784329859795397
ALDH1A1	2.72837692307692	1.24840683262833e-05	-1.36166896551724	1.1867639360546701e-20	UP	DOWN	True	True	4.09004588859416
ALDH3A2	1.60306153846154	3.59020868958743e-06	-2.67571625615763	2.81155508158769e-187	UP	DOWN	True	True	4.27877779461917
ALOX15	3.97214615384616	0.0001482031882745	-6.8710975369458	1.99031248070036e-123	UP	DOWN	True	True	10.84324369079196
ALPK3	1.49313461538462	0.0005946398570838	-1.07022266009852	2.8274902922802404e-15	UP	DOWN	True	True	2.56335727548314
ANGPT2	2.56188076923077	2.52786003993134e-05	-3.24485418719212	6.85841014738465e-96	UP	DOWN	True	True	5.80673495642289
