Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
AADAT	2.56369615384615	0.0001360206005538	3.15067438423646	2.56884931309625e-175	UP	UP	True	True	-0.5869782303903102
AASDHPPT	1.46775	2.49761723342225e-05	1.29700985221675	3.63358693948171e-116	UP	UP	True	True	0.1707401477832502
ABAT	1.71038846153846	9.40511389020211e-05	1.36257044334975	7.054248290266981e-67	UP	UP	True	True	0.34781801818870983
ABCA6	3.96656153846154	4.63034002423326e-07	1.47940344827586	1.97811032766581e-45	UP	UP	True	True	2.48715809018568
ABCA8	4.70888076923077	4.05674524001957e-07	2.44033793103448	1.0077337258699799e-70	UP	UP	True	True	2.26854283819629
ABCA9	2.78750384615385	8.56282764938975e-05	1.33595911330049	1.84314015172127e-20	UP	UP	True	True	1.4515447328533602
ABCC9	2.02648846153846	7.42598780363655e-05	3.41299064039409	4.01385833488955e-148	UP	UP	True	True	-1.38650217885563
ABCE1	1.31880384615385	9.33946120231803e-05	1.6881039408867	1.73948016717038e-103	UP	UP	True	True	-0.36930009473284997
ABI2	1.22954615384615	0.0003072049310788	2.11716354679803	1.18973461017795e-180	UP	UP	True	True	-0.88761739295188
ABRAXAS1	1.41126923076923	0.0002022274531896	1.56764532019704	5.9064065303205595e-83	UP	UP	True	True	-0.1563760894278099
ACOX2	1.94703076923077	0.000982962278766	1.58823990147783	1.33263325591824e-44	UP	UP	True	True	0.3587908677529401
ACSL4	1.75642692307692	0.0001374886328993	2.0225315270936	1.62378905156382e-126	UP	UP	True	True	-0.2661046040166801
ACTR2	1.18754230769231	7.96138216623201e-05	2.26803399014778	3.0578677762918304e-201	UP	UP	True	True	-1.0804916824554702
ACVR1	1.28487692307692	0.000515345824572	1.78137487684729	2.94775761157135e-159	UP	UP	True	True	-0.49649795377037
ADAM17	1.68769615384616	7.35850191428821e-05	1.10087931034482	1.20513633650457e-75	UP	UP	True	True	0.5868168435013399
ADAM19	1.67786923076923	0.0008041936376373	2.88075221674877	8.54855188952995e-115	UP	UP	True	True	-1.2028829859795398
ADAM9	1.76423461538462	0.0009205885253735	3.64017192118227	2.22866017062329e-246	UP	UP	True	True	-1.87593730579765
ADAMTS1	2.25199230769231	1.88415127153076e-05	3.23404926108375	3.49794236953835e-131	UP	UP	True	True	-0.9820569533914401
ADAMTS5	1.82993461538461	7.06980092141493e-05	3.26320541871921	1.05922516034507e-113	UP	UP	True	True	-1.4332708033346
ADGRA2	1.83435	0.0001075375820127	3.30072068965517	2.28928009137932e-150	UP	UP	True	True	-1.46637068965517
AFAP1	1.95181153846154	6.12569801981115e-05	2.38922610837438	3.22172777204575e-138	UP	UP	True	True	-0.43741456991284
AGGF1	1.47941538461538	0.0001175733144411	1.09006354679803	1.68029740527397e-105	UP	UP	True	True	0.38935183781734994
AGMO	3.31998846153846	9.5202319271722e-05	1.27043448275862	3.04281054561662e-11	UP	UP	True	True	2.04955397877984
AHR	2.84617692307692	5.58808824582894e-06	1.43777536945813	4.31467010824597e-79	UP	UP	True	True	1.4084015536187902
AIMP1	1.22025769230769	0.0002185064911831	1.43631133004926	1.07942642328665e-159	UP	UP	True	True	-0.21605363774157005
AKAP11	1.97563461538462	7.03639608696016e-06	1.38663399014778	1.08557066097918e-110	UP	UP	True	True	0.58900062523684
AKAP12	2.63377692307692	0.0002755069894111	3.07208177339901	2.54591049410989e-134	UP	UP	True	True	-0.4383048503220901
ALCAM	2.56893461538462	5.59250973818251e-05	3.14579802955665	7.46245850621129e-170	UP	UP	True	True	-0.5768634141720299
ALG11	1.22664230769231	0.0003792107051472	1.58276699507389	3.30310440758616e-127	UP	UP	True	True	-0.35612468738158
ALG5	1.08947307692308	0.0001067227163322	1.21292167487685	8.18457118140489e-139	UP	UP	True	True	-0.12344859795377006
ALKBH8	1.78644230769231	6.23655787305245e-06	1.1494039408867	7.70183313417423e-50	UP	UP	True	True	0.6370383668056099
ALS2	1.15292692307692	0.0001508872962671	1.00902512315271	9.61198356101154e-97	UP	UP	True	True	0.14390179992420982
ANGPT1	3.53806923076923	3.66751401843879e-05	6.26745073891626	5.93328875419376e-211	UP	UP	True	True	-2.72938150814703
ANGPTL1	3.33266923076923	5.0842589262346e-05	1.48540147783251	2.2196224012744602e-24	UP	UP	True	True	1.84726775293672
ANKAR	2.04659615384615	3.59020868958743e-06	1.15904384236453	2.7501759531292198e-50	UP	UP	True	True	0.8875523114816202
ANKRD45	3.77230384615385	0.0002473470977163	3.42654630541871	1.1527888917971999e-35	UP	UP	True	True	0.3457575407351401
ANO3	5.99291153846155	1.2097628577691e-07	4.81395073891625	2.4482407268189e-114	UP	UP	True	True	1.1789607995453002
ANO4	4.7122076923077	3.38220408122685e-05	6.73541428571428	4.61132272441122e-121	UP	UP	True	True	-2.02320659340658
ANO6	1.66901923076923	3.31239532432415e-05	1.91511921182266	6.13991124262719e-165	UP	UP	True	True	-0.24609998105343012
ANTXR2	1.70803461538462	0.0005660756233659	2.99135566502463	4.1390059712030297e-141	UP	UP	True	True	-1.28332104964001
ANXA1	2.08213076923077	0.0008039794644956	1.31293940886699	3.23235550577041e-64	UP	UP	True	True	0.7691913603637801
AP1S2	1.68161153846154	0.0003298932374833	1.3743354679803	7.98353374021894e-82	UP	UP	True	True	0.30727607048124006
APAF1	1.48088076923077	4.80782095878029e-05	1.28543842364532	8.12732528850032e-93	UP	UP	True	True	0.19544234558544993
APC	1.5056	0.0001893872623429	1.29004926108375	1.1279108421999701e-67	UP	UP	True	True	0.2155507389162501
APLP2	1.37508846153846	1.85304797201707e-05	1.31681034482758	3.3082002757642398e-130	UP	UP	True	True	0.0582781167108799
APOBEC3D	1.87056923076923	0.0003064987831471	1.46999950738916	1.7363224694083e-58	UP	UP	True	True	0.40056972338007
