Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Biological_Process_2023	Amino Acid Transport (GO:0006865)	2/46	0.0007734351437291583	0.0519539113186274	0	0	56.64204545454545	405.82149239611823	SLC7A4;SLC6A17	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	succinyl-CoA Catabolic Process (GO:1901289)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	NUDT8	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Medium-Chain fatty-acyl-CoA Metabolic Process (GO:0036112)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	NUDT8	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Peripheral Nervous System Neuron Development (GO:0048935)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	RUNX3	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	fatty-acyl-CoA Catabolic Process (GO:0036115)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	NUDT8	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Cholesterol Import (GO:0070508)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	SCARB1	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Detection Of Molecule Of Bacterial Origin (GO:0032490)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	SCARB1	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Axon Regeneration (GO:0048681)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	RTN4R	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Positive Regulation Of Cholesterol Storage (GO:0010886)	1/5	0.0044922927083929	0.0519539113186274	0	0	293.79411764705884	1588.072397289777	SCARB1	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Neuron Projection Regeneration (GO:0070571)	1/6	0.0053884659389882	0.0519539113186274	0	0	235.0235294117647	1227.644124299904	RTN4R	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Melanin Biosynthetic Process (GO:0042438)	1/7	0.0062838777740325	0.0519539113186274	0	0	195.84313725490196	992.8792720611536	OCA2	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Intracellular Transport (GO:0032387)	1/7	0.0062838777740325	0.0519539113186274	0	0	195.84313725490196	992.8792720611536	ARHGAP8	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of CD8-positive, Alpha-Beta T Cell Differentiation (GO:0043376)	1/7	0.0062838777740325	0.0519539113186274	0	0	195.84313725490196	992.8792720611536	RUNX3	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Intracellular pH Elevation (GO:0051454)	1/7	0.0062838777740325	0.0519539113186274	0	0	195.84313725490196	992.8792720611536	OCA2	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	succinyl-CoA Metabolic Process (GO:0006104)	1/8	0.0071785287204102	0.0519539113186274	0	0	167.85714285714286	828.6537822644398	NUDT8	Concordant_DOWN_DOWN	GO_Biological_Process_2023
