Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Biological_Process_2023	Amino Acid Transport (GO:0006865)	2/46	0.0007734351437291583	0.0519539113186274	0	0	56.64204545454545	405.82149239611823	SLC7A4;SLC6A17	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Protein Localization To Cell Surface (GO:2000009)	1/9	0.0080724193100501	0.0519539113186274	0	0	146.86764705882354	707.7995527019895	NEDD4L	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Sodium Ion Transmembrane Transport (GO:1902306)	1/9	0.0080724193100501	0.0519539113186274	0	0	146.86764705882354	707.7995527019895	NEDD4L	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Phenol-Containing Compound Biosynthetic Process (GO:0046189)	1/10	0.0089655500933473	0.0519539113186274	0	0	130.54248366013073	615.425022203049	OCA2	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Glycine Transport (GO:0015816)	1/10	0.0089655500933473	0.0519539113186274	0	0	130.54248366013073	615.425022203049	SLC6A17	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000650)	1/10	0.0089655500933473	0.0519539113186274	0	0	130.54248366013073	615.425022203049	NEDD4L	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Axon Regeneration (GO:0048679)	1/10	0.0089655500933473	0.0519539113186274	0	0	130.54248366013073	615.425022203049	RTN4R	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Branched-Chain Amino Acid Transport (GO:0015803)	1/10	0.0089655500933473	0.0519539113186274	0	0	130.54248366013073	615.425022203049	SLC6A17	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Melanocyte Differentiation (GO:0030318)	1/11	0.0098579216348164	0.0519539113186274	0	0	117.48235294117649	542.7073703814344	OCA2	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Endocytic Recycling (GO:2001135)	1/11	0.0098579216348164	0.0519539113186274	0	0	117.48235294117649	542.7073703814344	ARHGAP8	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Tyrosine Metabolic Process (GO:0006570)	1/11	0.0098579216348164	0.0519539113186274	0	0	117.48235294117649	542.7073703814344	OCA2	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Potassium Ion Transmembrane Transport (GO:1901380)	1/11	0.0098579216348164	0.0519539113186274	0	0	117.48235294117649	542.7073703814344	NEDD4L	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)	1/11	0.0098579216348164	0.0519539113186274	0	0	117.48235294117649	542.7073703814344	RUNX3	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000515)	1/11	0.0098579216348164	0.0519539113186274	0	0	117.48235294117649	542.7073703814344	RUNX3	Concordant_DOWN_DOWN	GO_Biological_Process_2023
GO_Biological_Process_2023	Intracellular Copper Ion Homeostasis (GO:0006878)	1/11	0.0098579216348164	0.0519539113186274	0	0	117.48235294117649	542.7073703814344	ANKRD9	Concordant_DOWN_DOWN	GO_Biological_Process_2023
