Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Molecular_Function_2023	Sodium Channel Inhibitor Activity (GO:0019871)	1/7	0.0062838777740325	0.1125831861822276	0	0	195.84313725490196	992.8792720611536	NEDD4L	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	1-Phosphatidylinositol Binding (GO:0005545)	1/14	0.0125304865571366	0.1125831861822276	0	0	90.3574660633484	395.7287161899813	SCARB1	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Low-Density Lipoprotein Particle Binding (GO:0030169)	1/16	0.0143084109196949	0.1125831861822276	0	0	78.30196078431372	332.5412031884909	SCARB1	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Basic Amino Acid Transmembrane Transporter Activity (GO:0015174)	1/17	0.0151962391911868	0.1125831861822276	0	0	73.40441176470588	307.3227868353231	SLC7A4	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Carboxylic Acid Binding (GO:0031406)	1/17	0.0151962391911868	0.1125831861822276	0	0	73.40441176470588	307.3227868353231	RTN4R	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Intracellular Chloride Channel Activity (GO:0061778)	1/18	0.0160833123117468	0.1125831861822276	0	0	69.08304498269896	285.3111137768628	OCA2	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Lipoprotein Particle Binding (GO:0071813)	1/23	0.0205073714570783	0.1230442287424701	0	0	53.36898395721925	207.44368622737056	SCARB1	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Manganese Ion Binding (GO:0030145)	1/48	0.0423473138141528	0.1368143984764938	0	0	24.94993742177722	78.88796682594588	NUDT8	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Potassium Channel Regulator Activity (GO:0015459)	1/45	0.0397510152021215	0.1368143984764938	0	0	26.655080213903744	85.9658295948253	NEDD4L	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Ubiquitin Ligase-Substrate Adaptor Activity (GO:1990756)	1/44	0.0388841061194349	0.1368143984764938	0	0	27.276333789329687	88.57088446864675	ANKRD9	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Transcription Corepressor Binding (GO:0001222)	1/42	0.0371480700853869	0.1368143984764938	0	0	28.609756097560975	94.20744821276294	RUNX3	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Ion Channel Inhibitor Activity (GO:0008200)	1/35	0.0310485941558708	0.1368143984764938	0	0	34.5121107266436	119.83301120641356	NEDD4L	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Sodium Channel Regulator Activity (GO:0017080)	1/34	0.030174267482518	0.1368143984764938	0	0	35.559714795008915	124.48623298308226	NEDD4L	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Amino Acid Transmembrane Transporter Activity (GO:0015171)	1/56	0.0492384039303871	0.1450693109795245	0	0	21.31229946524064	64.173068346434	SLC7A4	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Carboxylic Acid Transmembrane Transporter Activity (GO:0046943)	1/59	0.051810468206973	0.1450693109795245	0	0	20.20689655172414	59.815708753826954	SLC7A4	Concordant_DOWN_DOWN	GO_Molecular_Function_2023
