Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
KEGG_2021_Human	Vitamin digestion and absorption	1/24	0.0213899261577365	0.1273214486350419	0	0	51.0460358056266	196.26359569838613	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Nicotinate and nicotinamide metabolism	1/35	0.0310485941558708	0.1273214486350419	0	0	34.5121107266436	119.83301120641356	NMRK2	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	1/37	0.0327950148043916	0.1273214486350419	0	0	32.591503267973856	111.38077026649428	NEDD4L	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Fat digestion and absorption	1/43	0.0380164579400951	0.1273214486350419	0	0	27.92717086834734	91.3144790197023	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Cholesterol metabolism	1/50	0.0440744949316926	0.1273214486350419	0	0	23.92917166866747	74.70385911458476	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Ovarian steroidogenesis	1/51	0.0449369818711912	0.1273214486350419	0	0	23.44941176470588	72.75166337328601	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Cortisol synthesis and secretion	1/65	0.0569348954637786	0.1382704604120337	0	0	18.30698529411765	52.46501611587855	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Aldosterone synthesis and secretion	1/98	0.0846549330937291	0.1439133862593395	0	0	12.058823529411764	29.775308154544383	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Th1 and Th2 cell differentiation	1/92	0.0796728567374856	0.1439133862593395	0	0	12.857789269553976	32.527973699604026	RUNX3	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Bile secretion	1/90	0.0780064813617029	0.1439133862593395	0	0	13.148050231328488	33.540194413490916	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Ubiquitin mediated proteolysis	1/140	0.118822887239702	0.1606025516263978	0	0	8.39737621667372	17.887429414854076	NEDD4L	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Phagosome	1/152	0.1283616707475379	0.1606025516263978	0	0	7.725360342812622	15.859418874897433	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Cushing syndrome	1/155	0.1307310829477655	0.1606025516263978	0	0	7.573720397249809	15.409588975790411	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Hepatitis C	1/157	0.1323073101973514	0.1606025516263978	0	0	7.475867269984917	15.120898125775808	SCARB1	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Tight junction	1/169	0.141708133787998	0.1606025516263978	0	0	6.937675070028011	13.556118103313043	NEDD4L	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Epstein-Barr virus infection	1/202	0.1670668936896846	0.1775085745452899	0	0	5.788996195493123	10.358603938884777	RUNX3	Concordant_DOWN_DOWN	KEGG_2021_Human
KEGG_2021_Human	Endocytosis	1/252	0.2041448616592834	0.2041448616592834	0	0	4.624091867822826	7.3473371639301455	NEDD4L	Concordant_DOWN_DOWN	KEGG_2021_Human
