Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
Reactome_2022	HDL Clearance R-HSA-8964011	1/5	0.0044922927083929	0.0473782895547073	0	0	293.79411764705884	1588.072397289777	SCARB1	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	RUNX3 Regulates WNT Signaling R-HSA-8951430	1/8	0.0071785287204102	0.0473782895547073	0	0	167.85714285714286	828.6537822644398	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364	1/8	0.0071785287204102	0.0473782895547073	0	0	167.85714285714286	828.6537822644398	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	RUNX3 Regulates CDKN1A Transcription R-HSA-8941855	1/7	0.0062838777740325	0.0473782895547073	0	0	195.84313725490196	992.8792720611536	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	RUNX3 Regulates Immune Response And Cell Migration R-HSA-8949275	1/6	0.0053884659389882	0.0473782895547073	0	0	235.0235294117647	1227.644124299904	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	RUNX3 Regulates YAP1-mediated Transcription R-HSA-8951671	1/8	0.0071785287204102	0.0473782895547073	0	0	167.85714285714286	828.6537822644398	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	Scavenging By Class B Receptors R-HSA-3000471	1/6	0.0053884659389882	0.0473782895547073	0	0	235.0235294117647	1227.644124299904	SCARB1	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158	1/5	0.0044922927083929	0.0473782895547073	0	0	293.79411764705884	1588.072397289777	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	Melanin Biosynthesis R-HSA-5662702	1/5	0.0044922927083929	0.0473782895547073	0	0	293.79411764705884	1588.072397289777	OCA2	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	Signaling By LRP5 Mutants R-HSA-5339717	1/6	0.0053884659389882	0.0473782895547073	0	0	235.0235294117647	1227.644124299904	KREMEN2	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	RUNX3 Regulates p14-ARF R-HSA-8951936	1/10	0.0089655500933473	0.0537933005600841	0	0	130.54248366013073	615.425022203049	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	Digestion Of Dietary Carbohydrate R-HSA-189085	1/11	0.0098579216348164	0.0542185689914907	0	0	117.48235294117649	542.7073703814344	PMEL	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	RUNX3 Regulates NOTCH Signaling R-HSA-8941856	1/14	0.0125304865571366	0.0591496320477521	0	0	90.3574660633484	395.7287161899813	RUNX3	Concordant_DOWN_DOWN	Reactome_2022
Reactome_2022	Negative Regulation Of TCF-dependent Signaling By WNT Ligand Antagonists R-HSA-3772470	1/15	0.01341982690512	0.0591496320477521	0	0	83.89915966386555	361.6911269349327	KREMEN2	Concordant_DOWN_DOWN	Reactome_2022
