Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Biological_Process_2023	Positive Regulation Of Cell Adhesion (GO:0045785)	18/88	1.519077306466367e-06	0.005260564712293	0	0	4.380745341614907	58.69063024408861	VIT;TNFSF18;ZFHX3;ECM2;LAMA2;TPM1;PRKCA;LAMB1;LAMC1;NID1;VEGFA;CCDC80;ADAM9;IL12A;ITGAV;ATM;PLPP3;LIMS1	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Positive Regulation Of Protein Autophosphorylation (GO:0031954)	8/22	1.5089923699194524e-05	0.0172931999586714	0	0	9.676327263400871	107.42158592231507	RAD50;RAP2A;PDGFD;PDGFC;NEK10;NBN;CALM2;VEGFA	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046)	6/12	2.120892435583645e-05	0.0172931999586714	0	0	16.910394265232974	181.97424933727655	LAMA2;LOXL3;LAMB1;LAMC1;NID1;LIMS1	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Extracellular Matrix Organization (GO:1903053)	8/23	2.2002257950548515e-05	0.0172931999586714	0	0	9.03076002393776	96.8491710205613	RB1;EFEMP2;LAMA2;LRP1;PRDM5;LAMB1;LAMC1;NID1	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	33/275	3.213752350767285e-05	0.0172931999586714	0	0	2.3335837716003005	24.142058831416893	ITGB1;ARL6;PTPRO;ASAP1;TXNDC15;MYLK;TTBK2;RAP1B;IFT74;RAP1A;TBC1D31;ARL13B;TMEM67;KIAA0753;NEK1;S1PR2;IFT57;CEP290;MAP4K4;ACTR2;SEPTIN2;IFT80;CPLANE1;ANO6;WDR35;SEPTIN7;IFT20;CCDC88A;RAP2A;GOLPH3;RP2;DZIP1;ARHGEF6	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090288)	14/71	3.364929201430487e-05	0.0172931999586714	0	0	4.172113496738236	42.97076031810209	DLX1;TNFAIP6;SMURF2;SPRY4;CRIM1;UBE2D1;SULF1;FGF2;THBS1;BMPER;NEDD4;SPRY3;SLIT2;SKIL	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Protein Autophosphorylation (GO:0031952)	9/31	3.495593407759175e-05	0.0172931999586714	0	0	6.930654251408968	71.11837020036606	IMPACT;RAD50;RAP2A;PDGFD;PDGFC;NEK10;NBN;CALM2;VEGFA	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Basement Membrane Organization (GO:0110011)	4/5	4.706874776869712e-05	0.0183234421337214	0	0	67.53846153846153	672.9465651622077	LAMA2;LAMB1;LAMC1;NID1	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044)	7/19	4.762084296953316e-05	0.0183234421337214	0	0	9.870104633781764	98.22965028911332	LAMA2;LOXL3;LAMB1;LAMC1;PRKD1;NID1;LIMS1	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912)	6/14	6.25339866441353e-05	0.021655519574864	0	0	12.681451612903226	122.75391992232004	LRP1;IGFBP3;SERPINE1;TPM1;SLIT2;BMPR1A	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Regulation Of Endothelial Cell Migration (GO:0010594)	15/88	0.00010456397836481636	0.0289199403927833	0	0	3.4905520288079592	31.993392664948672	SPARC;ANGPT1;ROCK2;ITGB3;PRKCA;PRCP;NR2F2;SYNJ2BP;FGF2;THBS1;VEGFA;BMPER;PRKD1;SLIT2;PLPP3	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Basement Membrane Organization (GO:0071711)	5/10	0.00010947370602985815	0.0289199403927833	0	0	16.896150402864816	154.08995453391978	COL4A1;PXDN;HMCN1;NID1;NID2	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	snRNA Transcription By RNA Polymerase II (GO:0042795)	5/10	0.00010947370602985815	0.0289199403927833	0	0	16.896150402864816	154.08995453391978	ICE1;SNAPC1;ICE2;SNAPC3;ELL2	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Golgi Organization (GO:0007030)	19/130	0.00011691572783683724	0.0289199403927833	0	0	2.9123929006068625	26.368971787447855	SEC16B;ATP8B4;COG6;ATP8B1;YIPF4;YIPF5;ZFP69B;ARL1;GCC2;LYSMD3;VCPIP1;LMAN1;GOLPH3;PRKD1;ZNF501;TMED7;TMED6;BLZF1;TMED5	Concordant_UP_UP	GO_Biological_Process_2023
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	32/283	0.00013129823974897264	0.0303123869500461	0	0	2.17867612120326	19.473092538543757	YAP1;FBN2;DLX1;LAMA2;LAMC1;NID1;RPS6KA3;BLOC1S6;RANBP3L;RAP1A;CCN4;CCN2;BEND6;ACVR1;SMARCE1;SMAD4;HGF;IGFBP3;LAMB1;GDF6;TGFBR2;KITLG;IMPACT;REST;ZEB1;CREB1;GDNF;ASXL2;PRKD1;IL6ST;FERMT2;BMPR1A	Concordant_UP_UP	GO_Biological_Process_2023
