Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Cellular_Component_2023	Basement Membrane (GO:0005604)	13/46	9.130480569554152e-07	0.00027391441708662456	0	0	6.69412793398366	93.09173830064049	LAMA2;LAMA4;LAMB1;LAMC1;NID1;NID2;EFEMP2;CCDC80;FRAS1;COL4A1;PXDN;HMCN1;FBN1	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Endoplasmic Reticulum Lumen (GO:0005788)	36/284	4.165211279494564e-06	0.0006247816919241846	0	0	2.4901978256995188	30.850422266953583	APP;POGLUT2;FKBP14;SDC2;COL12A1;SELENOF;LAMC1;PRSS23;FSTL1;LTBP1;THBS1;HSP90B1;VCPIP1;ADAMTS5;ERLEC1;CDH2;ARSJ;PDGFD;ARSK;PDGFC;IL12A;UGGT2;BDNF;APLP2;IGFBP3;LAMB1;PDIA6;BACE1;DNAJC3;ADAM17;VCAN;COL4A1;EOGT;DNAJC10;COL8A1;FBN1	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Collagen-Containing Extracellular Matrix (GO:0062023)	41/373	3.09657097607537e-05	0.0030965709760753	0	0	2.118704234142862	21.99772235959947	VIT;FBN2;SPARC;SERPINE2;LAMA2;SDC2;LAMA4;COL12A1;SERPINE1;LOXL3;LOXL4;LTBP2;LAMC1;NID1;THBS2;LTBP1;NID2;THBS1;HAPLN1;HSP90B1;LMAN1;EFEMP2;CDH2;ADAMTS1;CCN2;HMCN1;ANXA1;ANGPT1;LAMB1;SULF1;ADAM19;VCAN;CCDC80;FRAS1;LOX;COL4A1;PXDN;COL8A1;TGFBI;ANGPTL1;FBN1	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Platelet Alpha Granule (GO:0031091)	15/89	0.0001193352365947934	0.0089501427446095	0	0	3.4431992968578333	31.10439533929652	SRGN;APP;SPARC;SERPINE2;ITGB3;APLP2;HGF;SERPINE1;LHFPL2;THBS2;SYTL4;THBS1;VEGFA;TMX3;PHACTR2	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Platelet Alpha Granule Membrane (GO:0031092)	6/16	0.00015131833353654013	0.0090791000121924	0	0	10.144086021505377	89.22864633396783	SPARC;TMX3;ITGB3;PHACTR2;LHFPL2;SYTL4	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Cell-Substrate Junction (GO:0030055)	40/395	0.0002279025423622475	0.0112255118069363	0	0	1.9289266095649684	16.17712137157325	ITGB1;SCARB2;LRP1;ITGB3;USP33;TWF1;NEXN;RND3;HSP90B1;AKAP12;ARHGAP22;ALCAM;CDH2;EPB41L2;ITGAV;HMCN1;MAP4K4;ARL14EP;ACTR2;ANXA1;PPP1R12A;YES1;ITGA4;CAV2;CAV1;RDX;ITGA1;SPRY4;AFAP1;LAYN;LMO7;ARPC5;ENAH;PPFIBP1;ADAM17;PALLD;PEAK1;ADAM9;FERMT2;LIMS1	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	13/76	0.00028648667371224893	0.0112255118069363	0	0	3.500865930983154	28.55942898727245	GRIA1;SEC16B;MCFD2;SEC23A;SEC24A;USO1;LMAN1;CNIH1;TMED7;SEC24D;TMED6;ERGIC2;TMED5	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Focal Adhesion (GO:0005925)	39/387	0.000299346981518302	0.0112255118069363	0	0	1.9174865475849332	15.55830787385854	ITGB1;SCARB2;LRP1;ITGB3;USP33;TWF1;NEXN;RND3;HSP90B1;AKAP12;ARHGAP22;ALCAM;CDH2;EPB41L2;ITGAV;MAP4K4;ARL14EP;ACTR2;ANXA1;PPP1R12A;YES1;ITGA4;CAV2;CAV1;RDX;ITGA1;SPRY4;AFAP1;LAYN;LMO7;ARPC5;ENAH;PPFIBP1;ADAM17;PALLD;PEAK1;ADAM9;FERMT2;LIMS1	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	ER To Golgi Transport Vesicle Membrane (GO:0012507)	10/55	0.0008617493199663199	0.0287249773322106	0	0	3.7635891286970424	26.55794034504613	GRIA1;LMAN1;SEC16B;MCFD2;SEC23A;SEC24A;CNIH1;USO1;TMED7;SEC24D	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Golgi Membrane (GO:0000139)	40/427	0.0010685744086296	0.0320572322588898	0	0	1.7663719688394064	12.084509908929046	SCARB2;COPB1;GCNT1;USO1;GOLIM4;XYLT1;MANEA;GLG1;HS2ST1;LMAN1;C1GALT1C1;FUT8;MAN1A2;PDGFD;B3GALT2;PDGFC;DSE;AP1S2;MAN1A1;TMED7;FKTN;TRIM23;TPTE2;GALNT7;GALNT5;GALNT4;COG6;ABCA6;CAV1;CSGALNACT2;SLC33A1;EXT1;IFT20;EXT2;ADAM17;PIKFYVE;SLC9A7;B4GALT6;BLZF1;TLR3	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Membrane Raft (GO:0045121)	20/169	0.0012946391363667	0.0353083400827305	0	0	2.281270173814541	15.16935913294594	ITGB1;APP;KCNE3;ANGPT1;CAV2;CAVIN2;CAV1;ERLIN2;SULF1;TGFBR2;RAP1B;ADAM17;PIKFYVE;ORC3;MFAP3;FAS;CD226;IL6ST;PLPP3;GPM6B	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Transport Vesicle Membrane (GO:0030658)	10/60	0.0017241430249657	0.0431035756241443	0	0	3.3863309352517987	21.547308904062913	GRIA1;LMAN1;SEC16B;MCFD2;SEC23A;SEC24A;CNIH1;SYT1;USO1;SEC24D	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Microfibril (GO:0001527)	4/11	0.0023652559548462	0.0545828297272216	0	0	9.645284947610527	58.32377490027547	FBN2;EFEMP2;LTBP1;FBN1	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	B-WICH Complex (GO:0110016)	3/6	0.0030982618751474	0.0657758741747838	0	0	16.867739052725646	97.44347805358582	SMARCA5;DDX21;DEK	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Coated Vesicle Membrane (GO:0030662)	9/55	0.0032887937087391	0.0657758741747838	0	0	3.3104418141333647	18.926571935878176	GRIA1;LMAN1;SEC16B;MCFD2;SEC23A;SEC24A;CNIH1;USO1;SEC24D	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Bounding Membrane Of Organelle (GO:0098588)	63/819	0.0068368042962753	0.1281900805551629	0	0	1.4260308467107334	7.109383901286981	ITGB1;SCARB2;MCFD2;GOLIM4;XYLT1;ANTXR2;MANEA;HS2ST1;C1GALT1C1;MAN1A2;B3GALT2;DSE;AP1S2;MAN1A1;TMED7;TRIM23;TPTE2;COG6;APLP2;ATP6AP2;CSGALNACT2;BACE1;MOSMO;ADAM17;SLC9A7;PLPP3;B4GALT6;TLR4;BLZF1;TLR3;GRIA1;COLEC12;CAMK2D;LRP1;REP15;COPB1;GCNT1;USO1;LY96;GLG1;TMEM165;LMAN1;FUT8;RAP1A;ARL13B;PDGFD;TMEM67;PDGFC;FKTN;GALNT7;GALNT5;GALNT4;ABCA6;SEPTIN2;CAV1;SLC33A1;EXT1;IFT20;EXT2;PIKFYVE;CNIH1;DLG4;GOPC	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	COPII Vesicle Coat (GO:0030127)	4/15	0.0081729423287033	0.1442283940359419	0	0	6.136607578468044	29.498220342032443	SEC23A;SEC24A;SEC24D;TMED7	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	trans-Golgi Network (GO:0005802)	23/241	0.0091405969734551	0.1523432828909185	0	0	1.7913699693633078	8.410534997153324	APP;SLC30A6;SCOC;ATP8B4;COG6;ATP8B1;YIPF4;GCNT1;YIPF5;ARL1;GCC2;PIK3C2A;BICD1;TMEM165;KLHL20;BACE1;GOLPH3;SLC9A7;AP1S2;BPNT2;PRKD1;TGFBI;PLPP3	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Actin Cytoskeleton (GO:0015629)	29/327	0.010154737123919	0.1603379545881957	0	0	1.6542733809415622	7.592808729400346	CLIC4;TWF1;NEXN;ASAP1;MYLK;GYS2;SAMD14;CDH2;CALD1;CNR1;ARSJ;TRMT10A;ACTR2;GAS2L3;ANXA1;PPP1R12A;SEPTIN2;RDX;TPM1;AFAP1;ARPC5;MTSS2;KLHL20;ADAM17;AXL;PALLD;PEAK1;CAPZA2;CENPQ	Concordant_UP_UP	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Intracellular Organelle Lumen (GO:0070013)	64/856	0.0116292759454493	0.1744391391817402	0	0	1.3813751885585537	6.1529622147314305	APP;DHFR2;POGLUT2;SPARC;TNFAIP6;FKBP14;COL12A1;GOLIM4;ABAT;LAMC1;NR3C1;PRSS23;GLS;NADK2;ADAMTS5;CDH2;FOXO3B;IL12A;ME2;METTL15;ACTR2;APAF1;IGFBP3;APLP2;TRNT1;PDIA6;BACE1;DNAJC3;ADAM17;VCAN;MMP16;COL4A1;EOGT;COL8A1;PAFAH1B2;RNASEL;SDC2;SELENOF;PPM1K;FSTL1;LTBP1;THBS1;HSP90B1;VCPIP1;ERLEC1;RIDA;CAND1;PDGFD;ARSJ;PDGFC;ARSK;METTL4;BPNT2;UGGT2;GPC6;TEFM;AADAT;BDNF;LAMB1;ARPC5;LYRM7;DNAJC10;ABCE1;FBN1	Concordant_UP_UP	GO_Cellular_Component_2023
