Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
KEGG_2021_Human	Focal adhesion	29/201	2.784305584123209e-06	0.0007796055635544986	0	0	2.8855613949232963	36.91069337467432	ITGB1;LAMA2;ROCK1;ROCK2;ITGB3;LAMA4;LAMC1;ARHGAP5;THBS2;THBS1;ARHGAP35;MYLK;RAP1B;RAP1A;PDGFD;PDGFC;ITGAV;PPP1R12A;ITGA4;CAV2;HGF;CAV1;ITGA1;PRKCA;LAMB1;VEGFA;COL4A1;ITGA10;BIRC2	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	ECM-receptor interaction	15/88	0.00010456397836481636	0.0146389569710742	0	0	3.4905520288079592	31.993392664948672	ITGB1;ITGA4;LAMA2;ITGB3;LAMA4;ITGA1;LAMB1;LAMC1;THBS2;THBS1;FRAS1;COL4A1;SV2A;ITGA10;ITGAV	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	PI3K-Akt signaling pathway	36/354	0.00042348304008169214	0.0368233976987992	0	0	1.934744084228083	15.027151675396212	ITGB1;ATF2;PRKAA1;PRKAA2;LAMA2;ITGB3;LAMA4;LPAR1;LAMC1;THBS2;FGF2;THBS1;HSP90B1;GYS2;FGF7;GNG2;PPP2R3C;PDGFD;PDGFC;ITGAV;EIF4E;IFNAR2;ITGA4;ANGPT1;BDNF;HGF;ITGA1;PRKCA;LAMB1;OSMR;VEGFA;KITLG;CREB1;COL4A1;ITGA10;TLR4	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	Proteoglycans in cancer	24/205	0.0005260485385542754	0.0368233976987992	0	0	2.257887268665278	17.04731321123548	ITGB1;CAMK2D;PPP1R12A;ROCK1;FZD4;CAV2;ROCK2;SDC2;HGF;CAV1;ITGB3;RDX;FRS2;PRKCA;PTPN11;FGF2;THBS1;VEGFA;CASP3;PLCE1;FAS;ITGAV;PRKACB;TLR4	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	Herpes simplex virus 1 infection	45/498	0.0011355608011793	0.0586142015372255	0	0	1.6994410522238004	11.523278691296928	ZNF154;ZNF175;RNASEL;ZNF670;ZNF195;ITGB3;ZNF23;ZNF25;ZNF708;CASP3;ZNF404;ZNF546;IL12A;ZNF226;ZNF225;ZNF302;ZNF621;ZFP37;ZNF300;ZNF222;ZNF200;ZNF189;IFNAR2;ZNF484;ZNF283;APAF1;ZFP1;ZNF181;ZFP69B;PTPN11;ZFP90;ZNF559-ZNF177;ZNF37A;ZNF616;ZNF614;FAS;ZNF699;ZNF555;ZNF354A;ZNF334;ZNF510;ZNF674;BIRC2;TLR3;ZNF112	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	Regulation of actin cytoskeleton	24/218	0.0012560186043691	0.0586142015372255	0	0	2.105120838262633	14.061803855599944	ITGB1;ACTR2;PPP1R12A;ITGA4;ROCK1;ROCK2;ITGB3;RDX;ITGA1;LPAR1;ARPC5;FGF2;ARHGAP35;MYLK;ENAH;FGF7;PIKFYVE;ABI2;APC;PDGFD;ITGA10;PDGFC;ITGAV;ARHGEF6	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	Hypertrophic cardiomyopathy	13/90	0.0014940676666796	0.0597627066671875	0	0	2.8622135303830523	18.622285085359735	ITGB1;PRKAA1;PRKAA2;ITGA4;LAMA2;ITGB3;ITGA1;TPM1;CACNA1C;SLC8A1;SGCB;ITGA10;ITGAV	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	TGF-beta signaling pathway	13/94	0.0022283605745501	0.077992620109255	0	0	2.720290774694141	16.61142605220809	ACVR1;SMAD4;ROCK1;SMURF2;FST;SMAD9;INHBA;GDF6;LTBP1;THBS1;TGFBR2;BMPR1A;FBN1	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	Glycosaminoglycan biosynthesis	9/53	0.0025333303971396	0.0788147234665663	0	0	3.461283999019848	20.69231888789928	EXT1;EXT2;EXTL2;FUT8;DSE;CSGALNACT2;XYLT1;HS3ST5;HS2ST1	Concordant_UP_UP	KEGG_2021_Human
KEGG_2021_Human	Long-term potentiation	10/67	0.0039830193275166	0.1013859465186066	0	0	2.969361353022845	16.407844931948052	GRIA1;RAP1B;RPS6KA3;CAMK2D;RAP1A;GNAQ;PRKCA;CACNA1C;PRKACB;CALM2	Concordant_UP_UP	KEGG_2021_Human
