Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	39/291	4.0631167312995e-07	0.0005054517213736578	0	0	2.6616761201248735	39.16961253605942	FBN2;ITGB1;SPARC;LAMA2;SDC2;ITGB3;LAMA4;COL12A1;SERPINE1;LOXL3;LOXL4;PLOD2;LAMC1;NID1;LTBP1;NID2;THBS1;HAPLN1;ADAMTS5;EFEMP2;ADAMTS1;CASP3;ITGAV;ITGA4;ITGA1;PRKCA;LAMB1;ADAM19;ADAM17;VCAN;MMP16;LOX;COL4A1;ITGA10;MFAP3;PXDN;COL8A1;ADAM9;FBN1	Concordant_UP_UP	Reactome_2022
Reactome_2022	Laminin Interactions R-HSA-3000157	9/22	1.364045813058729e-06	0.0008484364957225295	0	0	11.734397677793904	158.47369086294546	ITGB1;LAMA2;LAMA4;ITGA1;LAMB1;ITGAV;LAMC1;NID1;NID2	Concordant_UP_UP	Reactome_2022
Reactome_2022	Elastic Fibre Formation R-HSA-1566948	11/39	6.455304684066385e-06	0.0026767996756595	0	0	6.665487977369166	79.65663616939183	FBN2;ITGB1;EFEMP2;LOX;ITGB3;MFAP3;LOXL3;LOXL4;ITGAV;LTBP1;FBN1	Concordant_UP_UP	Reactome_2022
Reactome_2022	Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426	19/123	5.449226422482749e-05	0.0167728897891477	0	0	3.1095787711834855	30.528139726781344	APP;APLP2;IGFBP3;SDC2;IGFBP2;LAMB1;LAMC1;PDIA6;LTBP1;PRSS23;FSTL1;HSP90B1;DNAJC3;RCN1;VCAN;CDH2;PAPPA;SCG2;FBN1	Concordant_UP_UP	Reactome_2022
Reactome_2022	Non-integrin membrane-ECM Interactions R-HSA-3000171	10/41	6.741515188564224e-05	0.0167728897891477	0	0	5.467335808772337	52.51179635691911	ITGB1;LAMA2;ITGB3;LAMA4;SDC2;ITGAV;LAMB1;PRKCA;LAMC1;THBS1	Concordant_UP_UP	Reactome_2022
Reactome_2022	Post-translational Protein Phosphorylation R-HSA-8957275	17/106	8.207361560418457e-05	0.0170165963019342	0	0	3.2478824546240275	30.555733734685937	APP;APLP2;IGFBP3;SDC2;LAMB1;LAMC1;PDIA6;LTBP1;PRSS23;FSTL1;HSP90B1;DNAJC3;RCN1;VCAN;CDH2;SCG2;FBN1	Concordant_UP_UP	Reactome_2022
Reactome_2022	Cilium Assembly R-HSA-5617833	24/186	0.0001209831267666393	0.0215004299568141	0	0	2.5252647912028605	22.777533541948625	DYNLT5;CEP135;ARL6;SEPTIN2;IFT80;PRKCA;HAUS6;ASAP1;RPGRIP1L;WDR35;TTBK2;HAUS1;IFT20;IFT74;NEDD1;BBS10;ARL13B;BBS12;TMEM67;CEP70;EXOC5;CEP97;IFT57;CEP290	Concordant_UP_UP	Reactome_2022
Reactome_2022	ECM Proteoglycans R-HSA-3000178	11/55	0.0002019564630528144	0.0314042300047126	0	0	4.238073807380738	36.055236668509565	ITGB1;VCAN;SPARC;LAMA2;ITGB3;LAMA4;SERPINE1;ITGAV;LAMB1;LAMC1;HAPLN1	Concordant_UP_UP	Reactome_2022
Reactome_2022	Signaling By TGFB Family Members R-HSA-9006936	17/119	0.00034541282982908996	0.0477437289230431	0	0	2.831975867269985	22.573028986166076	ITGB1;SMAD4;SMURF2;FST;ITGB3;SERPINE1;UBE2D1;SMAD9;INHBA;LTBP1;FSTL1;TGFBR2;XPO1;SRFBP1;ITGAV;SKIL;BMPR1A	Concordant_UP_UP	Reactome_2022
Reactome_2022	TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789	9/44	0.0006368053726698978	0.0720168985092139	0	0	4.3534077782056215	32.03693021445391	ITGB1;SMAD4;XPO1;SMURF2;ITGB3;ITGAV;SRFBP1;LTBP1;TGFBR2	Concordant_UP_UP	Reactome_2022
