Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Molecular_Function_2023	Calcium Ion Binding (GO:0005509)	213/346	7.00674561404517e-16	7.721433666677778e-13	0	0	2.4112390870087	84.13895373330294	CALML5;CPNE6;ITSN1;PRF1;CALML3;PKD2L1;PRSS3;MYL11;HPCAL4;MYL7;MYL2;PADI4;ASTN2;MYL9;PADI1;DHH;PLA2G5;MYL12A;CRACR2A;S100A13;OTOF;S100A12;S100A14;PCDHA7;TRPM4;FER1L5;ALOX15B;AIF1L;CRNN;GJB2;CABYR;CALU;HRC;PCDHB6;CALM3;CALR;OCM2;PAM;CD320;RET;RYR1;ANXA8L1;CETN2;PPP3CB;SHH;PCLO;DNER;ANXA6;SDF4;ANXA8;ANXA9;ANXA2;ANXA3;TESC;TNNC1;ANXA5;MYOF;NAALADL1;MMP12;PLSCR1;MMP13;VSNL1;PLSCR2;PITPNM3;CANX;RGN;DNASE1L2;DNASE1L3;DDR2;APCS;ASAH2;AOAH;NOL3;AIF1;DUOX2;AOC3;AOC1;GSN;GCA;CABCOCO1;TUBB4A;GRIN1;SMOC2;ESYT3;ESYT2;ADGRL3;CLXN;GUCA1B;CIB2;CLU;CDH8;CDH7;CLGN;LOXL2;COMP;RPH3A;CDH5;SCGN;CDH4;CDH3;CDH1;CHP2;ENPP2;CAPN3;ENPP1;CAPN1;ENPP3;TGM3;TGM2;TPD52;S100A2;TPM4;AMY1A;AMY1B;AMY1C;ANXA10;CLEC4A;PCP4;MELK;PLA2G10;S100A6;S100A5;ADAM8;FKBP9;MASP1;CLEC4E;DSC1;S100A9;DSC2;S100A8;S100A7;CABP4;NOTCH4;LTBP4;CACNA1A;FBLN1;RASGRP1;BCL2L10;SCIN;SCUBE1;CDH22;CDH23;CDH26;SYT5;HSPA5;SYT9;SYT8;SYT7;SYT6;SELP;VIL1;RCAN3;PCDHGB4;DYSF;TCHH;ATP2A2;EFCAB11;CALB2;MB;PLA2G4F;ADGRV1;PLA2G4D;CEMIP2;PLA2G4E;PLA2G4B;PLA2G4A;ASPN;CDH10;CDH11;CASQ2;CDH12;CDHR3;CDH13;DSG1;CDHR5;DSG2;CASQ1;CDH15;DSG3;ITGA5;LCP1;DSG4;MCTP2;SLC25A13;CRP;CANT1;PLA2G1B;NRXN1;PON1;ITLN1;LRP2;SRI;ITIH1;SRR;SPOCK2;SLIT1;SPOCK1;SLC25A23;SNCB;SLC25A24;SNCA;PLA2G2F;PLA2G2D;PLA2G2E;GALNT3;PLA2G2C;PLA2G2A;SYT13;S100B;BAIAP3;S100Z;SYT11;SYT10	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	G Protein-Coupled Receptor Activity (GO:0004930)	156/250	1.0849910387999117e-12	5.978300623787514e-10	0	0	2.488836586804256	68.566077583517	NPFFR2;VIPR1;NPFFR1;VIPR2;MRGPRF;RXFP4;GPR63;MRGPRD;GPR61;GPR62;RORB;GRPR;CELSR2;GPR174;GPR173;GPR176;CYSLTR2;ADGRA1;GNAT2;ADORA3;GPR171;C3AR1;ADORA1;OXER1;CMKLR2;CMKLR1;PDGFRB;LHCGR;GPR37L1;LTB4R2;ADGRB3;MTNR1B;GPR161;ADGRB1;APLNR;PGR;ADCYAP1R1;GIPR;NPR1;C5AR2;GPR87;C5AR1;GPR88;FPR1;GPR85;LPAR2;LPAR3;FPR2;MCHR1;CRHR1;MCHR2;CRHR2;ADGRG3;HCAR2;HCAR3;ADGRG1;GALR1;ADGRG5;ADGRG6;DRD1;DRD2;NTSR1;NTSR2;DRD5;GPR17;OPN4;GPR15;OPN3;HTR1E;OPN5;GPR18;GPR27;TAS2R60;GPR26;GPR22;AKR1B1;GPR20;PTH1R;GRM1;LTB4R;GRM3;ADGRE2;GRM2;ADGRE5;OPN1LW;GRM6;FFAR4;GNRHR;CCR7;FFAR2;GPR135;GPR37;ADGRV1;ELOVL4;MRGPRX3;GPR35;MRGPRX2;MRGPRX1;GPBAR1;PTH2R;OPN1MW;ADORA2A;ADGRF4;RGR;OPRD1;CX3CR1;GPR45;NPY4R;TM2D1;PTAFR;CXCR5;CXCR4;CXCR6;GPR152;P2RY8;PROKR1;P2RY6;CXCR1;NPY;CXCR2;KISS1R;RHO;S1PR1;S1PR3;TAS1R2;TAS1R1;GPR156;S1PR4;TAS1R3;GPR157;GABBR2;P2RY13;MAS1L;P2RY10;P2RY14;GPR55;GPR52;SCTR;OPRK1;GPR4;TSHR;HCRTR1;GPR141;ADGRD1;GPR143;OPN1SW;ADGRD2;OPN1MW2;OPN1MW3;GPR149;F2RL1;ADGRL4;LGR6;LGR5;ADGRL3;F2RL3	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Chemokine Receptor Binding (GO:0042379)	44/50	3.153333588122551e-12	1.1583245380370166e-09	0	0	10.924497691251716	289.3086758554695	CCL14;CX3CR1;CXCL6;CCL13;CXCL9;CXCL8;CCL11;CXCL1;CXCL13;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL16;GPR15LG;CCL8;CCL7;CCL5;CCRL2;ENC1;CCL4;CCL3;CCL2;CCL19;S100A14;CCL18;CCL17;PF4V1;CCL16;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;KLF5;XCL1;CCL27;PF4	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Chemokine Activity (GO:0008009)	41/46	6.9416200473858335e-12	1.912416323054797e-09	0	0	12.212025948103792	313.7695169040638	CCL14;CCL13;CXCL6;CXCL9;CCL11;CXCL8;CXCL1;CXCL13;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL16;GPR15LG;CCL8;CCL7;CCL5;CCL4;ENC1;CCL3;CCL2;CCL19;CCL18;CCL17;CCL16;PF4V1;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;KLF5;XCL1;CCL27;PF4	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Metal Ion Binding (GO:0046872)	284/521	2.226527909549551e-11	4.907267512647211e-09	0	0	1.804636953296627	44.2641219120607	CALML5;ITSN1;CPNE6;PRF1;CALML3;MT1X;PKD2L1;NUDT5;TRIM27;PRSS3;MYL11;HPCAL4;MYL7;MTHFD2;MYL2;SIK1;HPRT1;PADI4;ASTN2;MYL9;PADI1;PIF1;DHH;PLA2G5;MYL12A;CRACR2A;NUAK2;FIGNL1;S100A13;S100A12;OTOF;S100A14;APOE;PCK1;HMGCLL1;PCDHA7;TRPM4;FER1L5;TREX1;PLK1;PDE2A;TREX2;ALOX15B;AIF1L;CRNN;GJB2;CABYR;ACER3;HRC;PCDHB6;CALU;CALM3;CALR;PAM;OCM2;CD320;RET;RYR1;TOP2A;ANXA8L1;FEN1;CETN2;CLYBL;THTPA;SHH;PPP3CB;PCLO;DNER;ANXA6;SDF4;ANXA8;ANXA9;ANXA2;ANXA3;SPHK1;TESC;TNNC1;ANXA5;MYOF;NAALADL1;NME1;MMP12;FCER2;PLSCR1;MMP13;VSNL1;PLSCR2;PITPNM3;CANX;RGN;DNASE1L2;DNASE1L3;DDR2;APCS;ASAH2;ADCY2;AOAH;NOL3;AIF1;DUOX2;AOC3;AOC1;GSN;GCA;SEPTIN4;TUBB4A;CABCOCO1;GRIN1;SMOC2;ESYT3;ESYT2;ADGRL3;CLXN;GUCA1B;PLOD3;CIB2;CLU;CDH8;CDH7;THG1L;CLGN;LOXL2;RPH3A;COMP;CDH5;SCGN;CDH4;CDH3;CDH1;CHP2;ENPP2;CAPN3;ENPP1;NUDT16;CAPN1;ENPP3;MAP3K6;SLC39A4;PSPH;TGM3;RAG1;TGM2;TPD52;S100A2;TPM4;AMY1A;AMY1B;AMY1C;ANXA10;CLEC4A;MSH6;ERN2;PCP4;MELK;PLA2G10;FSCN1;S100A6;S100A5;ADAM8;TSSK3;FKBP9;MASP1;CLEC4E;DSC1;S100A9;DSC2;S100A8;S100A7;BRSK1;BRSK2;NOTCH4;CABP4;LTBP4;CACNA1A;FBLN1;RASGRP1;BCL2L10;SNN;SCIN;SCUBE1;CDH22;ABL1;MAP3K20;CDH23;ABL2;TPPP;CDH26;MARK2;MARK1;SYT5;HSPA5;NEK6;EPHX2;IDH1;IDH2;SYT9;SYT8;SYT7;SYT6;SELP;VIL1;CPS1;RCAN3;DYRK3;PCDHGB4;TSSK1B;MAST1;DYSF;TCHH;ATP2A2;EFCAB11;CALB2;OPA1;MB;PGPEP1;PLA2G4F;ADGRV1;PLA2G4D;CEMIP2;PLA2G4E;PLA2G4B;PLA2G4A;REXO2;ASPN;CDH10;CDH11;CASQ2;CDH12;CDHR3;DSG1;CDH13;DSG2;TESMIN;CDHR5;DSG3;ITGA5;LCP1;CASQ1;CDH15;DSG4;MCTP2;FBP1;PRTFDC1;SLC25A13;CRP;PDXK;CANT1;MVK;PLA2G1B;NRXN1;PON1;ITLN1;PDXP;LRP2;NLRC4;SRI;ITIH1;SRR;SPOCK2;SLIT1;SPOCK1;SLC25A23;SNCB;SLC25A24;SNCA;PLA2G2F;PLA2G2D;PLA2G2E;GALNT3;EYA2;PLA2G2C;CDC42BPG;PLA2G2A;SYT13;CDC42BPA;S100B;MAPK12;BAIAP3;SNRK;S100Z;SYT11;SYT10;S100P;RAN	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Receptor Ligand Activity (GO:0048018)	182/319	8.449957783122956e-10	1.5519755795002497e-07	0	0	1.9916042173560424	41.60797688534966	CD86;SEMA5B;CSF3;CSF2;CSF1;EPO;CD80;REG1A;ERFE;CXCL13;FGF1;TNF;FGF5;NPPB;ENDOU;NPPC;IL36B;FGF9;NPPA;IL12B;TNFSF11;FAM3D;NRTN;CHGB;SEMA6B;SEMA6C;EPHA7;SEMA6A;WNT5B;SEMA6D;CLEC11A;WNT5A;DKK1;PGF;EREG;BTC;SFRP2;S100A4;DEFB103A;PDGFB;TGFA;NTS;GPR15LG;DPP4;WNT6;APELA;THPO;FGF20;CGA;WNT1;WNT2;FGF22;WNT3;FGF21;WNT4;JAG2;WNT10B;WNT10A;JAG1;TGFB1;WNT3A;AMBN;IGF2;LIF;IL36G;INHBB;GDF3;IGF1;OSGIN2;GDF5;BMP7;IL2;GDF7;IL1F10;BMP5;INHBE;BMP4;BMP3;CXCL10;FGF16;GH1;PYY;IL6;ARTN;FGF19;FGF18;SCGB3A1;LACRT;TDGF1;DAND5;NODAL;BMP10;CXCL9;EDA;IFNA1;IL26;CXCL1;PRL;CGB2;AREG;CX3CL1;TNFSF13B;INSL6;SHH;MDK;CTSG;GAST;TIMP1;IL10;IL11;LEFTY1;EDN2;EDN3;METRN;IL18;WNT9B;IL19;IL16;WNT9A;NGF;WNT16;GREM1;IL1A;GREM2;IFNG;NRG3;C1QTNF12;IFNE;ANGPTL3;CRH;IFNK;GAS6;DEFB4A;ZP3;COLEC10;CCL11;SEMA3C;SEMA3G;WNT8B;SEMA3F;DLL1;NTF4;DLL4;WNT11;CCL5;NTF3;CCL4;CCL3;ALKAL2;ALKAL1;CCL16;CCL15;CCL25;GDF10;CCL24;IL33;SEMA4A;GDF15;IL37;EGF;IL34;WNT7B;SEMA4B;BMP8A;OSM;BMP8B;VEGFC;WNT7A;GCG;VEGFD;SEMA4F;SEMA4G;SLURP1;APLN;POMC;EPGN;TAFA5;TAFA2;CLCF1;LEP;VIP;HSPA1A	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Voltage-Gated Potassium Channel Activity (GO:0005249)	59/80	1.2242340459683619e-09	1.9272941695101924e-07	0	0	4.187939842103383	85.94050601715603	KCNG1;KCNG2;KCNK6;KCNG3;KCNC1;KCNC2;KCNC3;LRRC38;KCNC4;KCNT1;KCNH1;KCNH2;KCNH3;KCNH4;KCNH5;KCND2;KCNH6;KCND3;KCNH8;KCNQ1;KCNQ2;KCNQ4;KCNQ5;HCN4;HCN3;KCNE1;KCNE4;KCNA1;KCNE5;KCNA2;KCNA4;KCNA5;KCNA6;KCNA7;LRRC55;LRRC52;KCNV1;KCNV2;KCNN2;KCNN3;KCNJ3;KCNJ4;KCNF1;KCNJ5;LRRC26;KCNJ6;KCNJ11;KCNJ8;KCNB1;KCNJ12;KCNJ9;KCNB2;KCNJ13;KCNJ14;KCNJ15;KCNJ16;KCNJ18;KCNK1;KCNK2	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Serine-Type Peptidase Activity (GO:0008236)	92/142	2.9291783224833103e-09	4.03494313922076e-07	0	0	2.7474099183929694	53.98260436333109	PCSK2;PCSK1;PLAT;CTSV;PCSK6;PRSS22;PRSS21;ENDOU;CTSK;CAPN5;CTSH;CTSG;PRSS8;PRSS3;TPSAB1;HGFAC;MMP7;TPSG1;MMP1;MMP2;MMP3;OVCH2;PRSS16;MMP8;TMPRSS11E;PRSS56;MMP9;PRSS12;MMP10;MMP12;F7;MMP11;MMP14;MMP13;MMP19;ADAM8;MASP1;CFD;TPSD1;TMPRSS7;KLK1;C1S;HPN;CD5L;TMPRSS4;HTRA1;KLK5;PRSS48;KLK4;TMPRSS2;KLK3;PLG;HPR;KLK2;KLK9;KLK8;KLK7;KLK6;DPP4;PRSS45P;NAALAD2;RHBDL3;RHBDL2;SEC11A;ELANE;CORIN;ST14;CMA1;RHBDD1;F12;GZMA;KLK13;PRSS42P;TYSND1;GZMB;KLK14;KLK15;PRSS36;TMPRSS13;KLK10;KLK11;GZMH;KLK12;GZMK;GZMM;BMP1;PROC;CTRL;CNTN1;TLL2;TPP1;TLL1	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Cytokine Activity (GO:0005125)	110/178	4.9976026466106765e-09	6.119286796183295e-07	0	0	2.417208861649605	46.20327349788576	CSF3;CSF2;CSF1;EPO;CXCL13;TNF;CXCL16;IL36B;IL12B;TNFSF11;FAM3D;WNT5B;WNT5A;GPR15LG;WNT6;WNT1;WNT2;WNT3;WNT4;WNT10B;WNT10A;TGFB1;WNT3A;LIF;IL36G;INHBB;GDF3;PPBP;BMP7;GDF5;IL2;BMP5;GDF7;IL1F10;INHBE;BMP4;BMP3;CXCL10;CXCL11;IL6;CXCL12;SCGB3A1;NODAL;CXCL6;BMP10;CXCL9;CXCL8;IFNA1;IL26;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;ENC1;TIMP1;PF4V1;IL10;IL11;LEFTY1;IL18;WNT9B;IL19;IL16;WNT9A;WNT16;IL1A;IFNG;IFNE;IFNK;XCL1;CCL14;CCL13;CCL11;WNT8B;CCL8;WNT11;CCL7;CCL5;CCL4;CCL3;CCL2;ALKAL2;ALKAL1;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;GDF10;CCL24;IL33;CCL23;CCL22;CCL21;CCL20;GDF15;IL37;IL34;WNT7B;BMP8A;OSM;BMP8B;WNT7A;SLURP1;KLF5;CLCF1;CCL27;PF4	Normal_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Potassium Channel Activity (GO:0005267)	54/79	4.073260418241566e-07	4.488732980902206e-05	0	0	3.2166537548419343	47.32872358859303	KCNG1;KCNK5;KCNG2;KCNK6;KCNK7;KCNC1;KCNK9;KCNC2;GRIK5;KCNC3;LRRC38;KCNC4;PKD2L1;AQP1;KCNT1;TMEM38B;CCDC51;KCNH2;KCNH3;KCNH4;KCNH5;KCND2;KCNK10;KCND3;KCNH8;KCNK12;KCNK13;KCNK17;KCNQ1;KCNQ2;KCNQ4;KCNQ5;HCN4;HCN3;KCNE1;KCNA1;KCNE5;KCNA2;KCNA4;KCNA6;LRRC55;LRRC52;KCNV1;KCNV2;KCNMB1;KCNMB3;KCNN2;KCNN4;KCNF1;LRRC26;KCNJ11;KCNK1;KCNK2;KCNK3	Normal_only	GO_Molecular_Function_2023
