Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	84/100	2.24123526705668e-19	7.149540501910809e-17	0	0	7.853599648814749	337.249979758814	CXCL6;CXCL9;CXCL8;IL20;CSF1;CCL4L2;IL24;CXCL1;CXCL13;CXCL3;CXCL14;TNF;CXCL2;CX3CL1;CXCL5;IL18RAP;CCR9;CCR8;CCR7;CCR6;CCR5;IL6R;CCR4;CCR3;PF4V1;CCR2;IL10;IL18;IL19;LTA;XCL1;CCL14;CX3CR1;CSF1R;CCL13;CCL11;CCL3L3;IL20RA;CXCR5;IL20RB;CXCR4;IL2RG;CCL8;CCL7;CXCR1;CCL5;CXCR3;CCL4;CXCR2;CCL3;CCL2;TNFRSF14;CCL19;CCL18;CCL17;CCR10;CCL16;CCL15;CCL25;CCL24;CCL23;XCR1;CCL22;CCL21;CCL20;IL10RB;IL37;IL10RA;IL34;TNFRSF10C;TNFRSF10B;PPBP;IL2;TNFRSF10D;IL22RA1;CXCL10;CXCL11;IL6;CXCL12;IL2RB;ACKR4;CCL28;CCL27;PF4	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Cytokine-cytokine receptor interaction	188/295	2.4566616306094144e-16	3.918375300822016e-14	0	0	2.6427706972706098	94.98793938535172	CNTFR;IL1RN;CSF3;TNFRSF6B;CSF2;CSF3R;AMHR2;CSF1;EPO;CCL4L2;CXCL17;MPL;IL5RA;CXCL13;CXCL14;TNF;CXCL16;IL18RAP;IL36B;IL12B;TNFSF11;TNFRSF8;IL13RA2;IL6R;TNFRSF4;IL13RA1;IFNA13;IL1R1;IL1R2;PRLR;EDAR;IL23A;IFNAR1;CSF1R;CCL3L3;IL20RA;IL20RB;CSF2RB;TNFRSF11B;CSF2RA;THPO;IL36RN;TNFRSF14;CCR10;NGFR;XCR1;TGFB1;LIF;TNFRSF10C;IL36G;TNFRSF10B;IFNLR1;INHBB;GDF3;PPBP;GDF5;BMP7;IL2;GDF7;IL1F10;BMP5;INHBE;TNFRSF10D;IL22RA1;BMP4;BMP3;CXCL10;GH1;CXCL11;IL6;CXCL12;TNFSF8;BMPR1B;IL7R;NODAL;ACVRL1;CXCL6;BMP10;CXCL9;IL20;CXCL8;EDA;IFNA1;IL25;IL26;IL24;IL27;CXCL1;FASLG;PRL;TNFRSF13C;CXCL3;CXCL2;CX3CL1;EDA2R;CXCL5;TNFSF13B;CCR9;CCR8;CCR7;CCR6;CCR5;CCR4;CCR3;PF4V1;CCR2;IL10;IL11;TNFRSF12A;TNFRSF18;IL13;IL18;IL19;IL16;IL17RE;NGF;IL17RC;TGFBR1;IL1A;IFNG;IFNE;IL3RA;IFNK;LTA;XCL1;TNFRSF25;LTB;IL9R;CCL14;CX3CR1;CCL13;CCL11;CTF1;CXCR5;CXCR4;CXCR6;ACVR1B;IL2RG;IL1RL1;IFNL2;IL1RL2;CCL8;CXCR1;CCL7;CXCR3;CCL5;CXCR2;CCL4;CCL3;IL21R;CCL2;CCL19;CCL18;IL12RB1;CCL17;IFNL3;CCL16;CCL15;IL12RB2;CCL25;GDF10;CCL24;IL33;CCL23;CCL22;CCL21;CCL20;GDF15;IL10RB;IL37;IL10RA;IL34;BMP8A;OSM;BMP8B;EPOR;CD4;CD40LG;CLCF1;LEP;IL2RB;ACKR4;CCL28;IL17C;CCL27;IL17B;CRLF2;PF4	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Cell adhesion molecules	103/148	4.465474628888181e-13	4.7482880220510986e-11	0	0	3.423837063112899	97.36444444425504	CD86;CD80;ICAM2;ICAM3;CLDN2;F11R;CLDN1;PVR;ICAM1;CDH5;CDH4;CDH3;CDH1;NRCAM;HLA-DOA;HLA-DOB;ICOSLG;HLA-B;HLA-F;HLA-E;CLDN6;CLDN5;CLDN4;MAG;CLDN3;CD8B;CD8A;CLDN9;CLDN8;CD274;SDC3;CD99L2;VTCN1;ICOS;LRRC4C;HLA-DQA2;CD99;HLA-DQA1;CD276;LRRC4B;NTNG1;CADM3;HLA-DRB5;L1CAM;SELE;IGSF11;SELP;CD28;CNTN1;CNTN2;HLA-DRA;SDC1;ESAM;HLA-DRB1;CNTNAP1;ITGAM;ITGB2;PTPRM;ITGAL;PTPRF;CLDN22;SPN;CLDN20;CLDN25;CLDN24;CLDN23;CTLA4;ITGB8;ITGB7;CD34;NEO1;HLA-DPA1;CD8B2;PDCD1LG2;CLDN11;CLDN10;CLDN14;CLDN19;PECAM1;CLDN17;CDH15;CLDN16;HLA-DQB1;ITGA9;NLGN2;NRXN1;NRXN2;HLA-DMA;HLA-DMB;TIGIT;JAM2;MPZL1;JAM3;NLGN4X;CD2;CD4;CD40LG;CD6;CLDN34;HLA-DPB1;PDCD1;SIGLEC1;NECTIN1	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Neuroactive ligand-receptor interaction	202/341	8.694910302299758e-13	6.934190966084058e-11	0	0	2.1838337859311534	60.64696062673009	NPFFR2;VIPR1;NPFFR1;VIPR2;SCT;RXFP4;GRPR;HTR4;RXFP2;HTR6;HTR7;C3AR1;PRSS3;PTGDR;PDYN;GABRG3;UTS2B;PARD3;PTGFR;ADCYAP1R1;GIPR;LHB;FPR1;LPAR2;FPR3;LPAR3;FPR2;LPAR4;CRHR1;CRHR2;GRIN2A;GALR2;GALR1;PENK;CGA;NTSR1;NTSR2;NMBR;GRIN2C;GRIN2B;GRIN2D;GRIN3B;GRIN3A;NMU;GABRB1;GRIK5;ADM;PRL;PTH1R;MC4R;UCN2;GNRHR;CTSG;EDN2;AVPR1B;EDN3;GPR35;PTH2R;AVPR1A;TACR1;GAL;ADRB3;CCKBR;NPY4R2;OPRD1;GRP;PTGER1;PTGER2;PTAFR;PTGER3;CHRND;GLRA1;GLRA3;CHRNG;NPW;CHRNE;NPY;KISS1R;CHRNA10;GPR156;GABRD;GABRA2;GABRQ;GABBR2;GABRP;P2RY13;P2RY10;GABRA5;GABRA4;P2RY14;GABRA3;SCTR;GCG;SLURP1;GRIN1;MC5R;F2RL1;GHRL;F2RL3;CHRM2;CHRM1;CHRM4;CHRM5;NPY2R;CYSLTR2;ADORA3;ADORA1;CHRNB2;CHRNB4;LHCGR;NPY1R;PRLR;ADCYAP1;LTB4R2;MTNR1B;APLNR;UTS2;CHRNA3;CALCB;CHRNA2;CHRNA5;CHRNA4;CHRNA7;C5AR1;ADRB2;NTS;MCHR1;MCHR2;HRH1;HRH3;HRH2;TBXA2R;TAC4;DRD1;DRD2;TAC1;DRD4;GRIA3;DRD5;HTR1E;HTR1F;HTR1B;GH1;PYY;RLN2;RLN1;GLP1R;HTR2B;HTR2C;ADRA1D;OXT;HTR2A;TRH;ADRA1B;ADRA1A;GRM1;LTB4R;GRM3;GRM2;GRM7;GRM6;INSL5;TSHB;PTGIR;NPY5R;GRID1;AVPR2;SSTR1;ADRA2C;SSTR2;ADRA2A;SSTR4;GIP;SSTR5;ADORA2A;CRH;NPY4R;PLG;P2RY8;P2RY6;P2RY4;P2RY2;S1PR1;S1PR3;S1PR5;S1PR4;GZMA;OPRK1;TSHR;APLN;HCRTR1;KISS1;P2RX7;POMC;P2RX6;P2RX5;P2RX4;GLRB;P2RX2;LEP;P2RX1;VIP	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Staphylococcus aureus infection	71/95	8.777527566421203e-12	5.600062587376728e-10	0	0	4.415273603806662	112.40768395069514	ITGAM;ITGB2;KRT23;DEFB1;ITGAL;KRT20;FCAR;ICAM1;FCGR3A;FCGR3B;KRT28;KRT27;KRT26;KRT25;C3AR1;HLA-DOA;HLA-DOB;CAMP;HLA-DPA1;IL10;KRT35;KRT32;KRT31;KRT9;KRT39;KRT38;KRT37;KRT36;DSG1;MASP1;DEFB4A;HLA-DQB1;C1QB;CFD;DEFB103A;C1QA;DEFB103B;C1S;C5AR1;PTAFR;FPR1;FPR3;PLG;FPR2;KRT40;KRT33B;KRT33A;HLA-DMA;HLA-DMB;DEFA1B;FCGR1A;HLA-DQA2;HLA-DQA1;HLA-DRB5;DEFA6;KRT12;DEFA1;KRT10;SELP;KRT19;FCGR2A;KRT18;KRT17;KRT16;KRT15;KRT14;HLA-DPB1;HLA-DRA;FCGR2B;HLA-DRB1;C1QC	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Hematopoietic cell lineage	69/99	2.865523098557769e-09	1.5235031140665472e-07	0	0	3.4301326990485728	67.47247643782404	CSF3;CSF2;CSF3R;ITGAM;CSF1;TFRC;EPO;FLT3;ITGA2B;IL5RA;CD3G;CD3E;TNF;CD3D;ANPEP;CD38;CD37;CD36;HLA-DOA;HLA-DOB;IL6R;CD34;HLA-DPA1;IL11;MME;IL1R1;GP1BB;IL1R2;CD8B2;GP1BA;FCER2;IL1A;CD8B;CD8A;IL3RA;KIT;ITGA5;MS4A1;IL9R;HLA-DQB1;CSF1R;CD1E;CD1C;CD1B;CSF2RA;CD1A;HLA-DMA;HLA-DMB;THPO;CD59;CD14;FCGR1A;HLA-DQA2;HLA-DQA1;CD55;HLA-DRB5;GP5;EPOR;CD2;GP9;IL6;CD4;CD5;HLA-DPB1;HLA-DRA;CD9;CD24;IL7R;HLA-DRB1	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Calcium signaling pathway	138/240	4.6595178618162195e-08	2.123408854170534e-06	0	0	2.0230049842894604	34.15190235379507	CHRM2;CHRM1;CALML5;CHRM5;CALML3;GRPR;HTR4;FGF1;MYLK4;SLC8A2;FGF5;HTR6;HTR7;CYSLTR2;FGF9;PRKCG;PDGFRB;PDGFRA;LHCGR;PRKCB;ADCY9;LTB4R2;ORAI2;ORAI1;PTGFR;PDE1B;CHRNA7;PDGFB;CACNA1A;ITPR2;CACNA1D;ITPR3;MST1R;ADRB2;CACNA1F;CACNA1E;CACNA1H;CACNA1I;GRIN2A;HRH1;HRH2;TBXA2R;PLCG2;FGF20;CACNA1S;DRD1;NTSR1;FGF22;DRD5;FGF21;GRIN2C;GRIN2D;FGF16;GNAL;FGF19;FGF18;HRC;GNAS;CALM3;FGFR4;FGFR3;FGFR2;FGFR1;RET;RYR1;RYR2;FLT4;ATP2A3;HTR2B;ATP2A2;HTR2C;ADRA1D;HTR2A;ADRA1B;ADRA1A;RYR3;GRM1;PPP3CB;PLCZ1;CD38;NOS1;CAMK1D;AVPR1B;SPHK2;SPHK1;TNNC1;TNNC2;AVPR1A;TACR1;NGF;TRDN;ITPKB;ITPKC;PLCB4;ADRB3;CCKBR;ADORA2A;ITPKA;CASQ2;CASQ1;PLCB2;CAMK2B;PTGER1;PTAFR;PTGER3;ADCY4;CXCR4;ADCY2;ADCY8;ADCY7;GNA15;PLN;ERBB3;ERBB4;ERBB2;PTK2B;NTRK2;MCOLN3;NOS2;EGF;NOS3;NTRK3;VEGFC;ATP2B3;VEGFD;ATP2B2;MCOLN2;GRIN1;SLC8A3;P2RX7;P2RX6;P2RX5;P2RX4;P2RX2;CAMK4;P2RX1;CAMK1;PLCD1	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Linoleic acid metabolism	25/29	4.4352582632384907e-07	1.768559232466348e-05	0	0	9.290183017928287	135.90153335796128	PLA2G1B;PLA2G3;PLA2G5;CYP2C19;CYP3A4;PLA2G6;PLB1;CYP2J2;PLA2G2F;PLA2G12A;PLA2G2D;PLA2G4F;PLA2G2E;PLA2G4D;PLA2G2C;PLA2G4E;PLA2G4B;PLA2G2A;PLA2G4A;CYP2C9;CYP2C8;JMJD7-PLA2G4B;CYP1A2;PLA2G10;CYP2E1	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Chemokine signaling pathway	111/192	6.388688146233014e-07	2.264435020720368e-05	0	0	2.0457253125262187	29.17933944831703	NCF1;CCL4L2;CXCL13;CXCL14;CXCL16;AKT3;PRKCB;PRKCD;TIAM1;ADCY9;PARD3;SHC2;SHC3;SHC1;CCL3L3;PXN;PIK3R3;PRKCZ;PIK3R6;PIK3R5;GNG10;GRK3;GRK2;GRK5;GRK7;PLCG2;CCR10;XCR1;PPBP;GNG11;GNG13;NFKBIA;CXCL10;CXCL11;CXCL12;GNB3;GNB5;CXCL6;ITK;CXCL9;CXCL8;CXCL1;PIK3CB;CXCL3;CXCL2;CX3CL1;CXCL5;PIK3CG;GNGT2;CCR9;RAC2;CCR8;CCR7;CCR6;CCR5;CCR4;HRAS;CCR3;PF4V1;CCR2;VAV1;VAV2;FGR;HCK;PLCB4;XCL1;CRK;PLCB2;CCL14;CX3CR1;CCL13;CCL11;ADCY4;CXCR5;WAS;CXCR4;ADCY2;CXCR6;ADCY8;ADCY7;ADCY5;GNAI2;CCL8;CCL7;CXCR1;GNG4;CCL5;CXCR3;CCL4;CXCR2;CCL3;CCL2;MAPK1;PTK2B;CCL19;CCL18;CCL17;CCL16;CCL15;CCL25;CCL24;CCL23;CCL22;CCL21;CCL20;STAT1;STAT2;CCL28;BCAR1;CCL27;PF4	Normal_only	KEGG_2021_Human
KEGG_2021_Human	Leukocyte transendothelial migration	71/114	1.660215798760853e-06	5.296088398047121e-05	0	0	2.4604103693090815	32.74452631917574	ITK;ITGAM;NCF1;NCF2;NCF4;ITGB2;PIK3CB;CLDN2;F11R;ITGAL;CLDN1;ACTB;ACTG1;ICAM1;CLDN22;CDH5;CLDN20;CLDN25;RASSF5;CLDN24;CLDN23;RAC2;PRKCG;PRKCB;ACTN1;MMP2;RHOH;CYBA;MMP9;VAV1;VAV2;CLDN6;CLDN11;CLDN5;CLDN10;CLDN4;CLDN3;MYL7;CLDN9;CLDN14;CLDN8;MYL2;CLDN19;PECAM1;CLDN17;CLDN16;EZR;MYL9;VCL;PXN;PIK3R3;CXCR4;CD99L2;THY1;MYL12A;GNAI2;PLCG2;PTK2B;CTNNA3;CTNNA2;CD99;JAM2;JAM3;MSN;MAPK12;MAPK13;AFDN;CXCL12;CLDN34;ESAM;BCAR1	Normal_only	KEGG_2021_Human
