Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
Reactome_2022	Keratinization R-HSA-6805567	173/208	2.2556550523841394e-37	4.039878198819994e-34	0	0	7.465695441037907	629.9718657281867	KRTAP24-1;LCE1A;TGM1;LCE1B;CAPNS1;LIPN;LIPM;KRTAP3-3;LIPK;PRSS8;CAPN1;KRTAP3-2;KRTAP3-1;TGM5;KRT6C;KRT6B;RPTN;KRT6A;KRT71;KRTAP13-2;KRTAP13-1;KRT3;KRT2;SPINK6;KRT1;KRTAP17-1;SPINK5;KRT8;KRT79;KAZN;KRT78;KRT77;KRT5;KRT76;LCE1E;KRT75;LCE1F;KRT74;LCE1C;KRT73;KRT9;LCE1D;KRT72;LCE2B;LCE2C;LCE2A;KRTAP4-11;PKP2;LORICRIN;PKP1;PKP3;SPINK9;KRTAP20-2;DSC3;FLG;SPRR2E;SPRR2F;SPRR2G;KRTAP10-10;KRTAP10-11;KRTAP10-12;KLK5;EVPL;KLK8;PPL;KRT40;KRT33B;KRTAP5-10;KRT33A;KRTAP5-11;KRTAP4-4;KRTAP4-3;KRTAP4-2;KRTAP4-1;PI3;SPRR2A;SPRR2B;SPRR2D;KRTAP12-1;ST14;KRTAP12-3;CDSN;KRTAP12-2;KRTAP4-9;JUP;KRTAP16-1;KRTAP4-8;KRTAP4-6;KRTAP8-1;KRTAP4-5;SPRR1A;SPRR1B;KRTAP26-1;TCHH;KRT23;KRT20;PCSK6;CASP14;KRT28;LCE5A;KRT27;KRT26;KRT25;KRTAP5-2;KRTAP1-5;KRTAP5-1;KRTAP1-4;KRTAP1-3;KRTAP1-1;KRTAP10-1;KRTAP9-7;KRTAP9-6;KRTAP11-1;KRTAP9-4;KRTAP9-3;KRTAP5-7;KRTAP9-2;KRTAP5-4;KRT35;KRT32;KRTAP19-3;KRT31;KRTAP19-5;KRTAP9-9;KRTAP9-8;KRT39;KRT38;KRT37;KRT36;LCE6A;DSG1;DSG2;DSG3;DSG4;IVL;KRT82;SPRR3;KRT81;CSTA;KRT80;KRTAP21-2;KRTAP29-1;KRT85;LCE2D;KRT84;KRT83;LCE3C;LCE3D;LCE3A;PERP;KRTAP6-1;KRTAP2-3;KRTAP10-3;KRTAP10-2;KRTAP10-5;KRTAP10-4;KRTAP10-7;KRTAP10-6;KRTAP10-8;KLK13;KLK14;KRT12;KRT10;LCE3E;KLK12;KRT19;KRT18;KRT17;KRT16;LCE4A;KRT15;KRT14;KRTAP21-1	Normal_only	Reactome_2022
Reactome_2022	GPCR Ligand Binding R-HSA-500792	294/458	1.495156428949214e-25	1.338912582124021e-22	0	0	2.720084013283776	155.48652084999316	NPFFR2;VIPR1;NPFFR1;VIPR2;SCT;RXFP4;FZD10;GRPR;HTR4;RXFP2;CRHBP;HTR6;HTR7;C3AR1;PROK2;OXER1;PROK1;CMKLR1;PTGDR;GPR37L1;PDYN;TAS2R19;UTS2B;KEL;PTGFR;ADCYAP1R1;TAS2R42;DHH;GIPR;LHB;FPR1;TAS2R46;LPAR2;FPR3;LPAR3;FPR2;LPAR4;CRHR1;CRHR2;NLN;GNG10;GALR2;GALR1;PENK;NTSR1;PCDHA6;NTSR2;GPR17;WNT10B;WNT10A;FZD2;TAS2R30;XCR1;FZD9;NMBR;PPBP;GNG11;GNG13;LPAR5;PNOC;NMU;GPR18;TAS2R60;ADM;PTH1R;QRFP;CX3CL1;MC4R;GPR132;SHH;C1QTNF1;GNGT2;OPN1LW;UCN2;CCR9;FFAR4;GNRHR;CCR8;CCR7;FFAR2;CCR6;CCR5;CCR3;CCR2;OXGR1;GPR37;EDN2;AVPR1B;EDN3;GPR35;WNT9B;GPBAR1;PTH2R;TACR1;WNT9A;AVPR1A;GAL;ADRB3;CCKBR;PTRH2;NPY4R2;RGR;OPRD1;CCL13;RAMP2;CCL11;PLPPR1;RAMP3;PLPPR3;PTGER1;PLPPR4;PTGER2;PLPPR5;PTAFR;PTGER3;CXCR5;WNT8B;CXCR4;CXCR6;PROKR1;CXCR1;NPW;CXCR3;NPY;CXCR2;RHO;KISS1R;CCL19;CCL17;GPHA2;CCL16;CD55;CCL25;P2RY13;GABBR2;CCL23;P2RY10;CCL22;CCL21;CCL20;P2RY14;WNT7B;GPR55;SCTR;WNT7A;GPR4;GCG;GPR143;XK;ADM2;MC5R;F2RL1;SAA2;GHRL;CCL28;RAMP1;CCL27;PF4;F2RL3;CHRM2;CHRM1;GPR68;CHRM4;CHRM5;NPY2R;CXCL13;CXCL16;CYSLTR2;ADORA3;CCRL2;ADORA1;LHCGR;WNT5A;NPY1R;ADCYAP1;LTB4R2;MTNR1B;APLNR;UTS2;CALCB;C5AR2;C5AR1;ADRB2;NTS;MCHR1;MCHR2;HCAR2;HCAR3;WNT6;HRH3;TBXA2R;HRH2;UBD;CPAMD8;NLRP3;DRD1;DRD2;TAC1;WNT1;WNT2;DRD4;WNT3;DRD5;WNT4;OPN4;OPN3;HTR1E;HTR1F;WNT3A;PTCH2;HTR1B;OPN5;CXCL10;PYY;CXCL11;CXCL12;RLN2;GNAS;GNB3;GNB5;GLP1R;CXCL6;CXCL9;CXCL8;HTR2C;ADRA1D;ECE1;CXCL1;OXT;HTR2A;TRH;ADRA1B;CXCL3;ADRA1A;CXCL2;CXCL5;GRM1;LTB4R;GRM3;ADGRE2;GRM2;ADGRE5;GRM7;GRM6;TAS2R1;TAS2R3;INSL5;TSHB;PTGIR;NPY5R;AVPR2;SSTR1;ADRA2C;SSTR2;WNT16;ADRA2A;SSTR4;SSTR5;ADORA2A;CRH;XCL1;AGXT;CX3CR1;MRLN;SFTPA2;P2RY6;WNT11;CCL7;P2RY4;GNG4;CCL5;P2RY2;CCL4;CCL3;S1PR1;CCL2;S1PR3;TAS1R2;TAS1R1;S1PR5;S1PR4;TAS1R3;CHGA;OPRK1;TSHR;APLN;HCRTR1;KISS1;POMC;OPN1SW;OPN1MW3;ACKR4;ACKR2;ACKR1	Normal_only	Reactome_2022
Reactome_2022	Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	219/327	8.466482393900408e-23	5.054489989158543e-20	0	0	3.061846134217913	155.6132532865936	NPFFR2;NPFFR1;RXFP4;GRPR;HTR4;RXFP2;HTR6;HTR7;C3AR1;OXER1;PROK2;PROK1;CMKLR1;PTGDR;GPR37L1;PDYN;UTS2B;KEL;PTGFR;LHB;FPR1;LPAR2;FPR3;LPAR3;FPR2;LPAR4;NLN;GALR2;GALR1;PENK;NTSR1;NTSR2;PCDHA6;GPR17;XCR1;NMBR;PPBP;LPAR5;NMU;PNOC;GPR18;QRFP;CX3CL1;MC4R;GPR132;OPN1LW;CCR9;FFAR4;GNRHR;CCR8;CCR7;FFAR2;CCR6;CCR5;CCR3;CCR2;OXGR1;EDN2;GPR37;AVPR1B;EDN3;GPR35;GPBAR1;AVPR1A;TACR1;GAL;ADRB3;CCKBR;NPY4R2;RGR;OPRD1;CCL13;CCL11;PLPPR1;PLPPR3;PTGER1;PLPPR4;PTGER2;PLPPR5;PTAFR;PTGER3;CXCR5;CXCR4;CXCR6;PROKR1;CXCR1;NPW;CXCR3;NPY;CXCR2;KISS1R;RHO;CCL19;CCL17;GPHA2;CCL16;CCL25;P2RY13;CCL23;P2RY10;CCL22;CCL21;CCL20;P2RY14;GPR55;GPR4;GPR143;XK;MC5R;F2RL1;SAA2;GHRL;CCL28;CCL27;F2RL3;PF4;CHRM2;CHRM1;GPR68;CHRM4;CHRM5;NPY2R;CXCL13;CXCL16;CYSLTR2;ADORA3;CCRL2;ADORA1;LHCGR;NPY1R;LTB4R2;MTNR1B;APLNR;UTS2;C5AR2;C5AR1;ADRB2;NTS;MCHR1;MCHR2;HCAR2;HCAR3;HRH3;HRH2;TBXA2R;NLRP3;DRD1;DRD2;TAC1;DRD4;DRD5;OPN4;OPN3;HTR1E;HTR1F;HTR1B;OPN5;CXCL10;PYY;CXCL11;CXCL12;RLN2;CXCL6;CXCL9;CXCL8;HTR2C;ADRA1D;CXCL1;ECE1;OXT;HTR2A;TRH;ADRA1B;CXCL3;ADRA1A;CXCL2;CXCL5;LTB4R;INSL5;TSHB;PTGIR;NPY5R;AVPR2;SSTR1;ADRA2C;SSTR2;ADRA2A;SSTR4;SSTR5;ADORA2A;XCL1;AGXT;CX3CR1;MRLN;SFTPA2;P2RY6;CCL7;P2RY4;CCL5;P2RY2;CCL4;CCL3;S1PR1;CCL2;S1PR3;S1PR5;S1PR4;CHGA;OPRK1;TSHR;APLN;HCRTR1;KISS1;POMC;OPN1SW;OPN1MW3;ACKR4;ACKR2;ACKR1	Normal_only	Reactome_2022
Reactome_2022	Signaling By GPCR R-HSA-372790	400/689	8.437253810035109e-22	3.7777803934432207e-19	0	0	2.106582709446046	102.22027266269797	TRIO;SCT;ITSN1;RXFP4;FZD10;GRPR;HTR4;RXFP2;CRHBP;GPR176;HTR6;HTR7;GNAT2;AKT3;C3AR1;PROK2;GNAT1;PROK1;CMKLR1;PRKCG;PRKCH;PRKCB;PRKCE;PRKCD;PDYN;ADCY9;PRKAR1A;PRKCQ;NGEF;DHH;FPR1;FPR3;FPR2;GALR2;GALR1;PCDHA6;GPR17;WNT10B;WNT10A;FZD2;GPR15;FZD9;PNOC;GPR18;GPR27;GPR20;ADM;PTH1R;GPR132;SHH;C1QTNF1;OPN1LW;UCN2;GAST;GPR37;GPR35;WNT9B;PTH2R;TACR1;WNT9A;PLCB4;PTRH2;RGR;PLCB2;CCL13;CCL11;PLPPR1;GPR45;PLPPR3;PLPPR4;PLPPR5;PTAFR;ADCY4;WNT8B;ADCY2;ADCY8;ADCY7;ADCY5;PROKR1;RHO;CCL19;CCL17;GPHA2;CCL16;CCL25;P2RY13;CCL23;P2RY10;CCL22;CCL21;CCL20;P2RY14;WNT7B;GPR55;SCTR;WNT7A;GPR4;GPR143;ADM2;PKN1;CCL28;CCL27;PF4;CHRM2;DGKG;CHRM1;GPR68;CHRM4;CHRM5;CXCL13;CXCL16;CYSLTR2;ADORA3;ADORA1;KPNA2;LHCGR;ADCYAP1;OBSCN;LTB4R2;MTNR1B;UTS2;DGKI;SHC1;ITPR2;ABHD6;ITPR3;GPR84;TBXA2R;CPAMD8;DRD1;DRD2;DRD4;DRD5;HTR1E;HTR1F;HTR1B;CXCL10;CXCL11;CXCL12;RLN2;PLXNB1;RASGRF2;HTR2C;ADRA1D;ECE1;HTR2A;TRH;ADRA1B;ADRA1A;PIK3CG;INSL5;PLEKHG2;PLEKHG5;AVPR2;ADRA2C;ADRA2A;ADORA2A;CRH;XCL1;ITGA5;AGXT;CX3CR1;MRLN;SFTPA2;P2RY6;CCL7;P2RY4;CCL5;P2RY2;CCL4;CCL3;CCL2;APLN;HCRTR1;OPN1MW3;NPFFR2;VIPR1;NPFFR1;VIPR2;RPS6KA2;RPS6KA1;OXER1;PTGDR;GPR37L1;TAS2R19;TIAM1;UTS2B;KEL;BTK;PTGFR;ADCYAP1R1;TAS2R42;GIPR;PDE1B;LHB;TAS2R46;LPAR2;PIK3R3;LPAR3;LPAR4;CRHR1;PIK3R6;CRHR2;PIK3R5;NLN;GNG10;PENK;NTSR1;NTSR2;TAS2R30;XCR1;PDE2A;NMBR;PPBP;GNG11;GNG13;LPAR5;NMU;PPP1R1B;TAS2R60;QRFP;CX3CL1;MC4R;PPP3CB;GNGT2;CCR9;FFAR4;GNRHR;CCR8;CCR7;FFAR2;CCR6;CCR5;HRAS;CCR3;CCR2;OXGR1;EDN2;AVPR1B;EDN3;GPBAR1;AVPR1A;RHOC;VAV1;RHOB;VAV2;GAL;ADRB3;CCKBR;NPY4R2;ARHGEF4;ARHGEF2;ARHGEF5;OPRD1;RAMP2;RAMP3;PTGER1;PTGER2;PTGER3;CXCR5;CXCR4;CXCR6;CAMKK1;GNAI2;CXCR1;NPW;CXCR3;NPY;CXCR2;KISS1R;CD55;GABBR2;GCG;XK;CAMK4;MC5R;F2RL1;SAA2;GHRL;RAMP1;F2RL3;NPY2R;RGS3;RGS1;CCRL2;ARHGEF40;RGS6;RGS7;WNT5A;NPY1R;PCP2;RGS9BP;APLNR;GNAZ;CALCB;C5AR2;C5AR1;ADRB2;NTS;MCHR1;RASGRP1;MCHR2;HCAR2;HCAR3;WNT6;GRK3;GRK2;GRK5;HRH3;HRH2;UBD;NLRP3;ECT2;TAC1;WNT1;WNT2;WNT3;WNT4;ARHGEF35;OPN4;OPN3;ARHGEF37;WNT3A;ARHGEF38;PTCH2;OPN5;PYY;GNAL;GNAS;GNB3;GNB5;GLP1R;GPSM1;CXCL6;CXCL9;CXCL8;PDE3B;ARHGEF10L;CXCL1;OXT;CXCL3;CXCL2;CXCL5;GRM1;LTB4R;GRM3;ADGRE2;GRM2;ADGRE5;GRM7;GRM6;MCF2L;PDE4B;PDE4A;TAS2R1;TAS2R3;TSHB;PTGIR;ARHGEF15;NPY5R;ARHGEF17;PDE4D;ARHGEF16;MMP3;ARHGEF19;PLA2G4A;SSTR1;SSTR2;WNT16;SSTR4;SSTR5;CAMK2B;RGS17;RGS14;GNA15;WNT11;GNG4;GNA12;S1PR1;MAPK1;S1PR3;TAS1R2;RGS22;TAS1R1;S1PR5;S1PR4;TAS1R3;CHGA;OPRK1;TSHR;KISS1;POMC;OPN1SW;PDE10A;ACKR4;RGS10;ACKR2;RGS12;ACKR1;PDE7B	Normal_only	Reactome_2022
Reactome_2022	Formation Of Cornified Envelope R-HSA-6809371	66/74	2.01116971537787e-18	7.20400992048353e-16	0	0	12.321830809660868	502.08768442674693	TCHH;PCSK6;LCE1A;TGM1;CASP14;LCE1B;CAPNS1;LCE5A;LIPN;LIPM;CAPN1;LIPK;PRSS8;TGM5;RPTN;SPINK6;SPINK5;KAZN;LCE1E;LCE1F;LCE1C;LCE1D;LCE2B;LCE2C;LCE2A;LCE6A;PKP2;DSG1;LORICRIN;PKP1;DSG2;DSG3;PKP3;SPINK9;DSG4;IVL;DSC3;FLG;SPRR2E;SPRR2F;SPRR3;CSTA;SPRR2G;KLK5;EVPL;KLK8;PPL;LCE2D;LCE3C;LCE3D;LCE3A;PERP;PI3;SPRR2A;SPRR2B;SPRR2D;ST14;CDSN;JUP;KLK13;KLK14;LCE3E;KLK12;LCE4A;SPRR1A;SPRR1B	Normal_only	Reactome_2022
Reactome_2022	GPCR Downstream Signaling R-HSA-388396	350/619	8.789111342090728e-17	2.6235497356140823e-14	0	0	1.9708342196516175	72.86259441862495	NPFFR2;VIPR1;TRIO;NPFFR1;VIPR2;SCT;ITSN1;RXFP4;GRPR;HTR4;RXFP2;GPR176;HTR6;HTR7;GNAT2;RPS6KA2;AKT3;RPS6KA1;C3AR1;PROK2;OXER1;GNAT1;PROK1;PTGDR;PRKCG;PRKCH;PRKCB;PRKCE;PRKCD;GPR37L1;PDYN;TAS2R19;TIAM1;UTS2B;ADCY9;PRKAR1A;BTK;PRKCQ;NGEF;PTGFR;ADCYAP1R1;TAS2R42;GIPR;PDE1B;LHB;FPR1;TAS2R46;LPAR2;PIK3R3;FPR3;LPAR3;FPR2;LPAR4;CRHR1;PIK3R6;CRHR2;PIK3R5;GNG10;GALR2;GALR1;PENK;NTSR1;PCDHA6;NTSR2;GPR17;GPR15;TAS2R30;XCR1;PDE2A;NMBR;PPBP;GNG11;GNG13;LPAR5;PNOC;NMU;PPP1R1B;GPR18;GPR27;TAS2R60;GPR20;ADM;PTH1R;QRFP;CX3CL1;MC4R;GPR132;PPP3CB;C1QTNF1;GNGT2;OPN1LW;CCR9;FFAR4;GNRHR;CCR8;GAST;CCR7;FFAR2;CCR6;CCR5;HRAS;CCR3;CCR2;OXGR1;GPR37;EDN2;AVPR1B;EDN3;GPBAR1;PTH2R;TACR1;AVPR1A;RHOC;VAV1;RHOB;VAV2;PLCB4;GAL;ADRB3;CCKBR;PTRH2;NPY4R2;ARHGEF4;ARHGEF2;RGR;PLCB2;ARHGEF5;OPRD1;CCL13;RAMP2;RAMP3;GPR45;PTGER1;PTGER2;PTAFR;PTGER3;ADCY4;CXCR5;CXCR4;ADCY2;CXCR6;ADCY8;ADCY7;CAMKK1;ADCY5;GNAI2;PROKR1;CXCR1;NPW;CXCR3;NPY;CXCR2;RHO;KISS1R;CCL19;GPHA2;CCL16;CCL25;P2RY13;GABBR2;CCL23;P2RY10;CCL21;CCL20;P2RY14;GPR55;SCTR;GPR4;GCG;GPR143;ADM2;CAMK4;MC5R;F2RL1;SAA2;GHRL;PKN1;CCL28;RAMP1;CCL27;PF4;F2RL3;CHRM2;DGKG;CHRM1;GPR68;CHRM4;CHRM5;NPY2R;CXCL13;CXCL16;CYSLTR2;RGS3;RGS1;ADORA3;ADORA1;KPNA2;ARHGEF40;RGS6;RGS7;LHCGR;NPY1R;PCP2;ADCYAP1;OBSCN;LTB4R2;MTNR1B;RGS9BP;APLNR;UTS2;DGKI;GNAZ;CALCB;SHC1;C5AR1;ITPR2;ABHD6;ITPR3;GPR84;ADRB2;NTS;MCHR1;RASGRP1;MCHR2;HCAR2;HCAR3;GRK3;GRK2;GRK5;TBXA2R;HRH2;UBD;CPAMD8;NLRP3;DRD1;ECT2;TAC1;DRD4;DRD5;ARHGEF35;OPN4;OPN3;HTR1E;ARHGEF37;HTR1F;ARHGEF38;HTR1B;OPN5;CXCL10;PYY;CXCL11;CXCL12;GNAL;RLN2;GNAS;GNB3;PLXNB1;GNB5;GLP1R;GPSM1;CXCL6;CXCL9;CXCL8;RASGRF2;PDE3B;HTR2C;ADRA1D;ARHGEF10L;CXCL1;OXT;HTR2A;TRH;ADRA1B;CXCL3;ADRA1A;CXCL2;PIK3CG;CXCL5;GRM1;LTB4R;GRM3;GRM2;GRM7;GRM6;MCF2L;PDE4B;PDE4A;TAS2R1;TAS2R3;INSL5;TSHB;PTGIR;PLEKHG2;ARHGEF15;NPY5R;PLEKHG5;ARHGEF17;PDE4D;AVPR2;ARHGEF16;MMP3;ARHGEF19;PLA2G4A;SSTR1;ADRA2C;SSTR2;ADRA2A;SSTR4;SSTR5;ADORA2A;CRH;XCL1;ITGA5;AGXT;CX3CR1;CAMK2B;RGS17;MRLN;SFTPA2;RGS14;P2RY6;GNA15;P2RY4;GNG4;CCL5;P2RY2;CCL4;GNA12;MAPK1;S1PR3;TAS1R2;RGS22;TAS1R1;S1PR5;S1PR4;TAS1R3;CHGA;OPRK1;TSHR;APLN;HCRTR1;KISS1;POMC;OPN1SW;PDE10A;OPN1MW3;ACKR4;RGS10;RGS12;PDE7B	Normal_only	Reactome_2022
Reactome_2022	Chemokine Receptors Bind Chemokines R-HSA-380108	50/56	2.671888541083792e-14	6.836217681544387e-12	0	0	12.423504433620582	388.276825034775	CXCL6;CXCL9;CXCL8;CXCL1;CXCL13;CXCL3;CXCL2;CX3CL1;CXCL5;CXCL16;CCRL2;CCR9;CCR8;CCR7;CCR6;CCR5;CCR3;CCR2;XCL1;CX3CR1;CCL13;CCL11;CXCR5;CXCR4;CXCR6;CCL7;CXCR1;CCL5;CXCR3;CCL4;CXCR2;CCL3;CCL2;CCL19;CCL17;CCL16;CCL25;CCL22;XCR1;CCL21;CCL20;PPBP;CXCL10;CXCL11;CXCL12;ACKR4;ACKR2;CCL28;CCL27;PF4	Normal_only	Reactome_2022
Reactome_2022	Peptide Ligand-Binding Receptors R-HSA-375276	129/196	3.7754953924209753e-13	8.452390309782457e-11	0	0	2.8841739837643265	82.50201197952597	NPFFR2;NPFFR1;NPY2R;RXFP4;GRPR;CXCL13;RXFP2;CXCL16;CCRL2;C3AR1;PROK2;PROK1;NPY1R;GPR37L1;PDYN;UTS2B;KEL;APLNR;UTS2;C5AR2;C5AR1;FPR1;FPR3;FPR2;NTS;MCHR1;MCHR2;NLN;GALR2;GALR1;PENK;NLRP3;TAC1;NTSR1;NTSR2;XCR1;NMBR;PPBP;CXCL10;PYY;CXCL11;CXCL12;NMU;PNOC;RLN2;CXCL6;CXCL9;CXCL8;CXCL1;ECE1;OXT;TRH;CXCL3;QRFP;CXCL2;CX3CL1;CXCL5;MC4R;CCR9;CCR8;CCR7;CCR6;CCR5;CCR3;INSL5;CCR2;EDN2;GPR37;AVPR1B;EDN3;NPY5R;AVPR2;AVPR1A;TACR1;SSTR1;SSTR2;SSTR4;SSTR5;GAL;CCKBR;NPY4R2;XCL1;AGXT;OPRD1;CX3CR1;CCL13;CCL11;MRLN;SFTPA2;CXCR5;CXCR4;CXCR6;PROKR1;CXCR1;NPW;CCL7;CXCR3;NPY;CCL5;CXCR2;CCL4;KISS1R;CCL3;CCL2;CCL19;CCL17;CCL16;CCL25;CCL23;CCL22;CCL21;CCL20;OPRK1;APLN;HCRTR1;KISS1;POMC;XK;MC5R;ACKR4;F2RL1;SAA2;GHRL;ACKR2;ACKR1;CCL28;CCL27;F2RL3;PF4	Normal_only	Reactome_2022
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	173/291	2.467323883194673e-11	4.909974527557399e-09	0	0	2.19896658325379	53.710422681023154	ITGA2B;ICAM2;ICAM3;PLOD3;ICAM4;ICAM5;PLOD1;F11R;LOXL1;ICAM1;LOXL2;COMP;CAPN8;CAPN9;EFEMP1;CAPNS1;CAPN6;CAPNS2;TNN;CAPN5;CAPN2;CAPN3;CAPN1;MUSK;ACTN1;COL23A1;P3H2;P3H1;ADAM10;PCOLCE;P3H3;HSPG2;BCAN;ADAM15;COL4A2;OPTC;COL4A4;ADAM12;COL4A3;COL4A6;COL4A5;ADAM8;PPIB;COL17A1;CD151;SDC3;PDGFB;HTRA1;LTBP4;FBLN1;KLK2;SMIM6;FBLN2;KLK7;FBLN5;SCUBE3;ADAMTS14;SCUBE1;ADAMTS18;SERPINH1;ELANE;CRTAP;TGFB1;FN1;GDF5;BMP7;COL1A1;BMP4;COL1A2;BMP1;COL5A1;P4HA1;P4HA2;P4HA3;COL5A2;ITGA11;COL9A1;COL20A1;SDC1;DDR1;COL18A1;BMP10;COLGALT2;ITGAM;ITGB4;LAMC3;ITGB2;CTSV;ITGAE;ITGAL;LMNB2;ADAMTS2;SH3PXD2A;CTSL;CTSK;MMP28;TIMP2;ITGAX;COL10A1;ITGB8;CTSG;ITGB7;TIMP1;ITGB6;TPSAB1;ADAMTS8;ERC2;ADAMTS9;COLGALT1;CTSB;MMP7;MMP1;MMP2;MMP3;BGN;MMP8;MMP9;MMP10;ASPN;DCN;MMP12;MMP11;CEACAM1;MMP14;COL2A1;MMP13;ITGAD;CEACAM6;COL6A2;MMP17;COL6A1;PECAM1;COL21A1;MMP19;COL6A3;ITGA7;COL6A6;COL6A5;ITGA5;MATN4;MATN3;DDR2;ITGA9;LAMA5;TNXB;PCOLCE2;TMPRSS6;LAMA1;COL11A1;NRXN1;CXXC1;LRP4;PLG;TTR;SPOCK3;TNNI3;JAM2;JAM3;COL26A1;LAMB3;CMA1;LUM;CAPN13;CAPN14;MFAP4;COL3A1;CAPN11;CAPN12;COL7A1;MFAP2;TLL2;TLL1;FMOD	Normal_only	Reactome_2022
Reactome_2022	G Alpha (I) Signaling Events R-HSA-418594	182/312	7.090495234151872e-11	1.2699076964366002e-08	0	0	2.1000888888888887	49.07840705880128	CHRM2;CHRM4;NPY2R;RXFP4;CXCL13;CXCL16;RGS3;GNAT2;RGS1;ADORA3;C3AR1;ADORA1;OXER1;GNAT1;KPNA2;RGS6;RGS7;PRKCG;PRKCD;NPY1R;GPR37L1;PDYN;TAS2R19;PCP2;ADCY9;PRKAR1A;MTNR1B;RGS9BP;APLNR;GNAZ;TAS2R42;PDE1B;C5AR1;FPR1;TAS2R46;LPAR2;ITPR2;FPR3;LPAR3;ITPR3;FPR2;MCHR1;MCHR2;HCAR2;HCAR3;GNG10;GRK2;GALR2;GALR1;UBD;PENK;DRD4;PCDHA6;GPR17;TAS2R30;OPN3;HTR1E;HTR1F;HTR1B;PPBP;GNG11;OPN5;GNG13;CXCL10;PYY;CXCL11;CXCL12;GNAL;LPAR5;NMU;PNOC;PPP1R1B;GNAS;GNB3;GNB5;GPR18;TAS2R60;GPSM1;CXCL6;CXCL9;CXCL8;CXCL1;CXCL3;CXCL2;CX3CL1;CXCL5;GRM3;GRM2;PPP3CB;GNGT2;GRM7;OPN1LW;GRM6;CCR9;PDE4B;CCR8;PDE4A;CCR7;TAS2R1;CCR6;CCR5;TAS2R3;CCR3;INSL5;CCR2;OXGR1;GPR37;NPY5R;PDE4D;PLA2G4A;SSTR1;ADRA2C;SSTR2;ADRA2A;SSTR4;SSTR5;GAL;PLCB4;NPY4R2;RGR;AGXT;PLCB2;OPRD1;CAMK2B;CX3CR1;CCL13;RGS17;RGS14;SFTPA2;PTGER3;ADCY4;CXCR5;CXCR4;ADCY2;CXCR6;ADCY8;ADCY7;CAMKK1;ADCY5;GNAI2;GNA15;CXCR1;NPW;P2RY4;GNG4;CXCR3;NPY;CCL5;CXCR2;CCL4;RHO;MAPK1;S1PR3;TAS1R2;CCL19;RGS22;TAS1R1;S1PR5;S1PR4;TAS1R3;CCL16;CCL25;GABBR2;P2RY13;CCL23;CCL21;CCL20;P2RY14;GPR55;OPRK1;APLN;POMC;OPN1SW;CAMK4;OPN1MW3;ACKR4;RGS10;SAA2;RGS12;CCL28;CCL27;PF4	Normal_only	Reactome_2022
