Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Cellular_Component_2023	Intracellular Membrane-Bounded Organelle (GO:0043231)	593/5175	2.4250292177638177e-29	8.414851385640448e-27	0	0	1.8817373516092049	123.9860259288482	CHIC2;ZNF292;GPATCH2;THYN1;HNRNPR;SMC5;SMC6;GABPB1;BACH1;GPATCH8;ELK4;ZXDA;TBK1;CNST;LSM11;SCP2;ZXDB;GPBP1;ANKFY1;PWWP2A;RNF111;ZNG1E;MEF2A;DDX17;PRKAB2;PRKCI;MEF2C;TSPYL1;CSNK2A1;RFX3;DDX10;ARMC8;DICER1;HCFC2;MED4;ZNF14;ABITRAM;ASF1A;URI1;ZNF395;XPA;BAZ2B;ZNF24;RNPC3;PRDM10;C9ORF72;RDH10;RAD21;HESX1;CDK17;NDFIP2;CDK19;HACE1;FZD7;NFATC3;UPF3B;NR1D2;UPF3A;BRAF;PHC3;SETX;FAM111A;TDP2;FAT1;HBP1;PLCH1;CDK12;EZH1;CEP57;PHF3;LIN54;DENND1B;SETD5;SMG1;SETD2;WDR48;ZNF44;OSBPL11;CLINT1;ING1;MED17;OSBPL10;SERPINA5;ING4;MED14;NIPBL;ING2;MED13;ING3;TIMP3;GPRASP2;GPRASP3;TIGD1;APPL1;UPF2;SS18;CNOT6L;TIGD4;SERPINB9;BAZ1A;ASH1L;TERF1;SIRT1;MED23;RNF168;KAT2B;GCFC2;VAMP7;RNF169;MTF2;RARB;ZNF236;PLCB1;ZNF597;C11ORF54;ZNF350;NFIX;SGMS1;CIPC;NSD3;WRN;GLRA2;BCLAF1;BTAF1;PLAGL1;NSD1;UBN2;SPOP;USP1;BRD8;MBNL3;BRD7;ZNF224;SRSF10;SF3B1;SRSF11;NKTR;MBD4;ZNF462;SLF1;TRMT10B;SLF2;CRBN;CSNK1A1;USP9X;STAT3;HIPK3;ZNF33A;RNF146;PSMC6;SNX16;NFIA;SNX14;ZNF217;MITD1;PKN2;CRLF3;YPEL5;EEF1AKMT2;ZNF451;PHLDB1;MRE11;CCNT2;CCNT1;NAB1;FMR1;UBP1;ZBTB20;YEATS4;PPP1CB;YY1;PPP1CC;PAPOLG;PAPOLA;SMARCAD1;ZNF326;KPNA4;KPNA5;ZNF445;MAP3K7;ZNF443;NUDT12;ZNF442;HMGN1;ZNF441;TLE4;CDKL5;ANKRD49;SWAP70;UBE2E3;DYRK1A;THOC1;UBE2E2;PRPF4B;VRK2;ZBTB33;CYB561A3;FBXO11;GOLGA8N;FOXP1;DMTF1;MSH3;KAT6B;KAT6A;ANKRD42;ANAPC4;PKP4;PHIP;ZNF799;STAMBP;ADNP;ZNF675;ZNF431;KMT2E;ZNF791;KMT2A;TNKS;KMT2C;CUL3;ITPR1;GPATCH2L;FOXO3;FOXO1;AK9;ORC4;BAG4;ATXN1;MED30;ATXN7;BTBD3;MED31;UBR5;ORC2;KHDC4;SMYD4;MCL1;TRAPPC2;OSBPL8;TIA1;ZBTB14;FANCL;FBXO38;STYX;FOXN3;EZHIP;COPS4;MOB1B;CNOT6;COPS5;TFCP2;CDK6;UBLCP1;RCAN2;ZNF536;LHX4;CNOT8;OGT;RAB5A;NFE2L2;RNF13;CALCOCO2;MCM9;LRRK2;FHL1;ZC3H8;NXT2;RESF1;DUSP11;LBH;AP1G1;PPP6R3;TLK1;ZNF644;YAF2;LBR;TRIM66;ACTR6;ATRX;DNMT3A;MSL2;MSL3;ZFP91;VPS37A;PTBP2;MSL1;PPM1B;SKIC3;ZNF638;ETF1;BIRC6;TOP1;NFAT5;HDAC2;TRIM52;UHRF2;VPS4B;ZBTB49;SRSF1;RNF38;PPM1D;CXXC5;MALT1;PRIMPOL;POLR2B;ZNF507;ZNF627;RSBN1L;TP53INP1;ZNF625;RBBP6;ZNF502;RNGTT;FOXJ3;TPRKB;FBXL17;CDC5L;PTPN12;PTPN13;PTPN14;TBX3;PNRC1;RAD52;RAB14;NT5C1B;KLF9;FSBP;EIF3E;LTV1;TCERG1;PANK3;CCNC;IKZF4;IKZF5;CCAR1;EPC1;CPNE3;CCNL2;ACAD11;CCDC93;SOX4;SKP1;SP110;THAP2;MARF1;CFDP1;XRN1;RRAGB;ZW10;UPRT;ZFPM2;ANKRA2;TSHZ1;MYCBP2;ZBTB1;DCUN1D2;GSKIP;HTATSF1;HNRNPLL;CDKN2AIP;GMCL1;ZNF709;SCFD1;SNX1;SPAST;MIER3;DHX36;ZNF700;N4BP1;SCAI;WWTR1;SLC10A7;INTS2;SIAH1;MICAL3;AMMECR1;SMARCA2;PTK2;POLA1;STAG1;ZBTB6;STAG2;FUBP3;FUBP1;ID2;GOLGB1;CREBRF;FBXL3;INTS6;RBAK;INTS8;ATR;TOP2B;ZCCHC12;AHCTF1;PYROXD1;MCUB;INTS10;RSF1;MEOX2;N4BP2L2;LARP1B;SCML2;ZMYM2;DHX15;UBXN7;CLIC2;NCOA1;NCOA2;ATMIN;NCOA3;PRMT3;PROX2;ZHX1;ZDHHC17;SORCS2;TOPORS;IL17RB;SLTM;HNRNPH1;SLU7;CSTB;SP100;MARCHF1;ZDHHC20;STX16;SATB1;XIAP;RAD54B;PURB;NFIL3;SERTAD2;HSF2;EXOSC8;TLDC2;MARCHF7;GPC4;APBB3;RANBP2;SUZ12;RYK;PTGES3;RANBP9;RANBP6;MLH3;ITCH;DPY19L2;CCNG2;NBR1;TRIP12;MPHOSPH8;DBR1;UBXN2B;UBXN2A;KDM1B;GEMIN2;JADE1;ARID4A;ARID4B;HAPSTR1;ACRBP;HELB;CWC22;PUS3;MORC3;PCID2;MORC4;MYH15;UBE4A;RSBN1;DPM1;ZNF91;CCNE2;TBL1XR1;PLAA;PPIG;DENND6A;STAM2;DDX6;DDX5;UBA7;YTHDC1;DDX1;UBA5;PDS5B;PDS5A;ZFP36L2;STK3;RPRD1A;PIBF1;BPTF;KLHDC2;PRNP;CBX5;UBE2B;MLKL;TGFB3;DENND4C;PHF11;CBX1;HOOK3;CLK4;SMAD5;BLTP1;SMAD7;SEPSECS;DLG1;JMY;UBA3;RSRP1;TCF4;BRWD1;BRWD3;PICALM;KDM5A;RBM27;CREBZF;USP37;THRB;DDX3X;RBM26;USP38;ABCD3;DDX46;USP34;LDB2;HMGB1;CHD2;MYSM1;SENP6;UFL1;FLCN;SENP7;CASP7;CALB1;TRPS1;GATAD1;TOPBP1;RBM5;USP47;NAA30;TGIF2;EED;AKTIP;RPS3A;IRAK4;SHROOM4;SENP1;LATS1;ELF1;LMBRD1;ELF2;DPPA4;TRAPPC6B;CAT;IRF2;SPOPL;LUC7L3;NCBP3;EAPP;CILK1;CREB5;USP15;RRN3;USP16;DCTN4;MAT2B;CLCN3;TBRG1;TNKS2;TDG;TGS1;VHL;MAPK6;ATF7IP;USP24;TCF7L2;NIPSNAP3A;KDM4C;ZFC3H1;U2SURP;WEE1;KATNBL1;BRMS1L;ACKR3;TAF7;SPRY2;ERCC5;NAA16;TAF5;PAXBP1;SSBP2;SSBP3;TAF1	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Nucleus (GO:0005634)	530/4487	9.924070938757911e-29	1.721826307874498e-26	0	0	1.909136789812013	123.10114876539744	ZNF292;GPATCH2;THYN1;HNRNPR;SMC5;SMC6;GABPB1;BACH1;GPATCH8;ELK4;ZXDA;LSM11;ZXDB;GPBP1;PWWP2A;RNF111;ZNG1E;MEF2A;DDX17;PRKAB2;PRKCI;MEF2C;TSPYL1;CSNK2A1;RFX3;DDX10;ARMC8;DICER1;HCFC2;MED4;ZNF14;ABITRAM;ASF1A;URI1;ZNF395;XPA;BAZ2B;ZNF24;RNPC3;PRDM10;C9ORF72;RDH10;RAD21;HESX1;CDK17;CDK19;HACE1;NFATC3;UPF3B;NR1D2;UPF3A;PHC3;SETX;FAM111A;TDP2;FAT1;HBP1;CDK12;EZH1;CEP57;PHF3;LIN54;SETD5;SMG1;SETD2;WDR48;ZNF44;ING1;MED17;ING4;MED14;NIPBL;ING2;MED13;ING3;TIMP3;GPRASP2;GPRASP3;TIGD1;APPL1;UPF2;SS18;CNOT6L;TIGD4;SERPINB9;BAZ1A;ASH1L;TERF1;SIRT1;MED23;RNF168;KAT2B;GCFC2;RNF169;MTF2;RARB;ZNF236;PLCB1;ZNF597;C11ORF54;ZNF350;NFIX;SGMS1;CIPC;NSD3;WRN;BCLAF1;NSD1;UBN2;SPOP;USP1;BRD8;MBNL3;BRD7;ZNF224;SRSF10;SF3B1;SRSF11;NKTR;MBD4;ZNF462;SLF1;TRMT10B;SLF2;CRBN;CSNK1A1;USP9X;STAT3;HIPK3;ZNF33A;RNF146;PSMC6;NFIA;ZNF217;PKN2;CRLF3;YPEL5;EEF1AKMT2;ZNF451;MRE11;CCNT2;CCNT1;NAB1;FMR1;UBP1;ZBTB20;YEATS4;PPP1CB;YY1;PPP1CC;PAPOLG;PAPOLA;SMARCAD1;ZNF326;KPNA4;KPNA5;ZNF445;MAP3K7;ZNF443;NUDT12;ZNF442;HMGN1;ZNF441;TLE4;CDKL5;ANKRD49;SWAP70;UBE2E3;DYRK1A;THOC1;UBE2E2;PRPF4B;VRK2;ZBTB33;FBXO11;FOXP1;DMTF1;MSH3;KAT6B;KAT6A;ANKRD42;ANAPC4;PKP4;PHIP;ZNF799;STAMBP;ADNP;ZNF675;ZNF431;KMT2E;ZNF791;KMT2A;TNKS;KMT2C;CUL3;GPATCH2L;FOXO3;FOXO1;AK9;ORC4;BAG4;ATXN1;MED30;ATXN7;BTBD3;MED31;UBR5;ORC2;KHDC4;SMYD4;MCL1;TRAPPC2;TIA1;ZBTB14;FANCL;FBXO38;STYX;FOXN3;EZHIP;COPS4;MOB1B;CNOT6;COPS5;TFCP2;CDK6;UBLCP1;RCAN2;ZNF536;LHX4;CNOT8;OGT;NFE2L2;CALCOCO2;MCM9;FHL1;ZC3H8;NXT2;RESF1;DUSP11;LBH;PPP6R3;TLK1;ZNF644;YAF2;LBR;TRIM66;ACTR6;ATRX;DNMT3A;MSL2;MSL3;ZFP91;PTBP2;MSL1;PPM1B;SKIC3;ZNF638;ETF1;BIRC6;TOP1;NFAT5;HDAC2;TRIM52;UHRF2;VPS4B;ZBTB49;SRSF1;RNF38;PPM1D;CXXC5;MALT1;PRIMPOL;POLR2B;ZNF507;ZNF627;RSBN1L;TP53INP1;ZNF625;RBBP6;ZNF502;RNGTT;FOXJ3;TPRKB;FBXL17;CDC5L;PTPN12;PTPN13;PTPN14;TBX3;PNRC1;RAD52;NT5C1B;KLF9;FSBP;EIF3E;LTV1;TCERG1;PANK3;CCNC;IKZF4;IKZF5;CCAR1;EPC1;CPNE3;CCNL2;ACAD11;SOX4;SKP1;SP110;THAP2;CFDP1;XRN1;RRAGB;ZW10;ZFPM2;ANKRA2;TSHZ1;MYCBP2;ZBTB1;DCUN1D2;GSKIP;HTATSF1;HNRNPLL;CDKN2AIP;GMCL1;ZNF709;SPAST;MIER3;DHX36;ZNF700;N4BP1;SCAI;WWTR1;INTS2;SIAH1;MICAL3;AMMECR1;SMARCA2;PTK2;POLA1;STAG1;ZBTB6;STAG2;FUBP3;FUBP1;ID2;CREBRF;FBXL3;INTS6;RBAK;INTS8;ATR;TOP2B;ZCCHC12;AHCTF1;PYROXD1;INTS10;RSF1;MEOX2;N4BP2L2;LARP1B;SCML2;ZMYM2;DHX15;UBXN7;CLIC2;NCOA1;NCOA2;ATMIN;NCOA3;PRMT3;PROX2;ZHX1;TOPORS;SLTM;HNRNPH1;SLU7;CSTB;SP100;SATB1;XIAP;RAD54B;PURB;NFIL3;SERTAD2;HSF2;EXOSC8;TLDC2;MARCHF7;GPC4;APBB3;RANBP2;SUZ12;RYK;PTGES3;RANBP9;RANBP6;MLH3;DPY19L2;CCNG2;TRIP12;MPHOSPH8;DBR1;UBXN2B;UBXN2A;KDM1B;GEMIN2;JADE1;ARID4A;ARID4B;HAPSTR1;ACRBP;HELB;CWC22;PUS3;MORC3;PCID2;MORC4;UBE4A;RSBN1;DPM1;ZNF91;CCNE2;TBL1XR1;PLAA;PPIG;DDX6;DDX5;UBA7;YTHDC1;DDX1;PDS5B;PDS5A;ZFP36L2;STK3;RPRD1A;PIBF1;BPTF;KLHDC2;CBX5;UBE2B;MLKL;PHF11;CBX1;CLK4;SMAD5;BLTP1;SMAD7;SEPSECS;DLG1;JMY;UBA3;RSRP1;TCF4;BRWD1;BRWD3;PICALM;KDM5A;RBM27;CREBZF;USP37;THRB;DDX3X;RBM26;USP38;DDX46;USP34;LDB2;HMGB1;CHD2;MYSM1;SENP6;UFL1;FLCN;SENP7;CASP7;CALB1;TRPS1;GATAD1;TOPBP1;RBM5;USP47;NAA30;TGIF2;EED;AKTIP;RPS3A;IRAK4;SENP1;LATS1;ELF1;ELF2;DPPA4;IRF2;SPOPL;LUC7L3;NCBP3;EAPP;CILK1;CREB5;USP15;RRN3;USP16;DCTN4;MAT2B;TBRG1;TNKS2;TDG;TGS1;VHL;MAPK6;ATF7IP;USP24;TCF7L2;NIPSNAP3A;KDM4C;ZFC3H1;U2SURP;WEE1;KATNBL1;BRMS1L;TAF7;SPRY2;ERCC5;NAA16;TAF5;PAXBP1;SSBP2;SSBP3;TAF1	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	cullin-RING Ubiquitin Ligase Complex (GO:0031461)	33/174	1.2713454221232637e-06	0.00014705228715892416	0	0	2.8307709603979876	38.42894669366268	CUL5;CUL3;DCAF4L2;KLHL13;FBXL20;AMN1;DCAF16;DCAF17;CDC23;FBXO4;SPOP;FBXO3;FEM1C;ZSWIM6;DCAF10;DCAF12;FBXO9;SKP1;PCMTD1;KLHDC2;USP47;FBXO38;FBXO39;GLMN;KLHDC1;FBXL17;KLHL2;KLHL3;ANAPC4;SPOPL;FBXL3;FBXL5;KBTBD7	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Nuclear Membrane (GO:0031965)	36/227	2.929481168884929e-05	0.0025413249140076	0	0	2.2779962647392074	23.77795311414569	AHCTF1;MINDY3;GTF3C3;TNKS;ZBTB1;TXLNG;YEATS4;AK9;TMEM168;SPAST;CLMN;RB1CC1;EPC1;KPNA4;ZNF224;LBR;SCAI;ARL6IP6;NDC1;RANBP2;KLHDC2;PRNP;LYPLA1;ZNF383;PHF11;ATP11B;SLC30A1;LEMD3;SIRT1;PUM2;SENP1;PLPP6;DPY19L2;CNEP1R1;UNC50;EPHA3	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	H4 Histone Acetyltransferase Complex (GO:1902562)	7/15	6.0376173943111914e-05	0.0041901064716519	0	0	10.480113636363637	101.81342366856428	PHF20L1;KANSL2;MSL2;MSL3;KANSL1L;OGT;MSL1	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Chromosome (GO:0005694)	27/164	0.00014759139451832337	0.0085357023163097	0	0	2.374817518248175	20.94841482374991	SETD2;FMR1;C1ORF131;NOL8;SMC5;SMC6;PDS5B;HMGB1;PDS5A;WRN;RAD21;EXOSC8;TRAPPC13;TOPBP1;ZNF202;KRR1;XNDC1N;BAZ1A;SPIDR;PUM3;SETX;RBL2;STAG1;STAG2;MPHOSPH10;TOP1;ATR	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Heterochromatin (GO:0000792)	12/49	0.0002742429882960978	0.0135946167055351	0	0	3.8910467470728056	31.912404432975652	CBX5;UHRF2;ATRX;ORC2;TASOR;CBX1;SMARCAD1;BAZ1A;SIRT1;MPHOSPH8;EZH1;CENPC	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Sin3 Complex (GO:0016580)	7/21	0.0007216570515169498	0.0278238885418201	0	0	5.986688311688312	43.30746695107389	HDAC2;ING2;CSNK2A1;BRMS1L;ARID4B;ING1;OGT	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	Sin3-type Complex (GO:0070822)	7/21	0.0007216570515169498	0.0278238885418201	0	0	5.986688311688312	43.30746695107389	HDAC2;ING2;CSNK2A1;BRMS1L;ARID4B;ING1;OGT	Tumour_only	GO_Cellular_Component_2023
GO_Cellular_Component_2023	ESC/E(Z) Complex (GO:0035098)	4/7	0.0010317066874896	0.0358002220558914	0	0	15.942968243681142	109.63247271469696	SUZ12;HDAC2;EED;EZH1	Tumour_only	GO_Cellular_Component_2023
