Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
GO_Molecular_Function_2023	Ubiquitin-Protein Transferase Activity (GO:0004842)	66/412	1.1434497010080664e-08	7.878368439945577e-06	0	0	2.332165034561088	42.6474414118577	RNF13;LTN1;UBE3A;FBXO21;CCAR1;RPGR;CDC23;RNF19A;FBXO4;FBXO3;RNF111;FBXO9;HERC6;SHPRH;NHLRC3;UBE2E3;MSL2;RC3H1;UBE2E2;ZFP91;FBXO11;TOPORS;PJA2;RNF168;RNF169;HECW2;ANAPC4;BIRC6;TRIM52;MARCHF1;CUL5;UHRF2;UBA7;CUL3;RNF38;MYCBP2;UBR3;XIAP;UBR2;UBR1;KLHL13;MALT1;RNFT1;HECTD1;RNF139;HECTD2;RNF217;UBR5;RBBP6;VHL;RFFL;MARCHF5;HACE1;ANKIB1;UBE2B;FANCL;SIAH1;WWP1;RNF146;ITCH;RNF103;FBXL3;TRIP12;FBXL5;TRIM34;TAF1	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Ubiquitin-Like Protein Transferase Activity (GO:0019787)	45/240	2.3002773968798143e-08	7.924455632250959e-06	0	0	2.8051828331455497	49.33657671932568	CUL5;UBA7;RNF13;UHRF2;CUL3;XIAP;UBR3;UBE3A;KLHL13;FBXO21;MALT1;UFL1;CDC23;RNF139;RNF217;FBXO4;FBXO3;RBBP6;VHL;FBXO9;RANBP2;ATG3;SHPRH;HACE1;UBE2B;FANCL;UBE2E3;SIAH1;RC3H1;WWP1;UBE2E2;ZFP91;FBXO11;TOPORS;PJA2;RNF168;RNF146;ITCH;RNF103;RNF169;UBA3;ANAPC4;FBXL3;BIRC6;FBXL5	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	DNA Binding (GO:0003677)	110/846	4.1132709433809113e-08	9.446812266631491e-06	0	0	1.8426730658679011	31.337349808461145	ZNF451;MRE11;CCNT1;ZNF292;FMR1;JMJD1C;ARID4A;SMC5;SMC6;YY1;ELK4;ZNF84;SMARCAD1;HMGN1;MEF2A;MORC3;PCID2;RFX3;ZBTB33;XRN1;MSH3;KAT6A;ZNF675;ZNF395;TSHZ1;XPA;RTF1;PDS5B;ZNF24;FOXO3;DDX60;FOXO1;CDKN2AIP;DHX36;HESX1;BPTF;ZBTB14;CBX1;SMARCA2;SETX;FAM111A;POLA1;TFCP2;FUBP3;TDP2;SP4;FUBP1;TCF4;LHX4;EZH1;NFE2L2;CREBZF;KDM5A;DDX3X;WDR48;THRB;MCM9;HMGB1;CHD2;MEOX2;ING2;ZMYM6;LRRFIP1;YAF2;TIGD1;RBM5;TIGD4;ATRX;DNMT3A;MSL3;BAZ1A;TERF1;TOPORS;SLTM;ZNF638;IRF2;MTF2;RARB;TOP1;GTF3C3;HDAC2;ZNF350;SATB1;ZBTB49;CXXC5;ZNF8;NR2C2;CENPC;ZNF7;BCLAF3;PURB;WRN;BCLAF1;PLAGL1;TDG;ZNF224;ZNF223;SUZ12;MBD4;TCF7L2;STAT3;FOXJ3;CDC5L;TBX3;RAD52;POLR3F;ERCC5;CRLF3;SSBP2;TAF1	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Methylated Histone Binding (GO:0035064)	19/71	1.198696703094525e-06	0.0002064755071080319	0	0	4.400158578332662	59.99297505811021	KDM5A;KMT2E;SUZ12;MORC3;MORC4;CBX5;FMR1;CBX1;MSL3;ING1;ING4;ING2;ING3;MTF2;PWWP2A;TAF7;MPHOSPH8;BPTF;TAF1	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Nuclear Thyroid Hormone Receptor Binding (GO:0046966)	11/27	2.335684927429895e-06	0.0002659182865311636	0	0	8.252237955729166	107.00846440874328	MED13;MED30;NSD1;NCOA3;JMJD1C;TAF7;GTF2H1;TRIP12;BRD8;MED4;MED17	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	139/1225	2.388191534284856e-06	0.0002659182865311636	0	0	1.5787273198141638	20.43658435857023	ZNF331;UBP1;BACH1;IKZF4;CCAR1;IKZF5;YY1;ELK4;ZNF84;ZNF445;ZNF202;ZNF565;ZNF443;ZNF564;SOX4;ZNF442;MEF2A;ZNF17;ZNF441;ZNF562;ZNF561;MEF2C;ZNF680;ZNF160;RFX3;ZNF14;FOXP1;ZNF91;DMTF1;RFX7;ZNF799;ADNP;ZNF675;ZNF431;ZNF430;ZNF397;ZNF395;ZNF791;MYNN;ZNF24;FOXO3;ZNF26;FOXO1;CDKN2AIP;ZNF709;DHX36;HESX1;ZNF548;ZNF700;ZKSCAN4;ZNF420;BPTF;ZNF264;ZNF143;ZNF383;NFATC3;NR1D2;ZBTB11;SMAD5;TFCP2;ZFP62;SP4;ZNF30;ZNF658;CREBRF;ZNF536;TCF4;HBP1;LHX4;ZNF776;RBAK;ZNF136;NFE2L2;ZNF770;ZNF251;THRB;ZNF44;CHD2;MEOX2;TRPS1;ZNF41;ZNF644;LRRFIP1;ZNF765;ZNF121;TGIF2;DNMT3A;PROX2;ZNF75D;RBL2;ELF1;ZNF519;IRF2;RARB;TOP1;ZNF236;ZNF597;NFAT5;NFIX;ZNF350;SATB1;ZNF518A;ZNF8;NR2C2;ZNF7;PURB;ZFP14;NFIL3;PLAGL1;ZNF627;HSF2;NSD1;ZNF506;ZNF625;ZNF624;ZNF227;ZNF623;ZNF502;ZNF224;ZNF586;ZNF740;ZNF860;ZNF286A;ZNF100;TCF7L2;ZNF184;ZNF182;STAT3;FOXJ3;CDC5L;TBX3;ZNF33A;NFIA;ZNF615;KLF9;ZNF217;ZNF333;TAF1;ZNF354B	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Methylation-Dependent Protein Binding (GO:0140034)	18/68	2.701637163596728e-06	0.0002659182865311636	0	0	4.33294964028777	55.555575072307825	KDM5A;KMT2E;SUZ12;MORC3;MORC4;CBX5;FMR1;CBX1;MSL3;ING1;ING4;PHF20L1;ING2;ING3;MTF2;PWWP2A;MPHOSPH8;BPTF	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Activity (GO:0061659)	47/319	1.4438418264538555e-05	0.0011043308524433	0	0	2.0943799019607843	23.34315826913585	ZNF451;MARCHF1;TRIM52;RNF13;UHRF2;CUL3;MYCBP2;RNF38;LTN1;XIAP;UBR3;UBE3A;UBR2;UBR1;CCAR1;RPGR;RNFT1;UFL1;HECTD1;RNF139;HECTD2;RNF19A;RNF217;UBR5;RBBP6;RFFL;RNF111;HERC6;MARCHF5;RANBP2;SHPRH;HACE1;ANKIB1;NHLRC3;FANCL;SIAH1;MSL2;RC3H1;WWP1;TOPORS;PJA2;RNF146;ITCH;RNF103;HECW2;TRIP12;TRIM34	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Activity (GO:0061630)	46/311	1.602802398321261e-05	0.0011043308524433	0	0	2.103372594371048	23.223698318699196	MARCHF1;TRIM52;RNF13;UHRF2;CUL3;MYCBP2;RNF38;LTN1;XIAP;UBR3;UBE3A;UBR2;UBR1;CCAR1;RPGR;RNFT1;HECTD1;RNF139;HECTD2;RNF19A;RNF217;UBR5;RBBP6;RFFL;RNF111;HERC6;MARCHF5;SHPRH;HACE1;ANKIB1;NHLRC3;FANCL;SIAH1;MSL2;RC3H1;WWP1;UBE4A;TOPORS;PJA2;RNF168;RNF146;ITCH;RNF103;HECW2;TRIP12;TRIM34	Tumour_only	GO_Molecular_Function_2023
GO_Molecular_Function_2023	RNA Binding (GO:0003723)	152/1411	1.4330526844962593e-05	0.0011043308524433	0	0	1.4880604450821469	16.596514555984566	DMGDH;EIF4A2;OTUD4;TCERG1;DBR1;FMR1;SPPL2B;C1ORF131;HNRNPR;THUMPD1;GPATCH8;CCAR1;YY1;PPP1CC;PNN;CWC22;CPNE3;ZNF326;DENR;DDX17;PNISR;PCID2;TYW5;SCAF11;RC3H1;DDX10;WDR75;PRPF4B;DICER1;THOC2;CDC40;FAM133B;RBMXL1;XRN1;ZC3H11A;UNC50;SRSF3;PPIG;SREK1;SRSF6;SRSF8;DDX6;MACF1;DDX5;YTHDC1;KMT2C;DDX1;YTHDC2;IREB2;RTF1;DDX60;C1ORF52;HNRNPLL;HTATSF1;ZFP36L2;BAG4;DHX36;TASOR;KHDC4;N4BP1;ZC3H15;PRPF38B;TIA1;ZRANB2;MTERF4;UPF3B;UPF3A;ANKHD1;PUM3;PUM2;SETX;SEPSECS;AGO3;FUBP3;AGO4;FUBP1;GOLGB1;MPHOSPH10;DHX29;LSM14A;EIF4G2;RIGI;RBM27;RBM25;SMG1;TUT7;DDX3X;RBM26;DDX46;TUT4;ZC3H8;HMGB1;CHD2;TENT4B;MTO1;LARP1B;RPGR;IFIH1;DUSP11;CASP7;ZC3H7A;DHX15;LRRFIP1;LBR;RBM5;SECISBP2L;NBPF10;NSUN6;RPS3A;TENT5A;DARS1;PTBP2;NEMF;SLTM;HNRNPH1;ZNF638;FRG1;LUC7L3;ETF1;NCBP3;TOP1;DCP2;FYTTD1;CSTB;HDAC2;STAU2;SRSF1;NOL8;PURB;BCLAF1;POLR2B;RBBP6;MBNL3;SRSF10;CFAP20;SF3B1;SRSF11;SRSF12;RBM39;TRMT10B;NOP58;KRR1;STAT3;CDC5L;RSRC2;U2SURP;KTN1;EIF3H;PKN2;EIF3E;SNTB2;METAP2	Tumour_only	GO_Molecular_Function_2023
