Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	bucket	library
Reactome_2022	Gene Expression (Transcription) R-HSA-74160	204/1449	6.693173128889954e-18	9.055863243388108e-15	0	0	2.099496721061461	83.02552917731582	CCNC;LSM11;CDC23;PSMD5;EPC1;ZNF169;RNF111;SKP1;ZNF17;MEF2C;PRKAB2;SMARCC2;ZNF160;DICER1;MED4;ZNF14;CDC40;RRAGB;ZC3H11A;CTR9;RTF1;ZNF26;ZNF709;ZNF700;WWTR1;ZNF143;ZNF383;INTS2;UPF3B;NR1D2;SMARCA2;PHC3;AGO3;AGO4;ZNF30;INTS6;CDK12;INTS8;ZNF136;INTS10;ZNF45;MED17;MED14;MED13;ING3;CASP10;ZNF41;RSPO3;ZNF248;ZNF124;NDC1;CNOT6L;SIRT1;MED23;KAT2B;AEBP2;MTF2;RARB;ZNF235;SLU7;ZNF597;FYTTD1;NFIX;ZNF350;PPP2CB;WRN;ZFP14;PLAGL1;RICTOR;ZNF227;BRD7;TAF9B;ZNF224;SF3B1;SRSF11;ZNF223;ZNF586;ZNF100;RANBP2;SUZ12;MBD4;USP9X;WWP1;ZNF77;GTF2H1;ZNF33A;TJP1;ITCH;PSMC6;NFIA;CCNG2;LAMTOR3;ZNF333;ZNF354B;ZNF331;CCNT2;MRE11;CCNT1;YEATS4;ARID4B;YY1;IPO8;SESN3;PAPOLA;ZNF445;ARID2;ZNF202;ZNF565;ZNF443;ZNF564;ZNF442;ZNF441;ZNF562;ZNF561;ZNF680;THOC1;LIFR;THOC2;KCTD6;CCNE2;TBL1XR1;KAT6A;ZNF559;ANAPC4;SRSF3;ZNF558;ZNF799;SRSF6;ZNF675;ZNF431;FKBP5;KMT2E;ZNF430;ZNF791;KMT2A;KMT2C;FOXO3;FOXO1;NUP160;MED30;MED31;ZNF548;ZKSCAN4;RPRD1A;ZNF785;ZNF420;CBX5;SMAD7;CNOT6;CDK6;JMY;ZNF658;ZNF776;CNOT8;ZNF770;THRB;ZC3H8;LDB2;AFF4;ZNF529;TOPBP1;YAF2;LBR;ZNF641;TGIF2;EED;DNMT3A;ZNF75D;ZNF75A;RBL2;ELF2;ZNF519;NUP54;BDP1;NUP58;GTF3C3;HDAC2;RRN3;SRSF1;PPM1D;NR2C2;POLR2B;ZNF627;TDG;ZNF506;TP53INP1;ZNF625;ZNF624;NUP43;RFFL;ZNF740;ZNF860;ZNF286A;TCF7L2;RNGTT;ZNF184;MGA;ZNF180;TNRC6C;ZNF615;POLR3F;TAF7;TAF5;TAF1	Tumour_only	Reactome_2022
Reactome_2022	RNA Polymerase II Transcription R-HSA-73857	184/1312	5.205402571366532e-16	3.5214548395294577e-13	0	0	2.073414401898191	72.96690388833072	ZNF331;CCNT2;MRE11;CCNT1;CCNC;YEATS4;YY1;LSM11;CDC23;SESN3;PSMD5;PAPOLA;EPC1;ZNF445;ARID2;ZNF202;ZNF169;ZNF565;ZNF443;RNF111;ZNF564;ZNF442;SKP1;ZNF17;ZNF441;ZNF562;ZNF561;MEF2C;PRKAB2;ZNF680;SMARCC2;ZNF160;THOC1;LIFR;THOC2;MED4;ZNF14;CDC40;KCTD6;CCNE2;RRAGB;TBL1XR1;ZC3H11A;KAT6A;ZNF559;ANAPC4;SRSF3;ZNF558;ZNF799;SRSF6;ZNF675;ZNF431;FKBP5;KMT2E;ZNF430;ZNF791;KMT2A;KMT2C;CTR9;RTF1;FOXO3;ZNF26;FOXO1;ZNF709;MED30;MED31;ZNF548;ZNF700;ZKSCAN4;RPRD1A;ZNF785;ZNF420;WWTR1;ZNF143;ZNF383;CBX5;INTS2;UPF3B;NR1D2;SMARCA2;PHC3;SMAD7;CNOT6;CDK6;AGO3;AGO4;ZNF30;JMY;ZNF658;INTS6;CDK12;ZNF776;CNOT8;INTS8;ZNF136;ZNF770;THRB;INTS10;ZC3H8;ZNF45;LDB2;AFF4;MED17;MED14;MED13;ING3;CASP10;ZNF529;ZNF41;RSPO3;ZNF248;TOPBP1;YAF2;LBR;ZNF641;ZNF124;CNOT6L;TGIF2;EED;ZNF75D;SIRT1;ZNF75A;MED23;RBL2;KAT2B;ELF2;ZNF519;RARB;ZNF235;SLU7;ZNF597;FYTTD1;HDAC2;ZNF350;SRSF1;PPM1D;NR2C2;PPP2CB;WRN;ZFP14;POLR2B;PLAGL1;ZNF627;ZNF506;TP53INP1;ZNF625;ZNF624;RICTOR;ZNF227;BRD7;TAF9B;RFFL;ZNF224;SRSF11;ZNF223;ZNF586;ZNF740;ZNF860;ZNF286A;ZNF100;SUZ12;MBD4;TCF7L2;RNGTT;ZNF184;USP9X;MGA;ZNF180;WWP1;ZNF77;GTF2H1;ZNF33A;TNRC6C;TJP1;ITCH;PSMC6;CCNG2;ZNF615;TAF7;TAF5;LAMTOR3;ZNF333;TAF1;ZNF354B	Tumour_only	Reactome_2022
Reactome_2022	Generic Transcription Pathway R-HSA-212436	160/1190	1.8260495680554856e-12	8.23548355193024e-10	0	0	1.9513233142705144	52.7420567517624	ZNF331;CCNT2;MRE11;CCNT1;CCNC;YEATS4;YY1;CDC23;SESN3;PSMD5;EPC1;ZNF445;ARID2;ZNF202;ZNF169;ZNF565;ZNF443;RNF111;ZNF564;ZNF442;SKP1;ZNF17;ZNF441;ZNF562;ZNF561;MEF2C;PRKAB2;ZNF680;SMARCC2;ZNF160;LIFR;MED4;ZNF14;KCTD6;CCNE2;RRAGB;TBL1XR1;KAT6A;ZNF559;ANAPC4;ZNF558;ZNF799;ZNF675;ZNF431;FKBP5;KMT2E;ZNF430;ZNF791;KMT2A;KMT2C;FOXO3;ZNF26;FOXO1;ZNF709;MED30;MED31;ZNF548;ZNF700;ZKSCAN4;ZNF785;ZNF420;WWTR1;ZNF383;CBX5;NR1D2;SMARCA2;PHC3;SMAD7;CNOT6;CDK6;AGO3;AGO4;ZNF30;JMY;ZNF658;CDK12;ZNF776;CNOT8;ZNF136;ZNF770;THRB;ZNF45;LDB2;MED17;MED14;MED13;ING3;CASP10;ZNF529;ZNF41;RSPO3;ZNF248;TOPBP1;YAF2;LBR;ZNF641;ZNF124;CNOT6L;TGIF2;EED;ZNF75D;SIRT1;ZNF75A;MED23;RBL2;KAT2B;ELF2;ZNF519;RARB;ZNF235;ZNF597;HDAC2;ZNF350;PPM1D;NR2C2;PPP2CB;WRN;ZFP14;POLR2B;PLAGL1;ZNF627;ZNF506;TP53INP1;ZNF625;ZNF624;RICTOR;ZNF227;BRD7;TAF9B;RFFL;ZNF224;ZNF223;ZNF586;ZNF740;ZNF860;ZNF286A;ZNF100;SUZ12;MBD4;TCF7L2;ZNF184;USP9X;MGA;ZNF180;WWP1;ZNF77;GTF2H1;ZNF33A;TNRC6C;TJP1;ITCH;PSMC6;CCNG2;ZNF615;TAF7;TAF5;LAMTOR3;ZNF333;TAF1;ZNF354B	Tumour_only	Reactome_2022
Reactome_2022	Chromatin Modifying Enzymes R-HSA-3247509	46/238	6.017551987466319e-09	2.0354369597604822e-06	0	0	2.914744337108594	55.17198683284857	KMT2E;KDM5A;SETD2;HDAC2;KMT2A;KDM1B;KMT2C;JADE1;ARID4A;ARID4B;YEATS4;PHF21A;ING4;NSD3;ING3;ATXN7;NSD1;MBIP;EPC1;SUPT20H;BRD8;ARID2;NCOA1;SUZ12;ATF7IP;NCOA2;SMARCC2;KDM4C;EED;PRMT3;DNMT3A;MSL2;MSL3;ASH1L;SMARCA2;MSL1;KAT2B;AEBP2;KAT6B;TBL1XR1;KANSL2;KAT6A;BRMS1L;TADA1;BRWD1;OGT	Tumour_only	Reactome_2022
Reactome_2022	SUMOylation R-HSA-2990846	37/174	1.3254091137927684e-08	3.586557061923232e-06	0	0	3.275931744573887	59.421993459227224	TOP2B;DDX5;ZNF131;HDAC2;SP100;THRB;ZNF350;UHRF2;SATB1;SMC5;SMC6;NUP160;WRN;ING3;RAD21;TDG;NUP43;VHL;DDX17;NCOA1;NDC1;RANBP2;SUZ12;NCOA2;NOP58;CBX5;DNMT3A;PHC3;TOPORS;SENP1;RNF168;RAD52;STAG2;SP3;NUP54;TOP1;NUP58	Tumour_only	Reactome_2022
Reactome_2022	SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232	36/168	1.6784300083787675e-08	3.784859668894121e-06	0	0	3.306840743637567	59.2017809058212	TOP2B;DDX5;ZNF131;HDAC2;SP100;THRB;ZNF350;UHRF2;SATB1;SMC5;SMC6;NUP160;WRN;ING3;RAD21;TDG;NUP43;VHL;DDX17;NCOA1;NDC1;RANBP2;SUZ12;NCOA2;NOP58;CBX5;DNMT3A;PHC3;TOPORS;RNF168;RAD52;STAG2;SP3;NUP54;TOP1;NUP58	Tumour_only	Reactome_2022
Reactome_2022	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	52/307	6.5437443127841e-08	1.2648122935995552e-05	0	0	2.4822506393861894	41.061815081282994	LTN1;UBE3A;FBXO21;NPEPPS;UFL1;CDC23;PSMD5;RNF19A;FBXO4;RNF111;FBXO9;HERC6;SKP1;UBE2E3;UBE2E2;UBE4A;FBXO11;KCTD6;PJA2;HECW2;ANAPC4;CUL5;UBA7;CUL3;UBA5;UBR2;KLHL13;UBR1;ASB16;FBXL20;HECTD1;HECTD2;RNF217;RBBP6;VHL;HACE1;UBE2B;SIAH1;GLMN;KLHL2;WWP1;LNPEP;KLHL3;ITCH;PSMC6;ASB8;UBA3;TPP2;FBXL3;TRIP12;FBXL5;KBTBD7	Tumour_only	Reactome_2022
Reactome_2022	Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	57/378	8.732012633529042e-07	0.00014768016366455993	0	0	2.1608731104559995	30.146556344479052	LTN1;UBE3A;HMGB1;FBXO21;NPEPPS;UFL1;CDC23;PSMD5;RNF19A;FBXO4;RNF111;FBXO9;HERC6;SKP1;UBE2E3;UBE2E2;UBE4A;ATG14;FBXO11;KCTD6;PJA2;HECW2;ANAPC4;PIK3C3;TLR2;CUL5;UBA7;CUL3;UBA5;UBR2;KLHL13;UBR1;ASB16;FBXL20;HECTD1;HECTD2;RNF217;RBBP6;VHL;SEC24B;HACE1;UBE2B;SIAH1;GLMN;KLHL2;WWP1;LNPEP;KLHL3;ITCH;PSMC6;ASB8;UBA3;TPP2;FBXL3;TRIP12;FBXL5;KBTBD7	Tumour_only	Reactome_2022
Reactome_2022	Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	84/660	3.966560141202993e-06	0.0005963062078941833	0	0	1.7819976076555024	22.163793585174368	NCKAP1;CPNE8;AHCTF1;DOCK4;ABCD3;FAM13B;CCP110;MTR;OSBPL11;ARHGAP6;PPP1CB;PPP1CC;ARHGAP42;SLK;DBT;ANKFY1;LBR;NCOA2;ARHGEF10;ARHGEF12;SWAP70;NCOA3;VRK2;FAM91A1;LEMD3;SENP1;TIAM2;ARHGEF9;PIK3CA;ZW10;SPATA13;PHIP;PKP4;PIK3C3;PDE5A;PPP1R12B;SOS1;ARHGEF7;DOCK2;SOS2;STAM2;MAD1L1;TMEM87A;DYNC1I2;BLTP3B;GARRE1;CUL3;MOSPD2;ADD3;FAM169A;NUP160;ARHGAP12;FGD4;PPP2CB;SCFD1;RHOT1;PGRMC2;MFN1;NHS;SLITRK5;RBBP6;NUP43;VHL;SCAI;CLASP1;CLASP2;RANBP2;PRPF38B;KDM4C;KIDINS220;USP9X;TXNL1;PTPN13;MYO9A;PTK2;KTN1;WDR11;COPS4;TMEM59;TAOK1;FILIP1;PKN2;RAB9B;PICALM	Tumour_only	Reactome_2022
Reactome_2022	RHO GTPase Cycle R-HSA-9012999	61/441	6.555724172341298e-06	0.0008869894805177777	0	0	1.952350003541829	23.30163303891892	NCKAP1;CPNE8;DOCK4;ABCD3;FAM13B;CCP110;MTR;OSBPL11;ARHGAP6;ARHGAP42;SLK;DBT;ANKFY1;LBR;ARHGEF10;ARHGEF12;SWAP70;NCOA3;VRK2;FAM91A1;LEMD3;SENP1;TIAM2;ARHGEF9;PIK3CA;SPATA13;PHIP;PKP4;PDE5A;SOS1;ARHGEF7;DOCK2;SOS2;STAM2;TMEM87A;BLTP3B;GARRE1;CUL3;MOSPD2;ADD3;FAM169A;ARHGAP12;FGD4;SCFD1;PGRMC2;NHS;SLITRK5;RBBP6;PRPF38B;KIDINS220;USP9X;TXNL1;PTPN13;MYO9A;KTN1;WDR11;COPS4;TMEM59;FILIP1;PKN2;PICALM	Tumour_only	Reactome_2022
