Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
A1BG	-0.276692307692305	0.284473225246335	2.3988433497537	2.2923629798091e-143	NS	UP	False	True	-2.675535657446005
A1CF	0.639584615384617	0.346115672818841	0.292100985221681	0.251848780322184	NS	NS	False	False	0.347483630162936
A2M	0.514849999999996	0.363309799000181	-2.03238226600985	3.36314061399525e-37	NS	DOWN	False	True	2.547232266009846
A2ML1	0.511880769230769	0.745817997503338	-8.46530147783251	6.89682452088732e-191	NS	DOWN	False	True	8.97718224706328
A3GALT2	0.937130769230771	0.235293636533658	1.07824679802955	0.0002651445854143	NS	UP	False	True	-0.14111602879877905
A4GALT	0.4718	0.147105461220059	0.918825123152708	2.5310078708870297e-33	NS	NS	False	False	-0.44702512315270804
A4GNT	2.2391076923077	0.0054370902303387	1.74174285714285	9.23507624901773e-10	NS	UP	False	True	0.49736483516484986
AAAS	0.206046153846153	0.213735234270035	0.362679310344827	1.09273864932263e-27	NS	NS	False	False	-0.156633156498674
AACS	0.456215384615385	0.146777117364921	-2.10181034482758	1.5057655638383502e-167	NS	DOWN	False	True	2.558025729442965
AADAC	1.29328846153847	0.267603544407755	-7.43653152709359	5.07100382698584e-104	NS	DOWN	False	True	8.729819988632059
AADACL2	0.260346153846157	0.874657582323931	-12.7635492610837	6.56997306768539e-213	NS	DOWN	False	True	13.023895414929857
AADACL3	-0.567288461538462	0.382259705208913	-4.59366256157635	1.1557416278521199e-34	NS	DOWN	False	True	4.026374100037888
AADACL4	-0.339115384615383	0.443019272455931	3.31684039408866	7.37482087868759e-27	NS	UP	False	True	-3.655955778704043
AADAT	2.56369615384615	0.0001360206005538	3.15067438423646	2.56884931309625e-175	UP	UP	True	True	-0.5869782303903102
AAGAB	0.680996153846153	0.0170756183819143	0.83060344827586	1.99254924602062e-88	NS	NS	False	False	-0.149607294429707
AAK1	0.606826923076923	0.0132211930051004	1.26216896551724	3.91627940443101e-94	NS	UP	False	True	-0.6553420424403169
AAMDC	-0.170080769230768	0.578779430596787	-0.441551231527094	1.08301113387309e-16	NS	NS	False	False	0.271470462296326
AAMP	0.200038461538461	0.292663085806262	-0.208038916256156	2.48791997939278e-18	NS	NS	False	False	0.408077377794617
AANAT	-0.374857692307693	0.654922437696401	-1.87383152709359	1.1852205340125098e-11	NS	DOWN	False	True	1.498973834785897
AAR2	0.380653846153844	0.0961695929534679	0.178388669950738	8.11797645023386e-05	NS	NS	False	False	0.20226517620310602
AARD	2.91224230769231	0.0089317809699695	-2.84720344827586	4.5942912318366303e-35	NS	DOWN	False	True	5.759445755968169
AARS1	0.369557692307693	0.211404726173366	1.59279901477832	6.44564990957216e-119	NS	UP	False	True	-1.223241322470627
AARS2	0.425426923076924	0.104502024572039	0.531833990147784	4.1613259877945397e-22	NS	NS	False	False	-0.10640706707086
AARSD1	0.208203846153846	0.15381332349875	0.242929556650247	1.03500068440798e-16	NS	NS	False	False	-0.034725710496401024
AASDH	1.28129230769231	8.41183299239834e-05	0.643633497536949	4.79985624419158e-35	UP	NS	True	False	0.637658810155361
AASDHPPT	1.46775	2.49761723342225e-05	1.29700985221675	3.63358693948171e-116	UP	UP	True	True	0.1707401477832502
AASS	1.23961923076923	0.0020567580769973	1.38257290640394	1.8993270902245102e-73	NS	UP	False	True	-0.14295367563471006
AATF	-0.172423076923075	0.328053819066347	0.0883571428571459	0.0142476188989238	NS	NS	False	False	-0.2607802197802209
AATK	0.755988461538463	0.197325210857478	-2.71089507389163	1.43562385569617e-104	NS	DOWN	False	True	3.466883535430093
ABAT	1.71038846153846	9.40511389020211e-05	1.36257044334975	7.054248290266981e-67	UP	UP	True	True	0.34781801818870983
ABCA1	1.22857307692308	0.0044372124740438	0.653660591133003	1.16148251770828e-15	NS	NS	False	False	0.574912485790077
ABCA10	2.22670769230769	0.0007277948939398	-2.07297290640394	4.0009642433357504e-76	UP	DOWN	True	True	4.29968059871163
