logFC	AveExpr	t	P.Value	adj.P.Val	B	HGNC_symbol
ENSG00000116983	-1.93479523809524	-0.110740476190476	-4.22574767081656	5.34907225167727e-05	0.000465359699744934	1.65478407746762	HPCAL4
ENSG00000267228	-3.83443333333333	-2.75193571428572	-4.02736152982752	0.000124728046181543	0.000845955012488023	0.88651536414014	AC012254.2
ENSG00000256500	-3.30671904761905	-5.52043095238095	-3.52483606982496	0.000694204282969584	0.00284338838155324	-0.695673555717135	AL139300.1
ENSG00000237763	-2.50041428571428	-4.09217857142857	-3.1635367756932	0.00217911347922878	0.00614375858914346	-1.73670253390657	AMY1A
ENSG00000010438	-1.32855952380952	10.9122869047619	-3.01327168102875	0.00322455431357037	0.00796888856529207	-2.10561576713362	PRSS3
ENSG00000204300	-1.51177380952381	-8.38080357142856	-2.91214774566959	0.00450208134961757	0.0100260140774354	-2.39537444794283	TMEM225
ENSG00000134020	-1.20314761904762	0.690219047619048	-2.87570393238828	0.00486289587289314	0.0105765806518637	-2.47225071914201	PEBP4
ENSG00000021461	-1.77660952380952	-0.12282619047619	-2.68848146909282	0.00866946300785703	0.0158650110909969	-2.97078473720006	CYP3A43
ENSG00000116981	-1.23079761904762	-2.32937738095238	-2.65441244176383	0.00921217119031534	0.0165846412176473	-3.03474008961463	NT5C1A
ENSG00000165828	-1.78730952380953	-4.94495714285714	-2.5350485548646	0.0130993829545609	0.0216185465078755	-3.33336455960725	PRAP1
ENSG00000267881	-1.10799523809524	-9.04805714285713	-2.48934136926006	0.0143331239413325	0.0232088559617074	-3.42253430395468	AC243967.1
ENSG00000244094	-1.76412619047619	-3.64061785714286	-2.48523433113465	0.0149415507256055	0.0239701777916232	-3.44776028318094	SPRR2F
ENSG00000132677	-1.15532380952381	-1.26441904761905	-2.43312422449754	0.0168490394928989	0.0263468069635296	-3.55753770571486	RHBG
ENSG00000139610	-1.83842142857143	-7.88654166666666	-2.42377879731354	0.0175375292269948	0.0272073018973548	-3.58631737248008	CELA1
ENSG00000174992	-1.04964761904762	-0.617742857142857	-2.22188468542099	0.0286875835255282	0.0407412782051274	-4.01345076172884	ZG16
ENSG00000175325	-1.13698333333333	-8.23049166666666	-2.21944103317927	0.0288809379456486	0.0409589580067634	-4.01883119615505	PROP1
ENSG00000174876	-1.79217380952381	0.117279761904762	-2.20462199287471	0.0302622213769957	0.0425758451455225	-4.05388774251656	AMY1B
ENSG00000131808	-1.04053809523809	-8.77871428571427	-2.1428112461509	0.0346164499538021	0.0477503889467166	-4.1734270985857	FSHB
ENSG00000196826	-1.36236904761905	-8.02506309523809	-2.13542943923212	0.0356247080585454	0.0489084121239277	-4.19262334451328	AC008758.1
