source,target,etype,regulation,weight,logFC,adj.P.Val
MYC,MIR100HG,TF_to_MIR,,,,
CHD2,MIR100HG,TF_to_MIR,,,,
CTCF,MIR100HG,TF_to_MIR,,,,
BHLHE40,MIR100HG,TF_to_MIR,,,,
EP300,MIR100HG,TF_to_MIR,,,,
MAX,MIR100HG,TF_to_MIR,,,,
POLR2A,MIR100HG,TF_to_MIR,,,,
RCOR1,MIR100HG,TF_to_MIR,,,,
MAZ,MIR100HG,TF_to_MIR,,,,
H2AFZ,MIR100HG,TF_to_MIR,,,,
MIR100HG,HPCAL4,MIR_to_gene,repression,1.93479523809524,-1.93479523809524,0.0004653596997449
MIR100HG,AC012254.2,MIR_to_gene,repression,3.83443333333333,-3.83443333333333,0.000845955012488
BHLHE40,BHLHE40,TF_to_TF,,,,
BHLHE40,CHD2,TF_to_TF,,,,
BHLHE40,CTCF,TF_to_TF,,,,
BHLHE40,EP300,TF_to_TF,,,,
BHLHE40,H2AFZ,TF_to_TF,,,,
BHLHE40,MAX,TF_to_TF,,,,
BHLHE40,MAZ,TF_to_TF,,,,
BHLHE40,MYC,TF_to_TF,,,,
BHLHE40,POLR2A,TF_to_TF,,,,
BHLHE40,RCOR1,TF_to_TF,,,,
CHD2,BHLHE40,TF_to_TF,,,,
CHD2,CHD2,TF_to_TF,,,,
CHD2,CTCF,TF_to_TF,,,,
CHD2,EP300,TF_to_TF,,,,
CHD2,H2AFZ,TF_to_TF,,,,
CHD2,MAX,TF_to_TF,,,,
CHD2,MAZ,TF_to_TF,,,,
CHD2,MYC,TF_to_TF,,,,
CHD2,POLR2A,TF_to_TF,,,,
CHD2,RCOR1,TF_to_TF,,,,
CTCF,BHLHE40,TF_to_TF,,,,
CTCF,CHD2,TF_to_TF,,,,
CTCF,CTCF,TF_to_TF,,,,
CTCF,EP300,TF_to_TF,,,,
CTCF,H2AFZ,TF_to_TF,,,,
CTCF,MAX,TF_to_TF,,,,
CTCF,MAZ,TF_to_TF,,,,
CTCF,MYC,TF_to_TF,,,,
CTCF,POLR2A,TF_to_TF,,,,
CTCF,RCOR1,TF_to_TF,,,,
EP300,BHLHE40,TF_to_TF,,,,
EP300,CHD2,TF_to_TF,,,,
EP300,CTCF,TF_to_TF,,,,
EP300,EP300,TF_to_TF,,,,
EP300,H2AFZ,TF_to_TF,,,,
EP300,MAX,TF_to_TF,,,,
EP300,MAZ,TF_to_TF,,,,
EP300,MYC,TF_to_TF,,,,
EP300,POLR2A,TF_to_TF,,,,
EP300,RCOR1,TF_to_TF,,,,
H2AFZ,BHLHE40,TF_to_TF,,,,
H2AFZ,CHD2,TF_to_TF,,,,
H2AFZ,CTCF,TF_to_TF,,,,
H2AFZ,EP300,TF_to_TF,,,,
H2AFZ,H2AFZ,TF_to_TF,,,,
H2AFZ,MAX,TF_to_TF,,,,
H2AFZ,MAZ,TF_to_TF,,,,
H2AFZ,MYC,TF_to_TF,,,,
H2AFZ,POLR2A,TF_to_TF,,,,
H2AFZ,RCOR1,TF_to_TF,,,,
MAX,BHLHE40,TF_to_TF,,,,
MAX,CHD2,TF_to_TF,,,,
MAX,CTCF,TF_to_TF,,,,
MAX,EP300,TF_to_TF,,,,
MAX,H2AFZ,TF_to_TF,,,,
MAX,MAX,TF_to_TF,,,,
MAX,MAZ,TF_to_TF,,,,
MAX,MYC,TF_to_TF,,,,
MAX,POLR2A,TF_to_TF,,,,
MAX,RCOR1,TF_to_TF,,,,
MAZ,BHLHE40,TF_to_TF,,,,
MAZ,CHD2,TF_to_TF,,,,
MAZ,CTCF,TF_to_TF,,,,
MAZ,EP300,TF_to_TF,,,,
MAZ,H2AFZ,TF_to_TF,,,,
MAZ,MAX,TF_to_TF,,,,
MAZ,MAZ,TF_to_TF,,,,
MAZ,MYC,TF_to_TF,,,,
MAZ,POLR2A,TF_to_TF,,,,
MAZ,RCOR1,TF_to_TF,,,,
MYC,BHLHE40,TF_to_TF,,,,
MYC,CHD2,TF_to_TF,,,,
MYC,CTCF,TF_to_TF,,,,
MYC,EP300,TF_to_TF,,,,
MYC,H2AFZ,TF_to_TF,,,,
MYC,MAX,TF_to_TF,,,,
MYC,MAZ,TF_to_TF,,,,
MYC,MYC,TF_to_TF,,,,
MYC,POLR2A,TF_to_TF,,,,
MYC,RCOR1,TF_to_TF,,,,
POLR2A,BHLHE40,TF_to_TF,,,,
POLR2A,CHD2,TF_to_TF,,,,
POLR2A,CTCF,TF_to_TF,,,,
POLR2A,EP300,TF_to_TF,,,,
POLR2A,H2AFZ,TF_to_TF,,,,
POLR2A,MAX,TF_to_TF,,,,
POLR2A,MAZ,TF_to_TF,,,,
POLR2A,MYC,TF_to_TF,,,,
POLR2A,POLR2A,TF_to_TF,,,,
POLR2A,RCOR1,TF_to_TF,,,,
RCOR1,BHLHE40,TF_to_TF,,,,
RCOR1,CHD2,TF_to_TF,,,,
RCOR1,CTCF,TF_to_TF,,,,
RCOR1,EP300,TF_to_TF,,,,
RCOR1,H2AFZ,TF_to_TF,,,,
RCOR1,MAX,TF_to_TF,,,,
RCOR1,MAZ,TF_to_TF,,,,
RCOR1,MYC,TF_to_TF,,,,
RCOR1,POLR2A,TF_to_TF,,,,
RCOR1,RCOR1,TF_to_TF,,,,
