source,target,etype,regulation,weight,logFC,adj.P.Val
MYC,MIR100HG,TF_to_MIR,,,,
CHD2,MIR100HG,TF_to_MIR,,,,
CTCF,MIR100HG,TF_to_MIR,,,,
BHLHE40,MIR100HG,TF_to_MIR,,,,
EP300,MIR100HG,TF_to_MIR,,,,
MAX,MIR100HG,TF_to_MIR,,,,
POLR2A,MIR100HG,TF_to_MIR,,,,
RCOR1,MIR100HG,TF_to_MIR,,,,
MAZ,MIR100HG,TF_to_MIR,,,,
H2AFZ,MIR100HG,TF_to_MIR,,,,
MIR100HG,DACT1,MIR_to_gene,activation,2.77166904761905,2.77166904761905,4.83749325182062e-08
MIR100HG,COL24A1,MIR_to_gene,activation,2.94289999999999,2.94289999999999,1.66806146037373e-07
MIR100HG,SLC6A20,MIR_to_gene,activation,2.72199285714286,2.72199285714286,1.66806146037373e-07
MIR100HG,KCNT2,MIR_to_gene,activation,2.24850714285714,2.24850714285714,1.66806146037373e-07
MIR100HG,TMC5,MIR_to_gene,activation,3.17195714285714,3.17195714285714,2.17680873119845e-07
MIR100HG,HAPLN3,MIR_to_gene,activation,2.66708571428571,2.66708571428571,2.38228410783111e-07
MIR100HG,RUNX1,MIR_to_gene,activation,2.73274761904762,2.73274761904762,2.50451132837807e-07
MIR100HG,COL8A2,MIR_to_gene,activation,2.37209047619048,2.37209047619048,2.65559950544212e-07
MIR100HG,VNN1,MIR_to_gene,activation,2.7478,2.7478,2.83845326674483e-07
MIR100HG,TNFSF14,MIR_to_gene,activation,3.43055238095238,3.43055238095238,3.84746184417717e-07
MIR100HG,GCNT3,MIR_to_gene,activation,3.5422619047619,3.5422619047619,3.88857796527358e-07
MIR100HG,TSHZ2,MIR_to_gene,activation,2.52447142857143,2.52447142857143,3.88857796527358e-07
MIR100HG,CH25H,MIR_to_gene,activation,2.63265,2.63265,6.6061533312793e-07
MIR100HG,INHBA,MIR_to_gene,activation,2.43813333333333,2.43813333333333,6.6061533312793e-07
MIR100HG,OSM,MIR_to_gene,activation,3.17009047619048,3.17009047619048,7.2505135056781e-07
MIR100HG,BATF3,MIR_to_gene,activation,2.40627142857143,2.40627142857143,7.2505135056781e-07
MIR100HG,RUNX2,MIR_to_gene,activation,2.24940238095238,2.24940238095238,7.2505135056781e-07
MIR100HG,IL24,MIR_to_gene,activation,2.91587857142857,2.91587857142857,7.54870129616077e-07
MIR100HG,MDFI,MIR_to_gene,activation,2.59350952380952,2.59350952380952,7.68117801302064e-07
MIR100HG,RGS4,MIR_to_gene,activation,2.50084047619048,2.50084047619048,7.68117801302064e-07
MIR100HG,ZNF385D,MIR_to_gene,activation,2.48543571428571,2.48543571428571,7.68117801302064e-07
MIR100HG,GEM,MIR_to_gene,activation,2.70849523809524,2.70849523809524,1.01113729818441e-06
MIR100HG,PRR5L,MIR_to_gene,activation,2.40104285714286,2.40104285714286,1.01113729818441e-06
MIR100HG,FAM43A,MIR_to_gene,activation,2.40032857142857,2.40032857142857,1.01113729818441e-06
MIR100HG,PRRX2,MIR_to_gene,activation,2.35637857142857,2.35637857142857,1.01113729818441e-06
MIR100HG,JAK3,MIR_to_gene,activation,2.31154523809524,2.31154523809524,1.01113729818441e-06
MIR100HG,PRF1,MIR_to_gene,activation,2.1721119047619,2.1721119047619,1.01113729818441e-06
MIR100HG,RARRES1,MIR_to_gene,activation,2.96010714285714,2.96010714285714,1.10274617241396e-06
MIR100HG,CYP1B1,MIR_to_gene,activation,2.57934047619048,2.57934047619048,1.10274617241396e-06
MIR100HG,MOXD1,MIR_to_gene,activation,2.46458333333333,2.46458333333333,1.17140527291087e-06
BHLHE40,BHLHE40,TF_to_TF,,,,
BHLHE40,CHD2,TF_to_TF,,,,
BHLHE40,CTCF,TF_to_TF,,,,
BHLHE40,EP300,TF_to_TF,,,,
BHLHE40,H2AFZ,TF_to_TF,,,,
BHLHE40,MAX,TF_to_TF,,,,
BHLHE40,MAZ,TF_to_TF,,,,
BHLHE40,MYC,TF_to_TF,,,,
BHLHE40,POLR2A,TF_to_TF,,,,
BHLHE40,RCOR1,TF_to_TF,,,,
CHD2,BHLHE40,TF_to_TF,,,,
CHD2,CHD2,TF_to_TF,,,,
CHD2,CTCF,TF_to_TF,,,,
CHD2,EP300,TF_to_TF,,,,
CHD2,H2AFZ,TF_to_TF,,,,
CHD2,MAX,TF_to_TF,,,,
CHD2,MAZ,TF_to_TF,,,,
CHD2,MYC,TF_to_TF,,,,
CHD2,POLR2A,TF_to_TF,,,,
CHD2,RCOR1,TF_to_TF,,,,
CTCF,BHLHE40,TF_to_TF,,,,
CTCF,CHD2,TF_to_TF,,,,
CTCF,CTCF,TF_to_TF,,,,
CTCF,EP300,TF_to_TF,,,,
CTCF,H2AFZ,TF_to_TF,,,,
CTCF,MAX,TF_to_TF,,,,
CTCF,MAZ,TF_to_TF,,,,
CTCF,MYC,TF_to_TF,,,,
CTCF,POLR2A,TF_to_TF,,,,
CTCF,RCOR1,TF_to_TF,,,,
EP300,BHLHE40,TF_to_TF,,,,
EP300,CHD2,TF_to_TF,,,,
EP300,CTCF,TF_to_TF,,,,
EP300,EP300,TF_to_TF,,,,
EP300,H2AFZ,TF_to_TF,,,,
EP300,MAX,TF_to_TF,,,,
EP300,MAZ,TF_to_TF,,,,
EP300,MYC,TF_to_TF,,,,
EP300,POLR2A,TF_to_TF,,,,
EP300,RCOR1,TF_to_TF,,,,
H2AFZ,BHLHE40,TF_to_TF,,,,
H2AFZ,CHD2,TF_to_TF,,,,
H2AFZ,CTCF,TF_to_TF,,,,
H2AFZ,EP300,TF_to_TF,,,,
H2AFZ,H2AFZ,TF_to_TF,,,,
H2AFZ,MAX,TF_to_TF,,,,
H2AFZ,MAZ,TF_to_TF,,,,
H2AFZ,MYC,TF_to_TF,,,,
H2AFZ,POLR2A,TF_to_TF,,,,
H2AFZ,RCOR1,TF_to_TF,,,,
MAX,BHLHE40,TF_to_TF,,,,
MAX,CHD2,TF_to_TF,,,,
MAX,CTCF,TF_to_TF,,,,
MAX,EP300,TF_to_TF,,,,
MAX,H2AFZ,TF_to_TF,,,,
MAX,MAX,TF_to_TF,,,,
MAX,MAZ,TF_to_TF,,,,
MAX,MYC,TF_to_TF,,,,
MAX,POLR2A,TF_to_TF,,,,
MAX,RCOR1,TF_to_TF,,,,
MAZ,BHLHE40,TF_to_TF,,,,
MAZ,CHD2,TF_to_TF,,,,
MAZ,CTCF,TF_to_TF,,,,
MAZ,EP300,TF_to_TF,,,,
MAZ,H2AFZ,TF_to_TF,,,,
MAZ,MAX,TF_to_TF,,,,
MAZ,MAZ,TF_to_TF,,,,
MAZ,MYC,TF_to_TF,,,,
MAZ,POLR2A,TF_to_TF,,,,
MAZ,RCOR1,TF_to_TF,,,,
MYC,BHLHE40,TF_to_TF,,,,
MYC,CHD2,TF_to_TF,,,,
MYC,CTCF,TF_to_TF,,,,
MYC,EP300,TF_to_TF,,,,
MYC,H2AFZ,TF_to_TF,,,,
MYC,MAX,TF_to_TF,,,,
MYC,MAZ,TF_to_TF,,,,
MYC,MYC,TF_to_TF,,,,
MYC,POLR2A,TF_to_TF,,,,
MYC,RCOR1,TF_to_TF,,,,
POLR2A,BHLHE40,TF_to_TF,,,,
POLR2A,CHD2,TF_to_TF,,,,
POLR2A,CTCF,TF_to_TF,,,,
POLR2A,EP300,TF_to_TF,,,,
POLR2A,H2AFZ,TF_to_TF,,,,
POLR2A,MAX,TF_to_TF,,,,
POLR2A,MAZ,TF_to_TF,,,,
POLR2A,MYC,TF_to_TF,,,,
POLR2A,POLR2A,TF_to_TF,,,,
POLR2A,RCOR1,TF_to_TF,,,,
RCOR1,BHLHE40,TF_to_TF,,,,
RCOR1,CHD2,TF_to_TF,,,,
RCOR1,CTCF,TF_to_TF,,,,
RCOR1,EP300,TF_to_TF,,,,
RCOR1,H2AFZ,TF_to_TF,,,,
RCOR1,MAX,TF_to_TF,,,,
RCOR1,MAZ,TF_to_TF,,,,
RCOR1,MYC,TF_to_TF,,,,
RCOR1,POLR2A,TF_to_TF,,,,
RCOR1,RCOR1,TF_to_TF,,,,
