node,type,direction
MYC,TF,NA
CHD2,TF,NA
CTCF,TF,NA
BHLHE40,TF,NA
EP300,TF,NA
MAX,TF,NA
POLR2A,TF,NA
RCOR1,TF,NA
MAZ,TF,NA
H2AFZ,TF,NA
MIR100HG,lncRNA,NA
DACT1,gene,up
COL24A1,gene,up
SLC6A20,gene,up
KCNT2,gene,up
TMC5,gene,up
HAPLN3,gene,up
RUNX1,gene,up
COL8A2,gene,up
VNN1,gene,up
TNFSF14,gene,up
GCNT3,gene,up
TSHZ2,gene,up
CH25H,gene,up
INHBA,gene,up
OSM,gene,up
BATF3,gene,up
RUNX2,gene,up
IL24,gene,up
MDFI,gene,up
RGS4,gene,up
ZNF385D,gene,up
GEM,gene,up
PRR5L,gene,up
FAM43A,gene,up
PRRX2,gene,up
JAK3,gene,up
PRF1,gene,up
RARRES1,gene,up
CYP1B1,gene,up
MOXD1,gene,up
